2015年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,20.3,21.7,24.2,26.6,27.3,29.5,29.5,29.5,27.7,28.4,26.9,25.3
2,19.8,21.7,23.6,27.0,27.9,30.3,29.4,29.9,28.8,28.3,26.9,25.4
3,19.9,21.7,23.6,27.4,28.4,30.7,29.4,30.3,29.4,28.3,26.8,25.5
4,20.2,21.7,23.8,27.4,28.4,30.7,29.4,30.6,29.7,28.5,27.0,24.9
5,20.9,21.5,23.7,27.8,28.0,30.7,29.3,30.4,29.8,28.5,27.3,24.5
6,21.6,21.0,23.8,26.7,28.4,30.8,28.8,29.9,29.8,28.4,27.7,25.0
7,22.1,21.0,23.9,26.2,28.8,31.2,28.0,30.0,29.8,28.2,28.0,24.7
8,21.6,21.1,24.0,26.2,28.8,31.6,27.2,29.2,29.2,28.0,28.2,24.7
9,21.0,20.5,24.1,25.8,29.6,31.8,27.6,28.7,29.1,28.0,28.3,24.8
10,21.0,20.1,23.5,25.9,30.0,31.9,27.9,29.2,29.5,27.7,28.3,25.2
11,20.9,20.2,22.8,25.5,29.2,31.8,27.8,29.9,29.7,27.1,27.9,25.2
12,20.9,20.5,22.9,25.1,28.4,31.7,27.9,30.0,29.9,26.6,27.7,25.2
13,21.0,20.7,22.9,25.1,28.4,31.9,28.0,29.7,29.6,26.2,28.0,25.2
14,21.4,21.1,23.2,24.5,29.2,32.1,27.9,29.7,29.1,26.0,28.5,25.5
15,21.3,21.8,24.0,24.4,29.8,32.1,27.8,29.9,29.5,26.0,28.2,25.5
16,21.1,22.7,24.5,24.9,29.8,32.0,27.9,30.0,29.9,26.0,28.0,24.8
17,21.1,22.9,24.6,25.4,29.8,32.1,27.9,29.5,29.6,25.9,28.4,23.9
18,20.5,22.8,24.3,26.2,30.1,32.0,27.9,29.3,29.5,25.8,28.6,23.0
19,20.3,22.7,24.9,26.6,30.3,31.9,27.6,29.6,29.5,25.8,28.8,23.3
20,19.9,22.6,25.2,26.5,30.1,31.9,27.4,29.8,29.2,25.2,28.6,23.8
21,20.3,22.4,25.2,26.2,29.1,32.0,27.7,29.4,29.0,24.8,27.9,24.2
22,20.6,22.8,25.0,25.8,27.6,31.6,27.7,27.7,29.2,24.8,27.3,24.9
23,20.4,23.5,24.7,25.8,26.7,31.1,27.8,27.8,29.4,25.3,27.4,25.6
24,20.1,23.7,24.7,25.9,26.2,30.8,27.6,28.3,29.3,26.1,27.2,26.1
25,20.7,23.9,24.4,26.1,26.2,30.6,27.6,28.8,29.1,26.6,27.0,25.7
26,21.5,24.1,24.3,26.1,26.2,30.4,27.6,28.9,28.5,26.5,26.4,24.8
27,21.9,24.2,24.6,26.4,26.7,30.2,27.8,28.7,28.1,26.5,24.7,25.0
28,21.6,24.5,24.8,27.0,27.6,30.0,28.1,28.3,27.9,26.5,24.2,25.0
29,21.4,,25.0,27.2,28.1,29.8,28.2,27.6,27.8,26.8,24.8,24.5
30,21.9,,25.5,27.1,28.5,29.7,28.6,26.9,28.1,26.8,25.4,24.3
31,22.0,,26.1,,29.0,,29.1,27.0,,27.0,,24.3
平均,20.9,22.1,24.3,26.2,28.5,31.2,28.1,29.2,29.2,26.8,27.3,24.8
