2015年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,48,57,70,66,62,/,/,/,73,67,57,57
2,46,52,55,65,69,/,/,/,72,70,63,64
3,51,59,65,67,64,/,/,/,67,74,60,62
4,52,57,58,60,64,/,/,/,64,70,63,57
5,57,58,58,64,60,/,/,/,67,68,59,70
6,64,50,61,87,60,/,77,/,70,66,56,73
7,62,56,58,74,56,/,/,/,69,61,64,60
8,60,61,58,65,55,/,/,/,60,66,57,62
9,46,53,55,58,69,/,/,/,60,69,58,69
10,50,50,61,64,56,/,/,/,53,65,60,73
11,57,55,59,68,65,/,/,65,55,60,63,59
12,56,54,65,65,72,/,/,66,54,58,63,57
13,60,48,53,53,60,/,/,71,57,57,60,61
14,73,52,56,25,75,/,/,70,60,49,64,57
15,59,67,69,53,72,/,/,67,59,46,67,61
16,49,54,71,65,65,/,/,73,63,50,56,59
17,57,60,65,67,67,/,/,59,63,47,68,55
18,46,58,59,74,69,/,/,65,57,59,58,46
19,60,57,62,55,68,/,/,62,55,66,62,49
20,62,61,58,62,68,/,/,58,59,74,68,49
21,65,67,57,68,82,/,/,61,61,75,69,57
22,48,66,61,65,81,/,/,79,56,56,61,61
23,47,66,56,57,94,/,/,79,65,65,58,60
24,48,69,59,60,82,/,/,66,61,65,60,67
25,53,62,64,60,88,/,/,80,77,64,58,77
26,66,59,63,60,89,/,/,76,68,61,58,60
27,72,60,66,56,80,/,/,79,67,63,56,64
28,57,60,60,67,81,/,/,80,80,61,54,56
29,57,,58,60,81,/,/,79,77,62,55,54
30,53,,60,62,78,/,/,80,80,58,62,51
31,53,,64,,65,,/,84,,63,,56
平均,55.9,58.1,60.8,62.4,70.9,/,77,71.4,64.3,62.4,60.6,60.1
