2016年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,1019.1,1014.0,1019.7,1011.7,1010.0,1005.4,1008.8,1000.4,1003.9,1008.8,1013.7,1015.5
2,1017.0,1016.0,1019.2,1012.7,1009.2,1004.9,1008.7,1005.5,1003.2,1007.7,1013.8,1016.3
3,1014.9,1016.3,1016.8,1011.0,1008.7,1005.8,1008.8,1007.1,1003.3,1005.5,1012.5,1014.9
4,1014.4,1014.2,1014.6,1010.5,1010.2,1006.6,1007.7,1007.5,1004.5,1006.0,1010.5,1013.0
5,1012.8,1012.3,1012.3,1011.6,1009.9,1007.5,1007.5,1005.0,1005.6,1006.9,1010.0,1013.0
6,1013.1,1014.6,1012.1,1011.6,1008.5,1007.5,1006.7,1002.3,1007.3,1006.2,1011.4,1014.4
7,1015.6,1017.6,1012.1,1011.6,1009.9,1007.4,997.8,1001.7,1007.9,1006.7,1013.6,1012.9
8,1014.3,1018.4,1010.2,1010.8,1010.4,1006.2,988.9,1001.3,1008.3,1007.1,1013.8,1010.4
9,1015.8,1017.5,1010.1,1009.1,1009.1,1006.7,998.8,1001.1,1008.0,1007.0,1013.7,1010.4
10,1013.4,1014.9,1013.5,1007.9,1007.1,1007.6,1002.9,1002.2,1007.1,1007.4,1013.9,1011.7
11,1011.2,1013.3,1015.3,1008.7,/,1008.0,1005.0,1002.4,1007.0,1008.3,1014.0,1012.4
12,1014.1,1012.5,1013.7,1007.1,/,1006.9,1006.3,1003.1,1008.4,1010.1,1014.6,1012.0
13,1014.6,1011.3,1010.5,1006.2,/,1005.9,1006.8,1002.9,1001.6,1009.9,1013.9,1010.4
14,1014.0,1011.6,1010.4,1008.2,/,1005.6,1007.0,1002.6,970.9,1008.4,1012.1,1013.0
15,1010.9,1016.2,1013.0,1010.5,/,1006.7,1006.0,1001.8,1004.8,1008.0,1012.2,1015.5
16,1011.3,1018.3,1011.5,1009.3,/,1007.1,1007.0,1002.3,1002.9,1008.6,1013.5,1018.7
17,1006.6,1017.3,1012.1,1009.9,/,1007.7,1007.6,1002.3,1002.1,1008.2,1013.5,1018.2
18,1010.2,1015.6,1009.6,1011.0,/,1010.4,1007.5,1002.7,1004.5,1009.1,1011.9,1016.4
19,1014.7,1013.4,1010.2,1014.4,/,1009.8,1008.0,1004.2,1006.0,1005.7,1011.6,1014.0
20,1015.4,1015.6,1012.4,1012.1,/,1008.6,1009.6,1003.3,1008.2,1002.7,1010.9,1012.9
21,1011.2,1018.1,1012.4,1010.3,/,1009.1,1009.5,1002.9,1011.1,1005.8,1010.2,1013.6
22,1012.7,1015.7,1010.6,1008.8,/,1008.4,1008.1,1004.2,1010.4,1008.5,1010.4,1012.5
23,1014.3,1016.1,1010.1,1008.1,/,1007.9,1007.1,1003.4,1008.7,1007.9,1011.9,1014.4
24,1020.9,1018.4,1013.0,1008.4,994.0,1007.7,1007.4,1003.2,1007.2,1009.2,1013.0,1015.5
25,1023.1,1021.7,1016.1,1009.5,1007.1,1008.5,1007.9,1003.2,1006.7,1010.8,1012.5,1014.0
26,1020.5,1019.4,1017.1,1008.3,1008.3,1008.2,1007.5,1003.6,999.8,1012.6,1011.3,1011.7
27,1018.9,1016.7,1017.9,1006.3,1009.3,1008.1,1007.4,1004.8,987.6,1012.9,1010.3,1012.4
28,1014.9,1017.1,1019.1,1007.5,1008.1,1009.3,1007.1,1004.2,998.8,1011.8,1013.9,1014.8
29,1013.0,1018.0,1017.3,1010.7,1007.1,1010.9,1006.9,1004.6,1004.8,1013.0,1016.3,1017.0
30,1014.6,,1015.0,1010.9,1007.4,1010.0,1005.7,1005.3,1007.6,1014.9,1015.9,1017.7
31,1014.7,,1011.7,,1007.6,,1002.4,1004.9,,1013.8,,1017.0
平均,1014.6,1015.9,1013.5,1009.8,1007.9,1007.7,1005.9,1003.4,1003.9,1008.7,1012.7,1014.1
