2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,70,75,/,69,88,81,88,88,92,75,79,74
2,79,75,/,71,76,81,92,87,87,80,71,70
3,77,79,/,76,74,80,85,83,78,82,72,60
4,81,89,75,82,71,80,85,80,87,77,75,70
5,81,79,77,80,76,82,84,88,87,82,69,75
6,79,79,75,77,87,81,81,80,86,84,68,79
7,/,76,75,77,76,83,83,75,89,76,69,67
8,88,76,74,81,72,79,85,84,88,76,65,57
9,74,77,75,81,78,79,83,83,85,77,65,55
10,83,77,81,77,85,87,83,82,87,77,63,/
11,82,82,82,76,78,88,88,81,81,76,64,/
12,79,80,65,75,76,90,82,84,76,76,61,64
13,80,82,66,/,78,/,82,86,74,76,60,66
14,84,83,71,75,78,90,79,88,80,71,63,69
15,84,80,76,72,89,77,81,86,80,64,61,70
16,83,79,55,72,85,79,75,89,81,67,63,71
17,74,79,/,78,/,83,74,92,73,69,71,78
18,63,82,76,74,83,83,85,91,70,67,74,79
19,71,84,78,82,83,81,88,94,66,70,65,75
20,78,83,78,79,92,81,87,95,75,67,65,72
21,72,79,81,/,84,80,85,93,69,71,70,76
22,74,77,/,/,75,79,86,89,91,69,81,74
23,69,/,75,79,83,80,/,79,81,70,81,74
24,68,/,68,79,76,83,83,90,74,75,79,71
25,75,/,73,70,77,85,79,91,72,71,71,77
26,75,/,78,75,77,89,81,87,69,72,71,77
27,69,/,79,74,90,88,82,78,85,72,73,73
28,74,/,84,77,82,85,81,85,78,72,76,74
29,84,,77,78,80,86,84,86,78,74,64,83
30,71,,74,73,78,83,83,86,80,74,78,79
31,75,,71,,86,,83,/,,78,,68
平均,76.5,79.6,74.6,76.3,80.4,82.9,83.2,86,80,73.8,69.6,71.6
