2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,8.7,9.6,8.6,10.1,10.2,10.8,11.0,,,,,
2,8.9,8.1,9.8,9.9,10.3,11.5,9.9,,,,,
3,9.2,9.0,9.0,9.5,8.9,10.6,11.2,,,,,
4,8.8,9.5,8.2,7.3,10.2,9.1,10.7,,,,,
5,7.9,9.0,8.4,8.1,10.9,3.1,8.8,,,,,
6,8.7,9.6,9.4,5.7,9.8,2.6,10.8,,,,,
7,7.6,9.6,9.9,5.6,9.1,8.9,,,,,,
8,7.0,9.8,9.8,5.7,9.5,10.8,,,,,,
9,6.9,7.2,9.7,9.0,11.0,11.7,,,,,,
10,8.2,7.7,8.0,9.0,10.9,9.5,,,,,,
11,7.9,7.0,9.5,10.4,9.5,9.8,,,,,,
12,7.1,7.9,9.7,10.7,10.9,9.8,,,,,,
13,9.0,7.7,9.4,10.5,10.8,8.2,,,,,,
14,9.1,9.9,9.3,8.5,10.9,11.2,,,,,,
15,9.3,7.8,10.0,8.3,10.7,10.3,,,,,,
16,9.3,9.4,9.4,9.8,10.7,10.7,,,,,,
17,8.2,8.2,10.0,10.2,10.4,10.1,,,,,,
18,8.7,9.4,8.9,10.6,10.4,11.1,,,,,,
19,8.2,9.4,9.6,10.2,10.3,8.6,,,,,,
20,8.5,7.3,9.1,9.9,10.5,9.2,,,,,,
21,8.3,9.9,10.3,10.4,10.0,9.1,,,,,,
22,6.1,9.9,9.0,10.4,10.6,7.7,,,,,,
23,6.8,8.7,9.2,9.2,10.2,7.3,,,,,,
24,8.8,9.2,7.2,10.4,10.2,8.4,,,,,,
25,7.8,9.1,9.5,6.7,10.3,7.4,,,,,,
26,8.2,9.2,9.4,8.1,10.6,9.9,,,,,,
27,8.6,5.8,10.0,9.4,10.8,3.0,,,,,,
28,8.8,9.3,9.6,9.6,11.5,7.6,,,,,,
29,8.6,,9.9,9.3,10.0,9.3,,,,,,
30,8.4,,9.5,11.1,9.5,10.5,,,,,,
31,8.8,,10.1,,10.9,,,,,,,
總和,256.4,244.2,289.4,273.6,320.5,267.8,62.4, , , , , 
