2010年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,77,64,69,64,63,70,71,72,89,73,69,72
2,72,71,66,67,63,72,67,71,79,71,68,76
3,77,70,69,71,64,87,67,75,69,72,69,74
4,/,71,66,66,61,75,65,66,77,76,79,69
5,/,71,66,67,63,73,71,72,75,75,80,69
6,/,72,63,70,68,70,68,70,80,79,76,66
7,/,70,64,72,65,66,65,70,77,72,76,65
8,/,75,62,77,67,67,66,72,80,78,76,63
9,/,67,74,67,62,63,67,74,89,75,71,67
10,/,63,59,/,58,77,66,71,84,70,75,/
11,/,65,59,65,64,87,66,76,71,69,71,62
12,/,77,66,53,61,83,67,74,73,74,77,67
13,/,80,64,61,60,90,69,69,70,74,89,71
14,/,69,67,60,61,81,66,70,79,72,77,73
15,/,67,67,71,62,76,68,71,67,76,81,71
16,/,86,76,73,63,72,70,74,70,78,76,83
17,/,84,62,69,63,66,70,72,73,73,77,72
18,/,88,64,68,62,66,69,70,70,73,75,72
19,/,90,69,67,64,65,70,73,89,72,79,66
20,67,77,66,66,57,68,68,72,84,79,76,74
21,65,72,67,65,61,72,73,74,69,87,71,69
22,72,68,65,58,58,67,76,82,72,82,65,68
23,72,63,63,87,85,71,78,82,73,71,75,73
24,66,63,67,87,79,77,75,78,73,68,71,73
25,74,71,70,73,71,89,76,76,75,67,69,72
26,75,74,71,66,64,78,83,72,74,73,69,68
27,71,73,62,69,62,71,90,73,70,69,70,70
28,70,69,66,81,79,70,88,76,77,67,70,67
29,73,,62,77,78,70,88,76,77,69,71,66
30,70,,58,77,89,72,86,78,74,66,69,61
31,67,,64,,84,,78,79,,66,,51
平均,71.2,72.5,65.6,69.4,66.5,73.7,72.5,73.5,76,73.1,73.9,69
