2010年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,14.4,17.4,19.5,17.0,19.1,23.2,26.3,24.6,24.6,24.5,17.4,18.3
2,14.6,17.8,20.8,20.9,20.5,22.6,26.6,24.2,24.4,24.7,17.6,19.9
3,16.0,16.4,22.1,18.7,20.7,22.3,25.6,23.8,24.0,24.9,17.7,19.6
4,/,16.7,20.6,19.2,21.9,23.2,26.1,23.5,24.3,23.9,20.5,20.2
5,/,16.4,20.2,19.8,22.2,22.9,26.5,24.7,23.6,23.1,20.2,19.1
6,/,17.9,20.0,21.3,24.4,22.9,26.5,23.9,25.1,23.4,20.9,19.4
7,/,17.6,19.3,20.8,25.0,24.3,25.8,25.9,24.7,22.3,21.4,14.7
8,/,17.9,17.5,19.5,25.9,23.1,26.1,25.9,24.6,23.6,21.8,11.7
9,/,17.9,12.4,18.5,26.1,25.0,25.4,25.8,24.0,23.8,20.0,10.4
10,/,17.2,11.8,18.5,25.2,25.4,25.9,26.0,24.2,24.3,19.6,10.7
11,/,19.3,11.7,20.7,24.8,25.8,25.4,25.9,23.6,24.4,18.0,17.2
12,/,15.1,13.9,19.4,24.0,23.7,27.7,25.2,23.6,23.7,18.5,15.1
13,/,13.6,19.3,22.1,24.3,22.7,25.3,24.5,22.8,24.7,19.5,16.4
14,/,14.9,19.3,19.4,23.9,24.3,24.3,26.1,24.9,24.9,20.0,19.4
15,/,17.5,20.8,17.2,22.4,23.4,23.6,23.8,23.8,23.1,20.8,18.6
16,/,14.6,19.3,16.2,23.1,24.7,23.4,23.8,24.9,22.8,19.3,10.2
17,/,13.7,18.6,18.2,23.5,24.0,24.4,24.3,25.3,24.0,19.7,10.2
18,/,12.1,18.1,19.9,24.2,25.0,24.5,24.6,24.8,24.0,19.3,9.7
19,/,11.3,18.4,20.2,24.0,24.7,24.9,24.4,23.0,24.6,20.1,14.7
20,15.1,12.8,19.0,21.9,23.1,24.6,24.2,24.9,22.7,25.0,19.5,14.2
21,17.3,14.2,20.7,22.1,24.3,23.9,24.9,25.1,21.6,23.1,19.5,14.5
22,17.0,13.8,21.0,22.2,24.4,26.1,24.3,25.8,23.0,23.0,19.3,16.6
23,15.9,14.3,19.5,18.3,23.9,25.2,24.3,25.2,23.7,24.4,18.3,14.9
24,16.3,13.9,22.2,19.0,23.9,25.0,24.1,24.5,23.7,22.9,17.4,14.6
25,16.6,18.9,13.5,20.0,24.5,25.3,24.6,22.2,24.0,21.0,17.9,14.6
26,14.9,19.8,13.4,20.0,24.0,25.6,24.0,22.3,24.9,20.4,16.3,10.7
27,16.2,19.7,13.9,21.2,25.7,25.1,23.2,23.9,25.2,18.7,15.5,8.1
28,16.4,21.5,16.1,23.0,24.5,24.4,23.9,25.3,25.2,18.3,16.2,8.8
29,17.8,,16.0,21.9,24.6,24.3,23.8,24.9,24.8,17.8,16.2,12.3
30,16.8,,16.9,19.2,24.5,25.5,24.0,24.4,24.4,17.5,17.4,13.8
31,17.3,,17.7,,23.1,,23.6,25.0,,16.8,,12.9
平均,16.2,16.2,17.9,19.9,23.7,24.3,24.9,24.7,24.1,22.7,18.9,14.6
