2012年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,18.5,17.1,23.6,22.9,/,30.2,30.3,28.9,27.5,27.0,22.4,23.8
2,15.8,18.0,24.1,25.2,/,29.7,30.3,24.5,26.7,27.1,22.3,23.0
3,18.1,16.0,22.7,26.5,/,29.0,29.8,28.5,27.2,26.4,24.3,20.7
4,15.5,18.5,24.4,25.0,/,29.8,30.0,26.0,28.7,25.8,25.3,20.7
5,13.6,21.2,24.5,25.4,/,29.8,30.8,28.8,29.3,26.2,24.8,18.5
6,17.3,24.1,26.2,22.4,/,29.4,29.8,28.4,29.8,26.4,24.4,19.4
7,16.8,20.9,24.9,21.7,/,30.5,30.0,26.5,29.1,26.4,23.9,21.0
8,19.4,12.6,24.2,24.5,/,27.6,29.2,28.9,29.3,25.9,24.2,20.0
9,19.8,15.9,21.2,24.9,/,27.3,29.8,25.8,29.4,25.4,25.4,19.0
10,19.1,17.3,17.4,27.4,/,24.8,30.0,25.3,30.1,25.8,25.8,19.6
11,17.9,17.9,17.6,28.2,/,25.7,30.2,25.6,29.4,26.3,26.3,19.5
12,18.3,18.3,15.9,28.1,/,25.2,30.3,27.1,29.4,26.6,25.1,19.3
13,18.6,21.8,19.2,28.3,/,27.2,29.9,29.5,29.5,26.7,25.0,21.3
14,20.5,24.6,21.1,28.4,/,24.8,29.1,29.3,29.3,26.6,24.6,22.3
15,23.4,23.8,22.3,28.0,/,25.7,28.3,28.8,29.0,26.9,25.2,22.8
16,18.5,17.8,25.3,26.6,/,29.2,28.7,29.4,28.2,26.2,24.6,23.2
17,17.7,15.8,26.7,23.6,/,28.9,30.0,28.2,27.5,25.0,21.2,22.6
18,20.1,16.3,26.9,26.3,/,29.0,27.9,28.2,27.0,24.7,20.6,20.4
19,20.6,16.0,25.2,26.6,/,25.5,29.9,28.5,26.6,25.5,23.0,17.7
20,18.6,16.8,24.3,27.6,/,24.8,30.0,28.3,29.0,24.4,22.6,19.7
21,18.7,18.2,22.5,26.0,27.6,25.0,29.4,28.2,28.4,24.5,23.9,21.9
22,18.7,22.7,24.8,25.1,27.5,26.4,27.6,28.2,29.8,25.1,26.6,22.1
23,14.3,25.5,27.1,28.0,27.8,26.6,29.0,28.7,29.8,25.5,24.8,15.6
24,17.4,23.7,15.9,27.4,28.6,28.7,26.9,26.2,28.5,25.9,22.1,16.7
25,15.6,22.6,20.8,27.5,29.2,28.4,27.4,25.0,27.9,26.3,24.7,20.0
26,16.8,17.0,21.4,24.8,29.7,28.9,27.1,27.7,28.4,27.0,24.7,20.5
27,18.5,16.3,21.8,25.8,28.2,29.4,28.4,27.1,28.3,26.9,19.6,21.2
28,21.0,17.1,22.4,23.6,27.0,29.7,26.5,27.2,26.5,27.2,23.1,21.6
29,19.0,19.3,22.5,27.6,28.0,29.1,28.8,27.4,26.1,26.9,24.7,23.0
30,18.0,,23.8,/,28.6,30.2,28.6,28.2,26.7,26.4,24.8,13.7
31,18.2,,24.6,,29.6,,27.1,26.2,,22.7,,13.4
平均,18.2,19.1,22.8,26,28.3,27.9,29.1,27.6,28.4,26,24,20.1
