2014年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,/,/,/,/,/,/,/,/,/,/,/
2,/,/,/,/,/,/,/,/,/,/,/,/
3,/,/,/,/,/,/,/,/,/,/,/,/
4,/,/,/,/,/,/,/,/,/,/,/,/
5,/,/,/,/,/,/,/,/,/,/,/,/
6,/,/,/,/,/,/,/,/,/,/,/,/
7,/,/,/,/,/,/,/,/,/,/,/,/
8,/,/,/,/,/,/,/,/,/,/,/,/
9,/,/,/,/,/,/,/,/,/,/,/,/
10,/,/,/,/,/,/,/,/,/,/,/,/
11,/,/,/,/,/,/,/,/,/,/,/,/
12,/,/,/,/,/,/,/,/,/,/,/,/
13,/,/,/,/,/,/,/,/,/,/,/,/
14,/,/,/,/,/,/,/,/,/,/,/,/
15,/,/,/,/,/,/,/,/,/,/,/,/
16,/,/,/,/,/,/,/,/,/,/,/,/
17,/,/,/,/,/,/,/,/,/,/,/,/
18,/,/,/,/,/,/,/,/,/,/,/,/
19,/,/,/,/,/,/,/,/,/,/,/,/
20,/,/,/,/,/,/,/,/,/,/,/,/
21,/,/,/,/,2014-05-21 00:00:00,/,/,/,/,/,/,/
22,/,/,/,/,2014-05-22 00:00:00,/,/,/,/,/,/,/
23,/,/,/,/,2014-05-23 00:00:00,/,/,/,/,/,/,/
24,/,/,/,/,2014-05-24 00:00:00,/,/,/,/,/,/,/
25,/,/,/,/,2014-05-25 00:00:00,/,/,/,/,/,/,/
26,/,/,/,/,2014-05-26 00:00:00,/,/,/,/,/,/,/
27,/,/,/,/,2014-05-27 00:00:00,/,/,/,/,/,/,/
28,/,/,/,/,2014-05-28 00:00:00,/,/,/,/,/,/,/
29,/,,/,/,2014-05-29 00:00:00,/,/,/,/,/,/,/
30,/,,/,/,2014-05-30 00:00:00,/,/,/,/,/,/,/
31,/,,/,,2014-05-31 00:00:00,,/,/,,/,,/
平均, , , , , , , , , , , , 
