2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,3.73,21.38,15.51,18.68,17.92,18.03,24.48,21.84,14.86,7.03,/
2,15.98,/,17.57,20.89,25.53,19.99,1.31,13.09,/,19.46,7.55,/
3,14.27,8.99,20.21,21.38,19.04,22.25,7.60,14.01,24.24,16.53,18.41,17.43
4,/,7.10,18.43,16.54,9.46,21.57,8.60,20.73,22.49,22.03,17.33,16.50
5,/,3.50,17.15,21.95,23.21,22.82,8.64,20.97,17.32,22.70,18.18,15.41
6,/,13.55,9.54,18.35,25.77,23.68,/,24.03,13.75,14.15,16.00,13.77
7,/,5.42,13.27,4.67,16.15,22.00,16.28,22.27,/,17.48,17.61,11.79
8,/,7.94,4.73,22.39,13.15,20.94,21.77,/,16.31,18.33,17.75,11.12
9,/,13.74,8.87,25.22,11.20,20.85,25.48,23.64,/,12.95,15.36,15.01
10,/,17.73,22.94,18.66,8.57,18.96,20.10,24.65,11.40,/,10.78,13.70
11,/,5.06,23.93,23.47,12.90,12.60,16.95,23.01,/,13.36,/,14.97
12,6.99,8.31,21.48,/,17.59,21.74,13.75,23.07,18.29,12.90,/,/
13,/,18.61,21.61,/,20.56,21.77,19.12,9.87,22.65,/,/,10.65
14,/,20.66,/,23.72,22.58,7.26,23.15,13.09,21.64,/,16.02,/
15,/,21.33,/,15.97,27.41,5.75,20.57,/,5.44,18.70,/,13.67
16,17.77,8.50,/,16.66,28.07,12.24,19.09,13.49,9.16,20.70,13.17,12.89
17,/,11.08,/,17.94,10.94,7.93,25.07,12.43,20.19,15.50,12.64,10.10
18,/,18.95,/,20.04,24.90,6.02,24.19,11.04,18.60,/,/,14.09
19,/,16.52,/,20.21,25.41,2.44,18.45,9.26,22.01,12.23,13.74,15.02
20,/,20.07,/,17.27,22.65,/,23.64,12.74,22.70,18.23,10.68,16.54
21,/,17.48,/,20.27,21.40,12.75,21.13,14.07,23.44,18.10,15.82,15.31
22,/,6.74,/,18.09,21.88,15.66,11.38,10.41,20.53,15.67,16.54,15.79
23,/,15.32,14.39,23.25,23.93,18.24,18.28,1.39,18.96,17.25,16.04,8.32
24,/,6.42,24.48,9.62,/,18.02,12.40,1.74,21.19,11.91,15.81,11.38
25,16.69,17.74,/,6.94,1.89,23.99,18.29,13.31,19.24,17.52,10.95,14.89
26,/,11.90,/,8.20,25.96,23.15,21.10,6.83,21.98,17.68,/,13.27
27,16.62,20.55,22.14,16.40,26.21,/,14.97,4.54,21.37,11.84,10.33,7.16
28,13.60,13.40,21.53,11.85,26.07,21.46,22.03,1.49,19.54,17.49,6.67,0.93
29,14.44,,21.13,16.16,21.31,18.59,27.60,3.97,22.11,19.39,11.87,14.72
30,4.63,,18.82,19.84,25.00,18.42,26.69,4.46,12.56,17.11,13.88,13.93
31,9.68,,/,,25.22,,25.45,17.64,,4.30,,7.75
平均,13.1,12.6,18.1,17.6,20.1,17.1,18.4,13.6,18.8,16.2,13.8,12.8
