2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,1017.3,1015.0,1010.7,1013.2,1003.8,1003.9,997.3,1002.1,1003.0,1003.6,1008.8,1011.6
2,1017.3,1013.3,1008.0,1012.4,/,1003.7,1000.1,1000.5,1003.6,/,1007.6,1012.0
3,1017.4,1012.5,1005.8,1010.8,1007.9,1004.0,1005.0,998.2,1001.5,1007.5,1006.9,1013.7
4,1016.9,1012.6,1008.9,1010.1,1008.3,1005.2,1005.2,997.1,/,1007.2,/,1014.6
5,1014.5,1011.2,1008.0,1007.5,/,/,1002.5,997.3,998.1,1008.2,1005.0,1014.3
6,1014.1,1009.5,1008.1,1008.1,1003.4,1006.5,1000.8,996.7,/,1009.5,1004.6,1013.4
7,1014.4,1010.0,1010.1,1007.6,1003.9,1006.1,1002.6,993.6,999.4,/,1005.7,1014.8
8,1014.2,1010.6,1010.8,1007.7,1003.9,1004.4,1003.7,988.5,1000.5,1009.7,1008.6,1016.2
9,/,1012.8,1006.8,1006.8,1002.7,1002.7,1001.8,987.6,1001.7,1008.7,1010.1,1014.8
10,1014.1,1015.5,1007.0,1006.4,1003.7,1001.2,1002.3,994.2,1004.7,1007.3,1009.3,1011.7
11,1012.7,1017.3,1008.2,/,1005.4,1001.2,1005.8,997.3,1005.9,1005.9,1009.4,1011.1
12,/,1017.4,1010.4,1008.4,1005.7,1001.9,1005.0,998.2,1003.7,1006.8,1011.1,1014.3
13,1012.0,1015.5,1012.9,/,1005.2,999.7,1002.8,998.3,1002.3,1008.6,1012.0,1016.1
14,1011.6,1014.9,1013.1,1008.0,1004.7,997.4,1001.1,998.5,1002.1,1010.4,1010.7,1015.2
15,1012.0,1014.4,1013.4,1008.1,1005.0,1000.0,1000.6,998.2,1002.0,1011.5,1010.1,1014.3
16,1012.3,1012.9,1013.7,/,1003.6,1002.6,/,1000.2,1001.3,1011.0,1009.9,1012.6
17,1013.9,1012.2,1013.4,1006.0,1002.4,1004.9,993.1,1002.5,1002.1,1009.8,1009.0,1012.5
18,1015.4,1010.8,1010.9,1006.2,1002.3,1005.4,991.8,1002.3,1002.8,1009.7,1007.9,1012.7
19,1014.2,1013.0,1009.6,1005.2,1003.9,1004.0,996.2,1001.0,1002.2,1010.0,1008.6,1013.1
20,1012.8,1014.4,1008.7,1004.0,1003.5,1002.8,1002.7,1000.4,998.5,1009.2,1010.2,1012.4
21,1013.3,1012.6,1007.2,1004.8,1004.6,1002.2,1003.5,1000.4,998.6,1007.5,1009.3,1011.1
22,1013.7,1010.7,1007.9,1005.1,1005.1,1001.1,/,1001.0,1005.5,1006.1,1008.7,1009.2
23,1013.5,1010.4,1011.2,1005.6,1005.9,1001.9,/,999.6,1009.9,1006.6,1010.4,1010.6
24,1013.7,1009.6,1012.3,1005.3,1006.8,1003.4,1003.3,990.3,1010.9,1009.0,1011.3,1011.8
25,/,1010.7,1010.9,1005.0,1005.8,1003.5,1004.0,1001.8,1010.6,1010.8,1012.9,1010.0
26,/,1011.7,1012.9,1006.2,1004.8,1000.8,1002.4,1004.6,1010.6,1011.0,1013.4,1008.9
27,1016.9,1010.0,1012.0,1007.6,1004.6,999.0,1002.2,/,1009.6,1009.1,1012.9,1012.5
28,1015.5,1009.4,1007.4,1007.9,1004.5,999.0,1003.2,1001.2,1007.9,1008.1,1013.6,1013.4
29,1015.6,,1005.7,1004.8,1004.7,998.8,1003.2,1002.6,1004.7,1008.4,1014.7,1012.6
30,1015.2,,1008.1,1003.8,1005.0,998.7,1002.2,/,996.3,1009.6,1013.6,1013.8
31,1013.0,,1011.2,,1004.4,,1001.4,1002.6,,1009.5,,1017.5
平均,1014.4,1012.5,1009.8,1007.1,1004.7,1002.3,1001.6,998.5,1003.6,1008.6,1009.9,1013
