2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,290.0,280.0,310.0,300.0,320.0,270.0,110.0,330.0,320.0,220.0,300.0,250.0
2,290.0,290.0,270.0,280.0,230.0,270.0,180.0,130.0,/,270.0,290.0,290.0
3,280.0,310.0,280.0,290.0,270.0,290.0,220.0,120.0,/,280.0,270.0,290.0
4,280.0,300.0,290.0,290.0,280.0,290.0,290.0,120.0,200.0,270.0,220.0,290.0
5,300.0,290.0,290.0,/,240.0,300.0,150.0,310.0,270.0,240.0,280.0,290.0
6,290.0,290.0,280.0,300.0,280.0,250.0,260.0,260.0,310.0,270.0,310.0,280.0
7,320.0,300.0,270.0,290.0,/,280.0,260.0,290.0,240.0,270.0,310.0,280.0
8,270.0,290.0,260.0,280.0,250.0,120.0,280.0,330.0,290.0,260.0,290.0,290.0
9,300.0,290.0,190.0,270.0,280.0,330.0,260.0,310.0,290.0,190.0,290.0,270.0
10,290.0,290.0,290.0,270.0,280.0,240.0,270.0,60.0,40.0,290.0,290.0,290.0
11,300.0,310.0,260.0,310.0,70.0,280.0,280.0,160.0,240.0,270.0,260.0,280.0
12,300.0,210.0,240.0,320.0,330.0,290.0,300.0,350.0,340.0,280.0,260.0,270.0
13,290.0,200.0,290.0,270.0,270.0,230.0,300.0,300.0,310.0,290.0,290.0,260.0
14,300.0,210.0,290.0,290.0,270.0,190.0,310.0,310.0,280.0,250.0,290.0,300.0
15,300.0,210.0,230.0,320.0,290.0,290.0,160.0,300.0,300.0,270.0,280.0,280.0
16,300.0,300.0,280.0,280.0,260.0,280.0,330.0,330.0,300.0,290.0,280.0,290.0
17,300.0,290.0,260.0,/,320.0,280.0,290.0,150.0,280.0,300.0,280.0,280.0
18,290.0,280.0,310.0,220.0,290.0,300.0,280.0,260.0,290.0,240.0,300.0,300.0
19,300.0,300.0,300.0,220.0,30.0,290.0,30.0,320.0,300.0,270.0,250.0,300.0
20,290.0,290.0,250.0,270.0,90.0,290.0,340.0,300.0,340.0,280.0,260.0,300.0
21,280.0,280.0,230.0,290.0,/,320.0,290.0,200.0,150.0,260.0,250.0,300.0
22,290.0,290.0,280.0,/,90.0,290.0,280.0,130.0,220.0,300.0,280.0,280.0
23,260.0,240.0,290.0,300.0,180.0,320.0,330.0,310.0,250.0,280.0,270.0,300.0
24,290.0,270.0,300.0,290.0,220.0,270.0,300.0,170.0,280.0,280.0,250.0,290.0
25,290.0,280.0,270.0,300.0,270.0,200.0,350.0,170.0,280.0,260.0,270.0,290.0
26,300.0,300.0,220.0,/,140.0,190.0,320.0,60.0,260.0,230.0,260.0,310.0
27,300.0,260.0,210.0,270.0,160.0,190.0,200.0,80.0,300.0,260.0,280.0,300.0
28,300.0,280.0,310.0,240.0,250.0,210.0,340.0,110.0,300.0,250.0,270.0,260.0
29,300.0,230.0,280.0,/,210.0,230.0,300.0,290.0,270.0,260.0,290.0,310.0
30,300.0,,270.0,280.0,270.0,130.0,70.0,320.0,270.0,250.0,270.0,300.0
31,270.0,,270.0,,290.0,,300.0,80.0,,190.0,,300.0
平均,292.3,274.5,270,281.6,232.1,257,257.4,224.5,268.6,261.9,276.3,287.7
