2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,290.0,280.0,310.0,300.0,270.0,260.0,170.0,350.0,340.0,170.0,270.0,260.0
2,270.0,340.0,260.0,320.0,210.0,240.0,210.0,60.0,/,280.0,360.0,290.0
3,280.0,320.0,310.0,260.0,270.0,290.0,200.0,200.0,/,270.0,200.0,280.0
4,270.0,300.0,300.0,290.0,280.0,280.0,260.0,170.0,270.0,300.0,210.0,280.0
5,300.0,280.0,300.0,/,180.0,280.0,250.0,340.0,260.0,250.0,270.0,270.0
6,300.0,300.0,260.0,300.0,270.0,250.0,250.0,110.0,320.0,180.0,300.0,280.0
7,10.0,290.0,290.0,300.0,/,300.0,280.0,280.0,210.0,130.0,270.0,280.0
8,170.0,300.0,230.0,280.0,260.0,220.0,270.0,130.0,250.0,170.0,290.0,300.0
9,330.0,330.0,180.0,290.0,270.0,360.0,250.0,290.0,270.0,270.0,290.0,300.0
10,280.0,280.0,320.0,270.0,250.0,110.0,260.0,240.0,140.0,330.0,280.0,290.0
11,300.0,330.0,320.0,310.0,50.0,280.0,270.0,190.0,250.0,280.0,250.0,290.0
12,300.0,200.0,210.0,340.0,320.0,270.0,280.0,360.0,290.0,270.0,240.0,200.0
13,300.0,200.0,280.0,260.0,270.0,190.0,290.0,190.0,280.0,280.0,300.0,230.0
14,330.0,180.0,290.0,260.0,260.0,200.0,220.0,180.0,190.0,250.0,300.0,360.0
15,330.0,200.0,200.0,270.0,80.0,290.0,40.0,250.0,10.0,280.0,270.0,280.0
16,310.0,290.0,260.0,290.0,240.0,280.0,290.0,300.0,280.0,270.0,300.0,290.0
17,330.0,290.0,250.0,/,310.0,280.0,270.0,180.0,320.0,210.0,260.0,290.0
18,280.0,300.0,270.0,210.0,270.0,280.0,260.0,250.0,270.0,240.0,280.0,300.0
19,270.0,280.0,280.0,260.0,340.0,280.0,130.0,180.0,290.0,280.0,260.0,290.0
20,330.0,270.0,300.0,260.0,190.0,260.0,160.0,260.0,140.0,300.0,300.0,300.0
21,290.0,280.0,220.0,260.0,292.5,280.0,90.0,190.0,150.0,170.0,300.0,290.0
22,260.0,290.0,270.0,/,280.0,280.0,260.0,210.0,260.0,290.0,270.0,210.0
23,280.0,280.0,280.0,330.0,180.0,260.0,200.0,10.0,180.0,280.0,290.0,310.0
24,290.0,260.0,320.0,260.0,240.0,270.0,280.0,190.0,160.0,210.0,260.0,280.0
25,290.0,210.0,250.0,280.0,200.0,270.0,270.0,280.0,80.0,280.0,270.0,290.0
26,340.0,340.0,200.0,/,230.0,190.0,150.0,240.0,260.0,170.0,260.0,290.0
27,300.0,190.0,190.0,260.0,220.0,230.0,230.0,210.0,350.0,290.0,270.0,200.0
28,290.0,300.0,300.0,210.0,300.0,260.0,290.0,150.0,340.0,160.0,170.0,210.0
29,310.0,190.0,260.0,/,230.0,280.0,260.0,280.0,270.0,180.0,280.0,300.0
30,320.0,,200.0,260.0,260.0,210.0,60.0,150.0,290.0,200.0,280.0,310.0
31,270.0,,270.0,,270.0,,360.0,280.0,,210.0,,290.0
平均,284.5,272.4,263.9,277.2,243.1,257.7,227.7,216.1,240,240.3,271.7,278.7
