2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,24.4,23.1,32.0,30.5,34.0,34.1,31.3,33.8,33.2,31.6,30.7,27.8
2,24.7,25.1,28.1,26.3,34.9,34.3,33.3,32.1,/,33.4,30.4,28.4
3,25.3,25.3,29.8,28.9,33.8,33.9,33.7,28.4,/,33.9,30.1,25.4
4,25.9,24.7,28.2,29.5,34.7,35.1,34.1,30.6,33.5,34.3,29.3,25.2
5,26.3,25.3,24.9,28.0,33.9,34.4,33.6,34.4,34.1,33.7,29.9,26.8
6,26.9,24.5,27.1,22.5,33.9,34.3,33.3,35.1,33.7,33.2,28.3,27.9
7,27.7,26.9,31.1,27.7,34.5,34.1,33.5,35.2,33.8,30.0,28.5,29.8
8,28.6,26.2,30.4,28.2,33.8,32.4,34.5,34.7,34.3,29.1,28.2,26.6
9,25.6,23.9,29.8,29.3,33.6,32.0,34.1,33.9,34.4,32.3,25.1,25.1
10,27.5,25.9,26.6,29.1,35.0,34.7,34.9,34.1,34.6,31.9,28.1,27.1
11,27.6,23.1,25.1,29.7,34.5,35.9,34.8,29.7,34.0,34.0,29.7,29.5
12,24.4,29.9,29.9,27.3,31.4,35.3,35.9,34.8,34.0,33.4,28.4,27.2
13,24.6,28.8,30.6,26.9,32.9,36.5,36.2,34.0,34.8,33.9,27.4,31.6
14,27.9,30.4,22.5,26.6,34.2,34.8,34.8,33.9,35.0,34.8,26.6,27.3
15,25.0,31.3,24.1,29.2,35.4,34.0,30.5,32.7,35.1,32.0,27.6,26.3
16,27.7,30.7,26.2,30.3,35.7,34.3,33.8,33.9,34.2,32.0,30.6,24.9
17,24.9,15.9,27.5,31.6,34.5,34.6,34.3,32.0,34.3,31.0,31.1,26.6
18,23.8,22.6,26.8,32.9,33.5,34.4,34.8,33.4,34.5,31.6,31.5,27.8
19,24.8,24.3,29.2,32.2,29.6,35.1,35.0,34.2,34.2,30.5,32.7,24.5
20,27.9,26.7,29.4,34.7,29.3,34.7,34.6,33.1,34.1,31.4,32.8,24.7
21,27.0,26.3,30.3,32.2,25.9,33.6,35.4,33.1,34.0,31.1,31.1,19.8
22,29.5,27.0,30.7,30.4,25.0,33.9,35.4,31.5,33.0,30.8,31.4,25.0
23,29.1,25.8,31.2,26.9,27.1,33.7,35.5,32.4,33.7,25.5,29.1,25.2
24,29.1,29.0,28.3,25.4,32.1,33.8,34.4,32.9,33.0,29.7,29.4,28.4
25,26.5,31.2,31.2,29.1,33.2,34.0,33.8,31.7,32.2,29.6,29.8,25.9
26,28.3,31.1,32.8,32.2,31.9,33.5,33.6,26.0,32.4,31.2,30.1,27.9
27,23.9,27.9,32.2,32.0,29.9,34.5,34.9,28.2,33.4,32.8,30.0,26.8
28,18.8,29.4,31.8,30.2,32.8,35.1,33.9,30.3,34.3,32.3,28.1,29.4
29,20.1,29.9,28.3,32.4,31.9,34.6,33.3,33.5,32.7,31.8,27.6,29.3
30,20.6,,31.2,33.1,33.2,32.1,31.1,33.9,33.4,29.7,26.1,19.5
31,21.9,,31.3,,33.5,,31.6,33.0,,28.7,,15.4
平均,25.7,26.6,29,29.5,32.6,34.3,34,32.6,33.9,31.7,29.3,26.2
