2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,1.4,0.8,1.1,1.1,1.2,1.3,1.3,,,,,
2,1.1,0.8,1.9,1.4,1.3,1.5,1.6,,,,,
3,1.2,1.2,1.3,1.5,0.8,1.4,1.1,,,,,
4,1.7,1.0,1.5,1.5,1.8,2.3,1.7,,,,,
5,2.0,1.0,1.2,1.3,1.8,1.2,0.9,,,,,
6,1.2,1.2,1.6,1.1,1.7,1.8,1.8,,,,,
7,2.1,1.1,2.1,0.7,1.2,1.0,,,,,,
8,2.4,1.0,1.8,1.1,1.7,1.1,,,,,,
9,1.7,1.4,1.9,1.9,1.6,1.3,,,,,,
10,1.0,1.2,1.3,1.8,1.3,1.0,,,,,,
11,1.8,2.6,1.4,1.2,1.5,1.3,,,,,,
12,1.9,1.8,1.1,1.2,1.6,1.0,,,,,,
13,1.1,1.4,1.4,1.7,1.7,1.1,,,,,,
14,0.8,1.6,1.3,1.7,1.3,1.6,,,,,,
15,0.9,1.3,1.0,2.1,2.0,1.0,,,,,,
16,0.9,1.2,1.4,1.6,1.7,1.3,,,,,,
17,2.3,1.9,1.1,1.7,1.6,0.8,,,,,,
18,1.4,1.7,1.2,1.6,1.9,1.0,,,,,,
19,1.0,1.1,1.2,1.0,2.0,1.4,,,,,,
20,1.0,1.1,1.2,1.2,1.8,1.0,,,,,,
21,0.9,1.0,2.7,1.5,1.7,1.9,,,,,,
22,1.2,1.0,1.9,1.6,1.4,1.1,,,,,,
23,1.6,1.2,1.1,1.9,1.5,1.3,,,,,,
24,1.3,1.4,1.6,2.3,1.8,1.4,,,,,,
25,1.4,1.6,1.4,0.9,1.2,1.4,,,,,,
26,1.2,1.6,1.1,1.0,0.9,1.2,,,,,,
27,1.8,1.7,1.1,1.0,1.6,1.1,,,,,,
28,2.7,1.4,1.4,1.2,1.7,1.2,,,,,,
29,1.6,,1.0,0.9,1.0,1.1,,,,,,
30,1.5,,1.5,1.3,1.1,1.1,,,,,,
31,1.0,,1.3,,0.9,,,,,,,
平均,1.5,1.3,1.4,1.4,1.5,1.3,1.4, , , , , 
