2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,21.7,23.2,23.3,24.7,28.8,29.7,28.6,29.3,28.4,26.9,22.7
2,20.6,22.1,23.3,23.7,24.2,29.6,27.1,27.6,28.8,28.0,26.4,21.2
3,21.7,23.5,23.7,25.6,23.9,29.6,27.2,28.2,27.7,27.0,26.7,/
4,22.3,23.0,22.7,24.5,24.2,27.1,28.9,29.3,26.1,27.5,24.8,19.2
5,24.0,22.4,25.1,26.0,24.6,29.0,27.8,27.7,27.7,27.1,24.5,17.7
6,23.4,22.5,24.1,25.2,22.8,29.8,28.0,27.7,28.0,27.3,24.8,16.8
7,22.6,24.2,20.6,25.6,24.0,29.7,28.1,/,27.9,28.0,24.2,17.0
8,22.8,22.2,19.2,25.7,24.9,30.0,26.7,29.5,28.5,27.7,24.5,17.9
9,22.7,22.6,22.9,26.2,26.6,29.9,26.5,29.2,28.3,27.1,23.9,19.5
10,23.6,22.6,22.4,26.6,26.7,28.2,29.1,29.8,26.5,27.6,23.4,/
11,24.3,22.8,20.6,26.6,27.3,27.1,26.0,29.9,28.2,27.7,23.7,/
12,24.4,22.4,21.5,25.3,27.8,27.6,28.9,28.9,28.9,27.1,23.9,20.6
13,23.2,24.3,23.1,25.9,28.5,28.0,29.6,27.0,29.2,27.5,24.5,21.1
14,22.3,24.5,23.3,27.0,28.8,27.2,29.9,27.9,28.8,27.5,24.1,21.9
15,22.2,23.6,22.3,25.7,28.1,28.8,30.1,29.4,27.9,26.8,23.6,22.2
16,20.4,23.6,23.2,24.3,29.2,28.8,30.5,/,28.2,26.4,23.8,22.8
17,19.9,22.2,23.9,25.0,/,29.6,/,25.7,28.7,26.6,25.1,23.5
18,19.4,24.0,24.4,26.5,28.8,30.2,28.7,25.1,28.7,26.6,25.7,23.6
19,21.1,25.7,24.8,24.7,29.0,30.2,26.3,25.6,28.1,26.6,23.5,22.6
20,21.8,25.2,25.3,27.2,26.8,30.2,25.8,25.6,27.3,26.2,23.6,22.0
21,19.3,25.0,25.1,25.6,25.1,30.4,27.3,27.1,26.3,25.7,23.4,22.9
22,/,23.6,26.1,26.9,25.5,30.6,28.1,29.3,26.7,26.1,23.7,23.3
23,/,21.6,21.6,/,26.6,28.4,/,29.7,/,26.6,25.0,22.4
24,19.9,21.9,20.8,27.4,26.4,28.7,29.1,26.9,27.0,26.4,25.7,23.0
25,20.5,21.9,23.6,28.0,27.3,27.6,29.4,27.3,27.4,26.4,25.1,22.8
26,19.1,22.4,23.7,27.3,28.5,26.8,/,29.6,27.4,25.9,24.2,23.9
27,18.5,23.3,24.7,27.4,28.2,27.3,28.2,/,27.1,26.4,24.2,20.6
28,19.6,24.9,25.5,27.3,/,29.2,28.7,29.5,27.7,26.5,23.0,20.9
29,20.9,,25.5,/,27.2,29.2,29.9,29.1,28.3,26.0,21.5,20.9
30,21.5,,24.9,28.2,27.8,30.4,30.1,26.9,27.8,26.0,21.9,22.4
31,23.8,,24.9,,28.1,,30.1,28.3,,26.8,,21.9
平均,21.6,23.2,23.4,26,26.6,28.9,28.4,28.1,27.9,26.9,24.3,21.3
