2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,2019-02-01 10:28:00,2019-03-01 14:40:00,2019-04-01 11:17:00,2019-05-01 01:14:00,2019-06-01 10:29:00,2019-07-01 09:47:00,2019-08-01 13:00:00,2019-09-01 11:41:00,2019-10-01 11:23:00,2019-11-01 09:47:00,2019-12-01 10:57:00
2,2019-01-02 13:45:00,2019-02-02 15:13:00,2019-03-02 15:15:00,2019-04-02 09:27:00,2019-05-02 14:34:00,2019-06-02 09:35:00,2019-07-02 11:54:00,2019-08-02 11:00:00,2019-09-02 08:46:00,2019-10-02 09:39:00,2019-11-02 09:51:00,2019-12-02 15:14:00
3,2019-01-03 12:21:00,2019-02-03 09:20:00,2019-03-03 10:33:00,2019-04-03 15:00:00,2019-05-03 12:16:00,2019-06-03 17:47:00,2019-07-03 12:02:00,2019-08-03 11:12:00,2019-09-03 09:47:00,2019-10-03 12:04:00,2019-11-03 14:02:00,/
4,2019-01-04 12:31:00,2019-02-04 14:06:00,2019-03-04 13:57:00,2019-04-04 12:37:00,2019-05-04 12:44:00,2019-06-04 14:32:00,2019-07-04 10:08:00,2019-08-04 09:53:00,2019-09-04 13:25:00,2019-10-04 14:07:00,2019-11-04 13:03:00,2019-12-04 13:17:00
5,2019-01-05 10:12:00,2019-02-05 16:05:00,2019-03-05 11:44:00,2019-04-05 11:56:00,2019-05-05 10:30:00,2019-06-05 11:57:00,2019-07-05 16:53:00,2019-08-05 11:59:00,2019-09-05 10:21:00,2019-10-05 10:28:00,2019-11-05 12:39:00,2019-12-05 14:24:00
6,2019-01-06 12:23:00,2019-02-06 11:01:00,2019-03-06 09:50:00,2019-04-06 16:12:00,2019-05-06 09:58:00,2019-06-06 14:48:00,2019-07-06 13:28:00,2019-08-06 10:59:00,2019-09-06 11:16:00,2019-10-06 11:36:00,2019-11-06 10:34:00,2019-12-06 11:59:00
7,2019-01-07 11:06:00,2019-02-07 13:54:00,2019-03-07 14:34:00,2019-04-07 15:34:00,2019-05-07 15:17:00,2019-06-07 15:10:00,2019-07-07 11:36:00,/,2019-09-07 13:21:00,2019-10-07 10:36:00,2019-11-07 11:35:00,2019-12-07 16:34:00
8,2019-01-08 11:30:00,2019-02-08 10:26:00,2019-03-08 15:54:00,2019-04-08 09:58:00,2019-05-08 12:09:00,2019-06-08 08:45:00,2019-07-08 17:12:00,2019-08-08 11:14:00,2019-09-08 09:40:00,2019-10-08 10:03:00,2019-11-08 10:37:00,2019-12-08 10:41:00
9,2019-01-09 11:24:00,2019-02-09 11:28:00,2019-03-09 11:18:00,2019-04-09 09:26:00,2019-05-09 11:58:00,2019-06-09 14:21:00,2019-07-09 10:19:00,2019-08-09 12:36:00,2019-09-09 11:10:00,2019-10-09 10:29:00,2019-11-09 10:28:00,2019-12-09 11:24:00
10,2019-01-10 10:58:00,2019-02-10 11:30:00,2019-03-10 12:54:00,2019-04-10 13:57:00,2019-05-10 17:07:00,2019-06-10 09:55:00,2019-07-10 11:09:00,2019-08-10 17:01:00,2019-09-10 09:28:00,2019-10-10 14:08:00,2019-11-10 10:21:00,/
11,2019-01-11 10:55:00,2019-02-11 14:45:00,2019-03-11 11:33:00,2019-04-11 12:22:00,2019-05-11 10:39:00,2019-06-11 13:35:00,2019-07-11 15:31:00,2019-08-11 12:18:00,2019-09-11 10:57:00,2019-10-11 14:29:00,2019-11-11 12:51:00,/
12,2019-01-12 10:29:00,2019-02-12 13:18:00,2019-03-12 11:59:00,2019-04-12 18:04:00,2019-05-12 12:56:00,2019-06-12 13:02:00,2019-07-12 09:43:00,2019-08-12 13:51:00,2019-09-12 09:48:00,2019-10-12 09:11:00,2019-11-12 11:24:00,2019-12-12 10:41:00
13,2019-01-13 11:40:00,2019-02-13 11:11:00,2019-03-13 10:57:00,2019-04-13 12:42:00,2019-05-13 09:40:00,2019-06-13 09:55:00,2019-07-13 15:47:00,2019-08-13 13:37:00,2019-09-13 10:28:00,2019-10-13 12:01:00,2019-11-13 10:36:00,2019-12-13 14:28:00
14,2019-01-14 11:07:00,2019-02-14 12:57:00,2019-03-14 13:39:00,2019-04-14 14:34:00,2019-05-14 12:52:00,2019-06-14 15:59:00,2019-07-14 08:48:00,2019-08-14 15:59:00,2019-09-14 21:50:00,2019-10-14 22:44:00,2019-11-14 10:25:00,2019-12-14 11:31:00
15,2019-01-15 11:14:00,2019-02-15 16:44:00,2019-03-15 11:51:00,2019-04-15 13:09:00,2019-05-15 13:53:00,2019-06-15 14:37:00,2019-07-15 09:51:00,2019-08-15 12:29:00,2019-09-15 11:19:00,2019-10-15 10:36:00,2019-11-15 09:24:00,2019-12-15 11:02:00
16,2019-01-16 14:43:00,2019-02-16 14:05:00,2019-03-16 10:55:00,2019-04-16 12:47:00,2019-05-16 12:21:00,2019-06-16 13:45:00,2019-07-16 11:39:00,/,2019-09-16 11:47:00,2019-10-16 08:33:00,2019-11-16 11:38:00,2019-12-16 11:43:00
17,2019-01-17 14:02:00,2019-02-17 11:18:00,2019-03-17 10:26:00,2019-04-17 10:47:00,/,2019-06-17 14:18:00,/,2019-08-17 04:58:00,2019-09-17 10:19:00,2019-10-17 09:50:00,2019-11-17 13:21:00,2019-12-17 11:32:00
18,2019-01-18 10:37:00,2019-02-18 10:55:00,2019-03-18 10:33:00,2019-04-18 10:33:00,2019-05-18 16:12:00,2019-06-18 13:08:00,2019-07-18 08:16:00,2019-08-18 07:34:00,2019-09-18 15:52:00,2019-10-18 10:00:00,2019-11-18 14:31:00,2019-12-18 10:53:00
19,2019-01-19 11:51:00,2019-02-19 13:06:00,2019-03-19 13:04:00,2019-04-19 11:04:00,2019-05-19 12:42:00,2019-06-19 15:45:00,2019-07-19 10:48:00,2019-08-19 16:50:00,2019-09-19 11:08:00,2019-10-19 11:19:00,2019-11-19 12:29:00,2019-12-19 14:43:00
20,2019-01-20 13:49:00,2019-02-20 11:16:00,2019-03-20 12:30:00,2019-04-20 11:25:00,2019-05-20 08:56:00,2019-06-20 14:17:00,2019-07-20 13:47:00,2019-08-20 10:05:00,2019-09-20 12:53:00,2019-10-20 09:02:00,2019-11-20 10:00:00,2019-12-20 15:26:00
21,2019-01-21 15:38:00,2019-02-21 09:32:00,2019-03-21 10:23:00,2019-04-21 14:59:00,2019-05-21 14:05:00,2019-06-21 15:53:00,2019-07-21 16:38:00,2019-08-21 14:52:00,2019-09-21 11:44:00,2019-10-21 18:36:00,2019-11-21 10:31:00,2019-12-21 15:36:00
22,/,2019-02-22 12:31:00,2019-03-22 11:06:00,2019-04-22 08:10:00,2019-05-22 11:36:00,2019-06-22 16:36:00,2019-07-22 13:23:00,2019-08-22 12:32:00,2019-09-22 13:27:00,2019-10-22 10:10:00,2019-11-22 10:59:00,2019-12-22 12:42:00
23,/,2019-02-23 19:15:00,2019-03-23 09:11:00,/,2019-05-23 10:33:00,2019-06-23 10:51:00,/,2019-08-23 13:02:00,/,2019-10-23 09:35:00,2019-11-23 13:23:00,2019-12-23 11:07:00
24,2019-01-24 11:26:00,2019-02-24 14:09:00,2019-03-24 15:33:00,2019-04-24 15:35:00,2019-05-24 14:54:00,2019-06-24 13:48:00,2019-07-24 13:27:00,2019-08-24 20:04:00,2019-09-24 10:46:00,2019-10-24 11:35:00,2019-11-24 12:51:00,2019-12-24 10:43:00
25,2019-01-25 11:48:00,2019-02-25 14:28:00,2019-03-25 13:47:00,2019-04-25 15:07:00,2019-05-25 15:34:00,2019-06-25 08:46:00,2019-07-25 09:29:00,2019-08-25 14:08:00,2019-09-25 10:26:00,2019-10-25 08:51:00,2019-11-25 10:56:00,2019-12-25 10:44:00
26,2019-01-26 17:32:00,2019-02-26 14:05:00,2019-03-26 12:32:00,2019-04-26 09:23:00,2019-05-26 15:11:00,2019-06-26 11:04:00,/,2019-08-26 15:52:00,2019-09-26 09:25:00,2019-10-26 13:15:00,2019-11-26 14:52:00,2019-12-26 13:55:00
27,2019-01-27 10:44:00,2019-02-27 13:11:00,2019-03-27 11:14:00,2019-04-27 12:48:00,2019-05-27 17:12:00,2019-06-27 12:35:00,2019-07-27 16:01:00,/,2019-09-27 09:39:00,2019-10-27 10:29:00,2019-11-27 11:11:00,2019-12-27 19:40:00
28,2019-01-28 11:12:00,2019-02-28 10:43:00,2019-03-28 09:14:00,2019-04-28 09:46:00,/,2019-06-28 10:36:00,2019-07-28 11:17:00,2019-08-28 10:52:00,2019-09-28 10:19:00,2019-10-28 11:04:00,2019-11-28 19:25:00,2019-12-28 12:17:00
29,2019-01-29 11:37:00,,2019-03-29 09:45:00,/,2019-05-29 16:33:00,2019-06-29 15:05:00,2019-07-29 14:01:00,2019-08-29 12:05:00,2019-09-29 10:59:00,2019-10-29 14:34:00,2019-11-29 11:19:00,2019-12-29 16:00:00
30,2019-01-30 11:36:00,,2019-03-30 10:14:00,2019-04-30 10:35:00,2019-05-30 10:11:00,2019-06-30 15:20:00,2019-07-30 09:24:00,2019-08-30 10:07:00,2019-09-30 08:27:00,2019-10-30 09:49:00,2019-11-30 11:16:00,2019-12-30 13:58:00
31,2019-01-31 14:09:00,,2019-03-31 14:01:00,,2019-05-31 09:15:00,,2019-07-31 12:37:00,2019-08-31 10:21:00,,2019-10-31 13:18:00,,2019-12-31 14:56:00
平均, , , , , , , , , , , , 
