2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,0.0,0.0,0.0,7.4,0.0,2.7,0.0,0.0,0.5,0.0,0.0
2,0.0,0.0,0.0,0.0,0.5,0.0,9.4,0.1,3.2,0.4,0.0,0.0
3,0.0,0.0,0.0,0.0,0.2,0.0,9.7,0.0,2.5,8.6,0.0,/
4,0.0,0.1,0.0,0.0,0.0,4.1,6.6,0.0,4.2,0.0,0.0,0.5
5,0.5,1.4,0.0,0.0,0.0,0.0,4.7,0.6,0.3,0.0,0.0,0.5
6,0.0,0.0,0.0,0.0,2.0,0.0,1.6,9.2,7.9,0.0,0.0,0.5
7,0.0,0.0,0.0,0.0,0.0,0.0,6.1,/,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.8,0.0,0.0,0.3,10.8,1.7,1.8,0.0,0.0,0.0
10,0.0,0.0,5.6,0.0,0.0,4.9,4.8,0.0,2.9,0.0,0.0,/
11,0.0,0.0,1.0,0.0,0.0,6.9,12.7,0.6,0.0,0.0,0.0,/
12,0.0,0.0,0.0,0.0,0.0,3.7,0.0,10.9,0.0,10.6,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,4.6,3.7,9.2,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,9.3,0.1,7.6,1.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,6.9,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,/,0.0,/,10.4,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,1.6,0.0,5.4,8.2,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,3.8,0.7,0.0,14.5,0.8,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,6.8,0.0,5.8,1.1,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,1.6,5.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0
22,/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,/,0.0,0.4,/,0.0,1.8,/,4.7,/,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,2.1,0.0,8.8,0.0,0.6,0.0,0.0
26,0.0,0.0,0.0,0.2,0.0,1.3,/,0.0,0.0,0.4,0.0,0.0
27,0.0,0.0,0.0,0.1,0.0,4.5,9.3,/,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,/,0.0,0.5,0.0,0.0,0.0,0.0,0.5
29,0.0,,0.0,/,1.8,0.3,0.0,0.0,0.0,0.0,0.0,2.0
30,0.0,,0.0,0.0,0.0,0.0,0.0,10.1,0.0,0.0,0.0,0.5
31,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0
平均,0,0.1,0.3,0.2,0.9,1.5,4.1,3.3,1.1,0.7,0,0.2
