2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,270.0,290.0,280.0,350.0,250.0,200.0,80.0,290.0,310.0,280.0,250.0
2,340.0,280.0,230.0,280.0,280.0,270.0,230.0,210.0,280.0,280.0,270.0,30.0
3,240.0,210.0,340.0,290.0,280.0,270.0,200.0,250.0,260.0,280.0,280.0,/
4,270.0,220.0,280.0,280.0,270.0,350.0,270.0,270.0,280.0,270.0,320.0,350.0
5,240.0,50.0,180.0,300.0,250.0,280.0,280.0,270.0,280.0,280.0,280.0,350.0
6,280.0,320.0,270.0,280.0,310.0,200.0,270.0,290.0,100.0,280.0,270.0,350.0
7,280.0,270.0,350.0,270.0,280.0,220.0,250.0,/,280.0,290.0,260.0,340.0
8,280.0,280.0,350.0,280.0,280.0,260.0,230.0,350.0,220.0,290.0,240.0,280.0
9,270.0,270.0,300.0,180.0,280.0,280.0,280.0,310.0,250.0,270.0,240.0,270.0
10,280.0,280.0,340.0,270.0,270.0,340.0,290.0,280.0,360.0,220.0,260.0,/
11,280.0,280.0,280.0,290.0,280.0,300.0,210.0,280.0,280.0,280.0,280.0,/
12,280.0,280.0,280.0,290.0,280.0,220.0,280.0,320.0,250.0,250.0,280.0,280.0
13,230.0,280.0,280.0,280.0,280.0,210.0,270.0,340.0,280.0,270.0,270.0,350.0
14,270.0,280.0,270.0,280.0,280.0,280.0,270.0,260.0,220.0,270.0,290.0,260.0
15,280.0,230.0,280.0,270.0,220.0,270.0,270.0,260.0,280.0,230.0,270.0,280.0
16,340.0,280.0,280.0,90.0,280.0,210.0,270.0,/,280.0,260.0,280.0,280.0
17,350.0,260.0,250.0,310.0,/,200.0,/,50.0,290.0,280.0,310.0,280.0
18,280.0,180.0,280.0,260.0,300.0,140.0,170.0,340.0,210.0,280.0,230.0,250.0
19,280.0,250.0,280.0,300.0,280.0,270.0,200.0,180.0,280.0,280.0,280.0,270.0
20,60.0,220.0,190.0,280.0,300.0,270.0,280.0,180.0,360.0,280.0,260.0,320.0
21,350.0,220.0,280.0,260.0,180.0,280.0,40.0,200.0,360.0,290.0,270.0,280.0
22,/,280.0,280.0,280.0,280.0,280.0,170.0,280.0,170.0,280.0,280.0,320.0
23,/,270.0,350.0,/,230.0,310.0,/,280.0,/,270.0,270.0,280.0
24,280.0,350.0,40.0,270.0,80.0,280.0,280.0,180.0,280.0,280.0,310.0,280.0
25,300.0,350.0,280.0,280.0,280.0,320.0,280.0,170.0,280.0,280.0,270.0,260.0
26,280.0,280.0,280.0,280.0,190.0,240.0,/,210.0,280.0,280.0,280.0,170.0
27,280.0,260.0,200.0,290.0,200.0,210.0,90.0,/,280.0,280.0,280.0,350.0
28,270.0,280.0,290.0,280.0,/,230.0,200.0,280.0,280.0,280.0,280.0,280.0
29,280.0,,280.0,/,270.0,180.0,170.0,220.0,280.0,250.0,290.0,350.0
30,280.0,,230.0,280.0,280.0,240.0,280.0,280.0,360.0,280.0,260.0,350.0
31,280.0,,270.0,,220.0,,160.0,280.0,,280.0,,280.0
平均,276.1,260,270.3,270.7,260.7,255.3,228.2,246.4,272.4,274.2,274.7,285.4
