2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,/,/,/,/,/,/,/,/,/,/,/
2,/,/,/,/,/,/,/,/,/,/,/,/
3,/,/,/,/,/,/,/,/,/,/,/,/
4,/,/,/,/,/,/,/,/,/,/,/,/
5,/,/,/,/,/,/,/,/,/,/,/,/
6,/,/,/,/,/,/,/,/,/,/,/,/
7,/,/,/,/,/,/,/,/,/,/,/,/
8,/,/,/,/,/,/,/,/,/,/,/,/
9,/,/,/,/,/,/,/,/,/,/,/,/
10,/,/,/,/,/,/,/,/,/,/,/,/
11,/,/,/,/,/,/,/,/,/,/,/,985.8
12,/,/,/,/,/,/,/,/,/,/,/,989.0
13,/,/,/,/,/,/,/,/,/,/,/,990.7
14,/,/,/,/,/,/,/,/,/,/,/,990.0
15,/,/,/,/,/,/,/,/,/,/,/,989.1
16,/,/,/,/,/,/,/,/,/,/,/,987.5
17,/,/,/,/,/,/,/,/,/,/,/,987.5
18,/,/,/,/,/,/,/,/,/,/,/,987.7
19,/,/,/,/,/,/,/,/,/,/,/,987.8
20,/,/,/,/,/,/,/,/,/,/,/,987.1
21,/,/,/,/,/,/,/,/,/,/,/,985.9
22,/,/,/,/,/,/,/,/,/,/,/,984.2
23,/,/,/,/,/,/,/,/,/,/,/,985.4
24,/,/,/,/,/,/,/,/,/,/,/,986.6
25,/,/,/,/,/,/,/,/,/,/,/,985.0
26,/,/,/,/,/,/,/,/,/,/,/,983.9
27,/,/,/,/,/,/,/,/,/,/,/,986.9
28,/,/,/,/,/,/,/,/,/,/,/,987.9
29,/,,/,/,/,/,/,/,/,/,/,987.2
30,/,,/,/,/,/,/,/,/,/,/,988.5
31,/,,/,,/,,/,/,,/,,992.0
平均,/,/,/,/,/,/,/,/,/,/,/,987.4
