2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,7.0,9.1,9.7,9.0,10.8,11.5,6.7,7.9,10.8,8.1,8.6,6.6
2,8.4,8.7,8.5,5.6,10.6,10.5,4.1,7.7,9.4,9.0,9.2,7.5
3,8.5,9.0,9.5,6.4,11.2,11.6,10.3,6.1,9.6,8.8,8.9,4.8
4,8.5,9.1,6.9,10.3,10.8,11.7,10.8,7.9,10.0,9.2,7.0,7.6
5,8.3,9.1,5.3,7.3,11.3,10.1,9.7,9.5,9.9,8.3,7.6,8.0
6,8.3,7.9,8.7,4.9,10.7,9.9,11.4,8.0,10.8,9.7,5.3,8.5
7,8.5,9.1,9.8,10.5,10.5,10.7,10.9,9.5,10.7,5.9,6.6,8.4
8,8.3,9.1,9.7,9.4,9.4,8.1,11.5,10.7,10.7,7.0,8.5,7.2
9,8.5,7.6,9.9,9.4,8.7,10.0,10.6,11.2,10.2,8.3,4.6,4.7
10,8.3,8.2,6.5,10.4,10.1,10.8,10.3,7.3,7.8,8.3,7.9,6.6
11,8.6,7.3,3.5,8.6,8.9,10.8,10.5,8.8,7.3,9.5,7.5,8.0
12,8.7,9.3,9.2,7.6,9.8,10.9,10.9,8.6,6.8,8.1,8.3,8.2
13,8.7,6.9,9.9,10.8,8.8,10.6,11.0,9.8,9.0,8.7,7.8,8.3
14,8.7,8.2,0.9,9.9,10.1,11.6,9.2,9.4,10.1,9.0,5.4,7.8
15,8.7,9.4,8.7,10.6,9.7,11.4,7.8,9.9,9.5,9.2,7.5,0.0
16,8.7,8.0,9.7,11.0,9.3,11.1,11.4,7.1,9.8,9.5,8.5,8.1
17,8.7,2.6,10.1,11.0,11.6,11.4,10.4,9.2,10.3,7.3,8.1,7.4
18,8.8,9.3,8.0,10.5,10.4,11.3,11.5,7.8,7.1,7.2,8.0,8.5
19,8.7,8.4,9.7,10.6,2.9,11.7,9.0,8.9,10.4,8.0,7.7,8.6
20,8.8,8.8,9.2,10.6,4.7,11.5,8.0,8.9,9.2,7.8,8.4,7.3
21,8.8,9.3,9.9,10.4,4.8,10.8,10.1,7.7,9.4,6.9,8.0,4.9
22,8.6,8.4,10.2,7.8,0.2,11.1,9.1,6.9,8.8,8.0,8.1,7.4
23,7.1,7.7,10.3,6.1,5.5,2.7,8.3,10.2,9.8,4.2,7.4,7.2
24,8.0,9.5,8.5,4.0,7.2,10.2,9.8,10.6,9.4,5.9,7.2,8.3
25,8.3,9.6,9.5,10.1,10.4,11.5,8.3,10.2,6.3,6.2,7.0,7.7
26,7.0,9.7,10.5,10.3,7.1,10.5,9.9,0.9,8.3,8.5,8.7,8.4
27,8.4,8.7,10.5,8.0,5.2,10.1,11.0,4.0,10.3,8.9,8.5,8.0
28,3.5,9.5,9.5,8.8,7.2,10.7,6.7,7.4,9.7,9.0,6.5,8.1
29,8.1,7.6,9.5,10.9,10.4,11.6,7.2,8.7,8.9,8.0,6.4,7.5
30,8.5,,9.5,10.6,8.7,8.7,9.4,8.7,9.7,6.0,7.2,1.2
31,9.1,,8.7,,10.9,,7.6,7.8,,5.4,,5.3
總和,255.1,245.1,270,271.4,267.9,315.1,293.4,257.3,280,243.9,226.4,216.1
