2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,22.0,20.8,23.4,26.8,26.0,28.2,25.6,,,,,
2,21.5,20.7,23.7,27.1,26.3,28.1,26.1,,,,,
3,21.1,20.7,23.8,27.4,26.6,28.4,26.6,,,,,
4,20.9,20.8,23.7,27.6,26.5,28.7,26.9,,,,,
5,20.9,20.9,23.9,27.5,27.1,28.6,27.1,,,,,
6,21.1,21.0,24.1,27.1,27.4,24.7,27.1,,,,,
7,21.2,21.0,24.3,26.5,27.6,24.5,,,,,,
8,21.0,21.1,24.5,26.1,28.0,25.0,,,,,,
9,20.5,21.2,24.6,26.0,28.5,25.5,,,,,,
10,19.9,21.4,24.6,25.9,29.0,26.0,,,,,,
11,19.6,21.5,24.6,26.0,29.4,26.4,,,,,,
12,19.7,21.7,24.7,26.3,29.8,26.6,,,,,,
13,19.5,21.7,24.8,26.6,30.2,26.7,,,,,,
14,19.2,21.7,24.8,27.0,30.2,26.7,,,,,,
15,18.9,21.6,24.7,27.1,30.1,27.1,,,,,,
16,18.9,21.6,24.9,27.4,30.3,27.3,,,,,,
17,18.9,21.8,25.2,27.7,30.7,27.1,,,,,,
18,19.2,21.8,25.5,27.7,31.0,27.0,,,,,,
19,19.4,21.8,25.7,27.6,31.2,27.0,,,,,,
20,19.5,21.6,25.8,27.1,31.4,26.5,,,,,,
21,19.7,21.3,26.0,26.9,31.6,25.5,,,,,,
22,20.2,21.3,26.0,27.4,31.6,24.5,,,,,,
23,20.5,21.6,25.4,27.8,31.8,24.6,,,,,,
24,20.6,21.9,25.0,28.1,31.2,24.8,,,,,,
25,20.6,22.2,24.4,27.9,30.7,25.0,,,,,,
26,20.7,22.5,24.4,26.8,30.2,25.1,,,,,,
27,20.9,22.8,24.8,26.2,30.0,25.4,,,,,,
28,21.0,23.1,25.3,26.1,30.0,25.4,,,,,,
29,21.0,,25.7,26.0,30.2,25.3,,,,,,
30,21.0,,26.1,25.6,29.8,25.4,,,,,,
31,20.9,,26.5,,28.4,,,,,,,
平均,20.3,21.5,24.9,26.9,29.4,26.2,26.6, , , , , 
