2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,5.7,6.3,6.8,6.2,6.9,12.2,6.2,,,,,
2,6.1,7.6,8.0,6.9,7.6,7.8,7.4,,,,,
3,4.8,6.8,6.5,7.9,6.4,7.2,8.4,,,,,
4,6.4,7.6,8.6,5.8,8.6,8.2,5.3,,,,,
5,5.9,7.7,6.2,6.9,7.0,13.7,5.8,,,,,
6,5.0,6.4,6.1,4.3,6.4,11.9,7.5,,,,,
7,5.0,7.2,8.1,3.4,6.8,14.0,,,,,,
8,4.4,7.5,8.2,5.0,8.1,4.6,,,,,,
9,3.4,6.9,8.5,4.7,7.1,8.8,,,,,,
10,6.8,6.2,6.5,7.2,6.1,11.3,,,,,,
11,4.8,7.3,6.0,8.7,8.5,9.9,,,,,,
12,4.0,6.4,9.1,6.7,7.1,7.9,,,,,,
13,5.8,6.6,7.6,7.8,7.7,9.3,,,,,,
14,5.7,7.9,6.7,7.4,7.1,6.6,,,,,,
15,6.2,7.5,7.1,7.7,9.8,5.2,,,,,,
16,6.8,7.1,9.2,8.2,8.6,3.4,,,,,,
17,7.1,6.7,6.8,7.5,7.6,9.3,,,,,,
18,7.5,8.1,7.8,8.1,9.2,5.4,,,,,,
19,6.1,6.3,7.3,6.3,10.6,4.3,,,,,,
20,6.8,6.5,11.6,6.9,8.8,3.3,,,,,,
21,6.4,5.9,8.4,7.4,7.3,7.2,,,,,,
22,6.3,7.2,4.7,7.5,7.7,5.7,,,,,,
23,6.5,9.2,6.2,9.2,8.5,8.9,,,,,,
24,6.8,5.4,3.8,9.2,7.5,11.1,,,,,,
25,7.4,6.1,7.8,3.6,9.6,7.9,,,,,,
26,7.0,6.5,7.4,6.6,7.1,7.0,,,,,,
27,6.5,6.4,7.1,6.9,6.7,6.6,,,,,,
28,8.0,6.5,7.9,5.7,8.3,5.9,,,,,,
29,4.6,,6.0,2.3,8.3,8.2,,,,,,
30,5.4,,7.3,7.9,5.7,6.4,,,,,,
31,6.7,,7.0,,5.9,,,,,,,
平均,6,6.9,7.3,6.7,7.7,8,6.8, , , , , 
