2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,/,/,/,/,/,/,/,/,/,/,/
2,/,/,/,/,/,/,/,/,/,/,/,/
3,/,/,/,/,/,/,/,/,/,/,/,/
4,/,/,/,/,/,/,/,/,/,/,/,/
5,/,/,/,/,/,/,/,/,/,/,/,/
6,/,/,/,/,/,/,/,/,/,/,/,/
7,/,/,/,/,/,/,/,/,/,/,/,/
8,/,/,/,/,/,/,/,/,/,/,/,/
9,/,/,/,/,/,/,/,/,/,/,/,/
10,/,/,/,/,/,/,/,/,/,/,/,/
11,/,/,/,/,/,/,/,/,/,/,/,/
12,/,/,/,/,/,/,/,/,/,/,/,2.8
13,/,/,/,/,/,/,/,/,/,/,/,4.0
14,/,/,/,/,/,/,/,/,/,/,/,3.7
15,/,/,/,/,/,/,/,/,/,/,/,3.5
16,/,/,/,/,/,/,/,/,/,/,/,4.0
17,/,/,/,/,/,/,/,/,/,/,/,3.4
18,/,/,/,/,/,/,/,/,/,/,/,2.9
19,/,/,/,/,/,/,/,/,/,/,/,4.3
20,/,/,/,/,/,/,/,/,/,/,/,3.9
21,/,/,/,/,/,/,/,/,/,/,/,4.0
22,/,/,/,/,/,/,/,/,/,/,/,3.9
23,/,/,/,/,/,/,/,/,/,/,/,4.7
24,/,/,/,/,/,/,/,/,/,/,/,4.1
25,/,/,/,/,/,/,/,/,/,/,/,5.0
26,/,/,/,/,/,/,/,/,/,/,/,3.0
27,/,/,/,/,/,/,/,/,/,/,/,3.4
28,/,/,/,/,/,/,/,/,/,/,/,2.6
29,/,,/,/,/,/,/,/,/,/,/,2.6
30,/,,/,/,/,/,/,/,/,/,/,3.6
31,/,,/,,/,,/,/,,/,,3.3
平均,/,/,/,/,/,/,/,/,/,/,/,3.6
