2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,20.7,19.5,19.7,21.6,22.3,23.9,25.3,25.7,24.4,24.6,24.1,22.8
2,20.8,19.3,19.7,21.7,22.4,23.9,25.5,25.7,24.2,24.6,24.0,22.7
3,20.8,19.1,19.8,21.8,22.5,24.0,25.5,25.6,23.8,24.6,23.9,22.6
4,20.7,19.0,19.9,21.9,22.6,24.1,25.3,25.4,24.3,24.6,23.9,22.5
5,20.7,18.9,20.0,21.9,22.8,24.3,25.3,25.3,24.4,24.6,23.8,22.4
6,20.6,18.9,20.1,21.9,23.0,24.4,25.3,25.3,24.6,24.6,23.7,22.3
7,20.5,18.9,20.1,21.9,23.2,24.4,25.3,25.3,24.7,24.6,23.6,22.3
8,20.5,18.9,20.2,21.8,23.4,24.5,25.4,25.3,24.7,24.6,23.6,22.2
9,20.4,18.9,20.2,21.8,23.5,24.5,25.4,25.4,24.7,24.6,23.5,22.2
10,20.4,19.0,20.3,21.8,23.7,24.5,25.5,25.4,24.7,24.5,23.5,22.2
11,20.4,19.0,/,21.8,23.8,24.5,25.5,25.4,24.7,24.5,23.5,22.1
12,20.4,19.1,20.6,21.9,24.0,24.5,25.6,25.5,24.8,24.4,23.4,22.1
13,20.3,19.1,20.6,21.9,24.0,24.5,25.6,25.4,24.8,24.3,23.4,22.1
14,20.2,19.2,20.6,21.9,24.1,24.6,25.7,25.3,24.8,24.3,23.3,22.1
15,20.2,19.3,20.7,21.8,24.7,24.7,25.8,25.2,24.9,24.3,23.3,22.1
16,20.1,19.4,20.7,21.7,24.8,24.7,25.8,25.3,24.9,24.3,23.3,22.1
17,20.0,19.5,20.7,21.7,24.4,24.7,25.8,25.3,24.9,24.3,23.3,22.0
18,19.9,19.5,20.6,21.7,24.3,24.8,25.8,25.3,24.9,24.2,23.2,21.9
19,19.9,19.5,20.6,21.7,24.3,24.8,25.8,25.3,24.7,24.2,23.2,21.8
20,19.8,19.5,20.6,21.8,24.3,24.9,25.8,25.3,23.8,24.1,23.2,21.8
21,19.7,19.4,20.6,21.9,24.0,24.9,25.9,25.1,24.1,24.1,23.2,21.7
22,19.7,19.3,20.6,22.0,22.1,25.0,25.8,25.0,24.4,24.1,23.2,21.6
23,19.7,19.3,20.7,22.2,22.3,25.0,25.8,25.1,24.6,24.1,23.2,21.6
24,19.6,19.2,20.9,22.3,22.7,25.0,25.8,25.1,24.7,24.1,23.2,21.5
25,19.7,19.2,21.0,22.3,22.9,24.9,25.9,25.1,24.6,24.1,23.1,21.5
26,/,19.2,21.1,22.3,23.4,25.1,25.9,25.1,24.7,24.1,23.1,21.5
27,19.7,19.3,21.2,22.2,23.4,25.5,25.9,23.5,24.7,24.1,23.1,21.5
28,19.7,19.4,21.3,22.2,23.5,25.7,25.7,23.2,24.7,24.1,23.0,21.4
29,19.7,19.6,21.4,22.3,23.9,25.4,25.7,23.8,24.6,24.1,23.0,21.3
30,19.6,,21.5,22.3,23.9,25.3,25.8,24.1,24.5,24.1,22.9,21.3
31,19.6,,21.6,,23.8,,25.8,24.3,,24.1,,/
平均,20.1,19.2,20.6,21.9,23.5,24.7,25.6,25.1,24.6,24.3,23.4,22
