2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,94,64,75,77,73,85,96,87,91,90,85,89
2,89,61,81,97,76,84,94,93,93,86,86,86
3,89,65,80,87,71,81,90,98,93,85,86,95
4,87,74,86,81,74,79,87,96,91,83,93,94
5,87,82,96,84,70,85,91,88,91,91,90,90
6,85,86,86,95,68,88,90,88,83,88,88,89
7,83,75,78,88,68,80,87,85,75,95,94,87
8,81,82,83,84,74,87,82,87,87,93,91,91
9,86,83,78,79,77,83,78,92,87,87,97,96
10,87,82,92,77,82,81,77,95,90,91,95,97
11,83,84,/,74,93,84,82,96,92,89,91,92
12,81,72,85,90,94,83,81,89,95,90,89,90
13,84,88,84,72,90,82,81,89,91,87,90,85
14,70,86,98,68,83,84,88,94,88,88,94,88
15,79,89,91,68,83,82,96,92,90,87,95,88
16,71,88,77,64,87,85,88,90,88,88,89,91
17,76,99,76,68,78,81,83,95,86,92,89,88
18,85,88,81,63,84,77,79,90,90,93,89,82
19,80,78,81,69,92,82,86,89,92,93,87,87
20,67,80,79,61,94,81,89,91,94,90,93,89
21,71,80,80,80,98,80,84,93,93,91,91,97
22,73,77,78,85,99,79,88,95,93,93,90,92
23,82,86,72,95,99,80,90,95,91,99,91,94
24,82,78,88,94,96,92,89,90,93,95,91,90
25,82,71,80,84,87,87,93,93,97,95,89,94
26,/,76,78,76,95,87,89,99,95,92,86,81
27,84,89,79,77,97,84,88,99,89,89,85,83
28,95,86,78,86,95,84,96,98,88,90,90,88
29,91,84,83,78,95,84,94,90,92,92,90,86
30,84,,77,72,92,92,90,93,90,95,90,96
31,68,,78,,85,,84,93,,94,,90
平均,81.9,80.4,81.9,79.1,85.5,83.4,87.4,92.3,90.3,90.7,90.1,89.8
