2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,7.35,17.02,17.14,13.92,16.87,20.02,11.01,13.03,12.25,10.83,13.55,11.02
2,12.28,17.12,17.84,6.31,26.19,26.09,12.84,10.84,17.69,16.14,14.58,12.07
3,8.17,16.84,11.65,9.10,24.40,25.05,19.07,5.67,22.42,19.18,10.13,3.74
4,10.22,14.59,8.03,14.59,26.08,23.76,20.81,12.61,23.82,19.66,5.55,5.49
5,11.04,9.96,5.83,10.66,27.08,20.07,15.85,20.57,16.60,12.89,8.30,9.68
6,9.55,12.78,12.07,3.37,22.48,16.43,16.71,19.65,22.33,18.54,5.71,9.14
7,14.88,17.07,19.52,20.86,22.25,17.57,17.64,20.49,24.86,4.53,6.50,9.06
8,12.95,16.37,17.16,14.84,19.23,9.52,21.56,21.60,17.58,4.41,13.95,6.25
9,12.30,7.74,20.56,21.36,13.30,11.44,20.63,17.37,18.73,15.15,4.83,2.97
10,6.51,9.97,6.21,20.97,22.07,21.77,22.41,11.24,19.06,11.06,5.85,6.52
11,11.19,5.54,/,16.12,12.44,25.03,22.42,6.52,17.74,14.46,9.02,7.46
12,14.06,16.83,8.08,6.52,12.67,23.54,22.69,20.14,14.42,12.39,10.10,10.64
13,10.99,9.99,14.74,20.97,13.54,19.29,21.80,18.91,14.78,18.50,8.56,13.44
14,15.81,13.92,1.24,17.29,19.62,17.59,16.20,16.45,22.65,10.77,4.33,6.88
15,10.28,11.00,6.85,24.60,23.29,23.24,5.52,11.84,12.41,15.03,5.93,0.95
16,15.29,8.97,19.62,25.88,17.61,21.03,14.95,13.16,16.92,13.40,13.20,4.96
17,15.51,1.83,14.80,26.13,21.65,23.15,21.75,10.66,19.18,6.95,12.36,10.38
18,9.42,12.55,10.18,24.57,18.59,22.52,25.78,15.46,12.24,11.69,12.20,13.78
19,15.50,14.20,13.28,14.61,3.33,21.17,21.74,17.37,18.87,11.15,11.56,12.45
20,15.62,13.39,13.78,25.01,7.21,22.84,17.49,14.87,19.24,13.97,5.80,8.05
21,15.34,13.95,19.84,19.11,4.01,17.08,25.67,14.89,16.94,9.43,8.10,3.59
22,13.39,13.43,20.20,12.72,1.08,19.35,15.44,13.16,13.60,11.10,10.65,10.80
23,7.71,10.81,21.21,5.01,4.65,11.58,18.34,7.24,12.33,2.84,11.72,6.26
24,6.64,21.27,6.29,2.69,15.05,16.79,18.58,20.07,12.69,6.47,9.95,14.33
25,8.34,20.92,15.79,13.46,20.55,22.55,16.48,12.40,10.10,7.25,10.50,4.61
26,/,19.57,19.00,22.08,10.08,15.65,19.06,1.88,8.10,10.95,12.40,13.32
27,9.17,11.31,14.19,12.76,7.51,23.92,22.28,5.24,18.32,15.67,12.71,8.68
28,3.37,14.96,19.92,10.03,13.20,27.33,12.08,8.12,14.91,11.43,5.15,11.57
29,6.69,8.97,21.66,24.66,14.86,21.11,14.93,17.87,15.70,8.07,7.88,9.29
30,13.50,,17.45,21.62,13.85,12.65,7.32,11.20,17.24,3.23,6.97,1.87
31,18.00,,13.43,,21.05,,12.08,13.66,,4.48,,2.46
平均,11.4,13.2,14.3,16.1,16,20,17.8,13.7,16.8,11.3,9.3,8.1
