2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,8.6,6.1,11.6,15.3,16.8,18.5,20.6,18.1,16.0,16.9,12.2,10.1
2,/,7.7,11.5,13.0,17.2,20.7,19.6,/,18.3,14.0,13.1,9.7
3,8.0,8.4,11.0,14.0,16.3,19.6,19.3,16.0,16.8,15.0,13.0,9.1
4,8.7,6.4,12.3,14.0,17.5,19.5,18.6,17.9,17.0,16.1,14.2,10.4
5,9.8,8.2,9.9,11.3,17.9,/,21.2,19.0,16.7,18.0,15.2,10.2
6,11.2,7.5,11.1,9.9,19.5,/,20.4,17.9,16.9,17.6,15.6,11.6
7,10.8,8.7,11.5,10.6,17.2,/,20.0,16.4,15.9,17.1,15.7,13.6
8,9.0,9.8,12.2,11.5,19.7,/,20.7,17.7,17.9,17.2,15.3,15.4
9,8.1,8.9,10.9,11.9,20.6,14.8,16.0,18.4,18.5,16.9,12.5,11.4
10,8.3,8.3,10.2,10.7,20.6,16.2,18.3,17.7,17.5,17.0,12.1,/
11,9.0,9.6,10.6,9.5,16.2,17.3,18.0,16.4,18.9,17.7,11.4,/
12,9.4,10.9,11.0,9.7,13.9,18.2,19.1,18.1,16.7,17.1,12.4,/
13,4.3,10.6,11.9,7.9,16.6,20.3,19.1,17.2,15.8,17.4,13.7,/
14,/,9.6,10.7,9.2,17.2,18.5,20.8,18.0,16.1,16.4,14.0,/
15,/,11.2,10.1,10.8,18.5,20.3,21.4,18.3,16.3,15.4,13.6,10.2
16,/,9.6,9.0,11.4,16.1,20.4,19.8,19.3,17.4,18.0,12.7,10.7
17,8.1,7.7,13.4,13.4,16.7,18.8,20.4,17.1,17.2,16.2,13.2,9.0
18,7.6,6.0,13.1,14.2,12.7,19.7,21.1,16.7,16.2,16.7,13.7,9.2
19,8.9,7.3,10.7,15.8,13.2,20.4,19.0,17.7,17.9,18.0,13.7,9.5
20,9.0,8.1,11.5,16.6,13.5,19.8,17.1,18.2,17.9,16.1,13.6,8.1
21,7.1,8.1,12.1,17.2,14.0,18.0,18.4,17.0,18.7,15.8,13.2,6.4
22,/,9.2,13.4,15.4,/,10.7,19.7,16.5,18.9,16.6,12.8,9.1
23,8.0,/,15.2,12.7,/,25.0,18.2,18.7,17.6,13.8,12.6,10.6
24,14.3,10.8,14.5,12.2,/,20.4,18.9,18.2,17.7,15.7,12.6,10.9
25,10.7,10.6,12.7,12.6,13.6,20.4,18.2,18.3,16.1,16.3,11.3,8.4
26,9.3,11.1,15.2,12.8,15.1,20.4,17.7,17.3,17.6,16.0,10.9,6.2
27,7.9,11.4,14.6,13.8,15.2,19.8,17.2,17.2,15.5,14.9,10.8,7.6
28,5.3,11.5,10.1,13.3,15.7,20.3,17.2,16.3,15.1,15.5,10.5,11.8
29,4.3,11.0,11.8,13.5,16.4,19.4,18.0,16.8,16.2,15.1,10.7,11.8
30,5.0,,12.0,14.3,16.0,20.2,15.6,16.9,15.4,15.5,10.1,8.6
31,6.4,,15.4,,19.3,,18.5,16.7,,12.5,,/
平均,8.4,9.1,12,12.6,16.5,19.1,19,17.5,17,16.2,12.9,10
