2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,46,19,32,50,30,53,43,40,64,53,30,59
2,/,31,33,70,30,38,53,/,49,32,17,51
3,41,35,28,56,26,31,36,88,56,27,40,56
4,39,61,47,48,32,37,40,66,47,34,54,55
5,36,56,75,58,35,/,29,46,51,43,33,56
6,35,34,47,80,45,/,50,40,42,45,58,54
7,17,49,49,70,52,/,58,42,19,42,37,53
8,22,38,37,46,43,/,45,33,43,40,44,52
9,27,41,40,45,38,80,67,36,50,48,61,90
10,27,34,87,32,38,42,40,45,55,39,89,63
11,22,33,55,50,52,43,32,82,33,45,55,66
12,38,23,75,62,89,37,27,42,47,44,58,53
13,75,22,68,18,44,36,23,39,80,32,68,45
14,/,62,86,10,40,46,23,36,61,53,62,52
15,/,36,37,40,29,47,47,41,51,48,56,66
16,/,54,19,14,43,40,51,39,46,47,32,/
17,39,66,40,10,51,40,44,49,32,62,37,57
18,36,32,51,17,71,32,27,56,34,53,39,42
19,45,30,75,27,83,35,36,29,45,54,42,44
20,40,31,62,35,91,39,52,39,53,45,39,59
21,32,29,28,45,92,44,42,49,55,68,40,81
22,/,30,53,56,/,94,39,84,50,60,28,60
23,13,/,36,79,/,41,54,54,51,92,42,77
24,13,26,38,85,/,37,48,48,54,72,46,76
25,33,19,30,/,61,40,52,49,81,56,28,42
26,89,29,17,61,75,43,49,61,60,45,22,18
27,14,29,30,60,89,39,49,67,72,39,20,67
28,64,33,73,56,90,45,51,72,96,46,45,57
29,50,44,18,33,64,50,46,51,71,41,44,50
30,21,,43,16,71,41,75,46,78,49,70,34
31,7,,54,,54,,42,48,,16,,54
平均,35.4,36.6,47.2,45.8,55.6,44.2,44.2,50.6,54.2,47.4,44.5,56.3
