2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,16.2,13.0,20.3,20.0,24.9,23.5,26.0,26.2,20.4,22.5,23.7,16.1
2,/,13.7,19.7,15.8,23.8,26.1,23.5,/,24.7,24.6,26.8,17.3
3,17.0,14.9,21.0,18.2,23.3,24.0,24.9,17.0,22.9,23.9,21.7,16.1
4,17.8,9.5,18.2,19.1,25.3,23.7,24.5,21.1,24.0,25.0,20.2,16.5
5,19.2,13.9,11.9,15.7,24.7,/,26.7,26.4,22.4,26.3,25.8,17.2
6,21.2,16.8,17.6,11.4,24.7,/,24.8,27.4,22.9,25.6,20.7,18.3
7,22.0,15.6,16.9,13.6,20.9,/,22.5,25.6,24.0,26.0,24.2,20.2
8,20.2,16.6,20.9,17.4,24.2,/,24.5,26.3,26.0,25.8,24.1,21.7
9,17.9,15.5,18.1,18.4,26.5,15.0,19.1,25.7,23.8,23.9,18.2,13.1
10,19.1,18.0,11.4,19.2,26.3,21.1,25.0,25.2,22.2,25.3,14.0,19.0
11,19.6,17.3,15.0,14.0,22.4,23.3,25.7,19.1,26.5,25.9,18.7,17.4
12,15.7,19.2,12.6,13.4,15.8,27.2,28.2,25.7,24.5,25.1,18.4,14.9
13,8.6,20.9,14.6,15.6,23.1,27.4,28.4,26.0,19.1,26.6,17.6,15.6
14,/,16.0,12.1,17.1,23.9,25.8,28.2,25.8,21.9,22.5,19.3,14.9
15,/,21.0,15.2,14.6,25.3,24.7,25.4,24.8,24.6,22.4,20.3,12.7
16,/,16.0,18.6,22.5,24.8,26.2,23.8,26.9,24.8,24.5,23.9,15.2
17,16.2,11.4,20.3,24.0,23.4,25.7,24.9,23.8,27.6,20.3,23.9,13.6
18,15.2,13.2,18.5,21.9,16.3,26.1,27.0,22.2,28.2,22.9,23.8,17.3
19,13.3,16.5,12.5,21.3,14.6,26.2,26.4,27.5,25.0,23.4,23.8,18.0
20,14.6,18.2,15.8,22.4,15.2,25.4,23.1,26.8,23.8,22.7,23.2,14.4
21,18.0,18.7,20.1,21.9,15.5,23.3,26.2,23.8,24.9,20.4,23.9,7.5
22,/,19.0,19.6,18.5,/,10.9,27.6,18.7,25.4,22.5,23.3,16.4
23,20.3,/,23.2,14.4,/,24.7,25.5,22.9,24.5,14.8,22.0,15.4
24,22.7,21.0,22.5,13.5,/,25.6,26.2,24.3,22.9,18.8,21.0,14.8
25,19.2,20.3,23.3,14.9,20.6,24.2,24.0,24.7,17.5,22.7,22.4,16.5
26,12.8,21.2,22.8,16.6,17.7,25.9,25.9,21.9,21.8,24.8,22.1,18.9
27,13.6,21.4,21.7,17.3,18.0,25.7,24.6,20.7,17.7,25.4,22.3,14.0
28,6.7,20.9,13.4,17.2,17.5,25.8,24.6,20.2,15.2,24.7,19.6,17.1
29,7.7,19.0,21.8,19.4,21.9,24.4,25.0,24.5,19.2,24.3,19.3,19.5
30,9.5,,17.8,22.7,18.5,25.5,18.2,25.3,17.4,23.9,13.2,16.3
31,12.0,,19.8,,22.7,,24.9,23.8,,22.7,,12.5
平均,16,17.1,18,17.7,21.5,24.1,25,24,22.9,23.6,21.4,16.1
