2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,0.6,0.7,0.7,0.6,0.6,0.0,0.5,,,,,
2,0.7,0.7,0.6,0.7,0.6,0.3,0.5,,,,,
3,0.8,0.7,0.4,0.5,0.3,0.5,0.4,,,,,
4,0.7,0.6,0.3,0.5,0.5,0.3,0.4,,,,,
5,0.7,0.5,0.2,0.4,0.4,0.0,0.9,,,,,
6,0.6,0.7,0.2,0.5,0.5,0.0,0.6,,,,,
7,0.5,0.8,0.4,0.5,0.6,0.0,0.4,,,,,
8,0.7,1.0,0.6,0.4,0.7,0.0,,,,,,
9,0.4,0.8,0.6,0.3,0.6,0.0,,,,,,
10,0.3,0.8,0.6,0.4,0.5,0.0,,,,,,
11,0.3,0.4,0.6,0.4,0.6,0.3,,,,,,
12,0.6,0.7,0.5,0.5,0.5,0.2,,,,,,
13,0.7,0.7,0.5,0.5,0.5,0.2,,,,,,
14,0.8,0.7,0.6,0.5,0.6,0.4,,,,,,
15,0.7,0.7,0.7,0.4,0.7,0.5,,,,,,
16,0.7,0.6,0.8,0.4,0.6,0.4,,,,,,
17,0.5,0.5,0.7,0.2,0.5,0.5,,,,,,
18,0.7,0.5,0.6,0.4,0.5,0.5,,,,,,
19,0.7,0.6,0.6,0.3,0.5,0.5,,,,,,
20,0.7,0.7,0.7,0.4,0.6,0.4,,,,,,
21,0.6,0.8,0.6,0.5,0.5,0.0,,,,,,
22,0.3,0.8,0.2,0.3,0.4,0.0,,,,,,
23,0.6,0.7,0.0,0.2,0.5,0.0,,,,,,
24,0.7,0.7,0.3,0.5,0.5,0.0,,,,,,
25,0.7,0.7,0.7,0.0,0.3,0.0,,,,,,
26,0.7,0.6,0.7,0.2,0.3,0.0,,,,,,
27,0.6,0.4,0.6,0.2,0.5,0.2,,,,,,
28,0.6,0.6,0.6,0.0,0.5,0.0,,,,,,
29,0.5,,0.6,0.0,0.3,0.0,,,,,,
30,0.6,,0.5,0.5,0.0,0.5,,,,,,
31,1.0,,0.5,,0.0,,,,,,,
平均,0.6,0.7,0.5,0.4,0.5,0.2,0.5, , , , , 
