2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,1035.2,1038.0,1037.7,1033.5,1036.7,1033.2,1034.1,,,,,
2,1036.4,1038.0,1036.7,1034.9,1038.3,1034.5,1034.6,,,,,
3,1038.4,1038.3,1037.4,1035.5,1037.4,1033.8,1033.9,,,,,
4,1038.5,1039.6,1038.4,1035.9,1036.3,1030.6,1035.0,,,,,
5,1036.3,1037.8,1038.0,1037.4,1037.6,1029.1,1034.5,,,,,
6,1033.7,1036.9,1038.0,1037.3,1038.7,1030.5,1033.4,,,,,
7,1032.8,1037.1,1038.1,1035.4,1037.7,1034.7,1037.8,,,,,
8,1031.7,1038.2,1038.9,1033.6,1035.1,1035.7,,,,,,
9,1032.5,1036.9,1039.4,1035.2,1034.6,1034.3,,,,,,
10,1034.0,1032.9,1039.9,1038.4,1034.6,1032.8,,,,,,
11,1034.1,1029.9,1039.9,1040.0,1035.3,1034.0,,,,,,
12,1032.0,1032.0,1039.0,1038.3,1035.2,1036.6,,,,,,
13,1033.3,1033.7,1037.4,1036.7,1035.3,1036.0,,,,,,
14,1034.0,1032.5,1035.3,1035.1,1035.9,1032.9,,,,,,
15,1033.7,1033.2,1035.1,1034.6,1036.1,1031.1,,,,,,
16,1034.1,1033.7,1035.6,1035.3,1036.3,1033.2,,,,,,
17,1036.4,1034.9,1035.7,1036.5,1036.5,1034.2,,,,,,
18,1035.8,1037.3,1035.6,1034.8,1035.8,1033.0,,,,,,
19,1036.5,1037.5,1034.8,1033.0,1034.7,1031.0,,,,,,
20,1037.8,1036.1,1033.5,1033.4,1035.5,1029.6,,,,,,
21,1036.9,1035.9,1034.8,1033.6,1034.9,1029.8,,,,,,
22,1032.9,1036.2,1036.9,1031.5,1034.0,1030.3,,,,,,
23,1032.7,1035.3,1036.6,1029.6,1034.7,1031.7,,,,,,
24,1035.7,1033.5,1034.4,1032.0,1035.8,1031.6,,,,,,
25,1035.5,1031.6,1036.3,1033.5,1035.7,1031.6,,,,,,
26,1034.9,1030.5,1035.4,1034.5,1034.9,1033.1,,,,,,
27,1034.6,1033.2,1034.0,1036.5,1035.3,1032.5,,,,,,
28,1035.8,1036.5,1032.3,1036.5,1034.9,1031.7,,,,,,
29,1036.2,,1031.3,1033.4,1032.6,1032.3,,,,,,
30,1038.2,,1030.6,1034.8,1030.0,1033.7,,,,,,
31,1039.3,,1031.8,,1031.1,,,,,,,
平均,1035.2,1035.3,1036.1,1035,1035.4,1032.6,1034.8, , , , , 
