2012年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,/,/,/,/,/,/,2012-08-01 00:00:00,2012-09-01 00:00:00,2012-10-01 00:00:00,2012-11-01 00:00:00,2012-12-01 00:00:00
2,/,/,/,/,/,/,/,2012-08-02 00:00:00,2012-09-02 00:00:00,2012-10-02 00:00:00,2012-11-02 00:00:00,2012-12-02 00:00:00
3,/,/,/,/,/,/,/,2012-08-03 00:00:00,2012-09-03 00:00:00,2012-10-03 00:00:00,2012-11-03 00:00:00,2012-12-03 00:00:00
4,/,/,/,/,/,/,/,2012-08-04 00:00:00,2012-09-04 00:00:00,2012-10-04 00:00:00,2012-11-04 00:00:00,2012-12-04 00:00:00
5,/,/,/,/,/,/,/,2012-08-05 00:00:00,2012-09-05 00:00:00,2012-10-05 00:00:00,2012-11-05 00:00:00,2012-12-05 00:00:00
6,/,/,/,/,/,/,/,2012-08-06 00:00:00,2012-09-06 00:00:00,2012-10-06 00:00:00,2012-11-06 00:00:00,2012-12-06 00:00:00
7,/,/,/,/,/,/,/,2012-08-07 00:00:00,2012-09-07 00:00:00,2012-10-07 00:00:00,2012-11-07 00:00:00,2012-12-07 00:00:00
8,/,/,/,/,/,/,/,2012-08-08 00:00:00,2012-09-08 00:00:00,2012-10-08 00:00:00,2012-11-08 00:00:00,2012-12-08 00:00:00
9,/,/,/,/,/,/,/,2012-08-09 00:00:00,2012-09-09 00:00:00,2012-10-09 00:00:00,2012-11-09 00:00:00,2012-12-09 00:00:00
10,/,/,/,/,/,/,/,2012-08-10 00:00:00,2012-09-10 00:00:00,2012-10-10 00:00:00,2012-11-10 00:00:00,2012-12-10 00:00:00
11,/,/,/,/,/,/,/,2012-08-11 00:00:00,2012-09-11 00:00:00,2012-10-11 00:00:00,2012-11-11 00:00:00,2012-12-11 00:00:00
12,/,/,/,/,/,/,/,2012-08-12 00:00:00,2012-09-12 00:00:00,2012-10-12 00:00:00,2012-11-12 00:00:00,2012-12-12 00:00:00
13,/,/,/,/,/,/,/,2012-08-13 00:00:00,2012-09-13 00:00:00,2012-10-13 00:00:00,2012-11-13 00:00:00,2012-12-13 00:00:00
14,/,/,/,/,/,/,/,2012-08-14 00:00:00,2012-09-14 00:00:00,2012-10-14 00:00:00,2012-11-14 00:00:00,2012-12-14 00:00:00
15,/,/,/,/,/,/,/,2012-08-15 00:00:00,2012-09-15 00:00:00,2012-10-15 00:00:00,2012-11-15 00:00:00,2012-12-15 00:00:00
16,/,/,/,/,/,/,/,2012-08-16 00:00:00,2012-09-16 00:00:00,2012-10-16 00:00:00,2012-11-16 00:00:00,2012-12-16 00:00:00
17,/,/,/,/,/,/,/,2012-08-17 00:00:00,2012-09-17 00:00:00,2012-10-17 00:00:00,2012-11-17 00:00:00,2012-12-17 00:00:00
18,/,/,/,/,/,/,/,2012-08-18 00:00:00,2012-09-18 00:00:00,2012-10-18 00:00:00,2012-11-18 00:00:00,2012-12-18 00:00:00
19,/,/,/,/,/,/,/,2012-08-19 00:00:00,2012-09-19 00:00:00,2012-10-19 00:00:00,2012-11-19 00:00:00,2012-12-19 00:00:00
20,/,/,/,/,/,/,/,2012-08-20 00:00:00,2012-09-20 00:00:00,2012-10-20 00:00:00,2012-11-20 00:00:00,2012-12-20 00:00:00
21,/,/,/,/,/,/,/,2012-08-21 00:00:00,2012-09-21 00:00:00,2012-10-21 00:00:00,2012-11-21 00:00:00,2012-12-21 00:00:00
22,/,/,/,/,/,/,/,2012-08-22 00:00:00,2012-09-22 00:00:00,2012-10-22 00:00:00,2012-11-22 00:00:00,2012-12-22 00:00:00
23,/,/,/,/,/,/,/,2012-08-23 00:00:00,2012-09-23 00:00:00,2012-10-23 00:00:00,2012-11-23 00:00:00,2012-12-23 00:00:00
24,/,/,/,/,/,/,/,2012-08-24 00:00:00,2012-09-24 00:00:00,2012-10-24 00:00:00,2012-11-24 00:00:00,2012-12-24 00:00:00
25,/,/,/,/,/,/,/,2012-08-25 00:00:00,2012-09-25 00:00:00,2012-10-25 00:00:00,2012-11-25 00:00:00,2012-12-25 00:00:00
26,/,/,/,/,/,/,/,2012-08-26 00:00:00,2012-09-26 00:00:00,2012-10-26 00:00:00,2012-11-26 00:00:00,2012-12-26 00:00:00
27,/,/,/,/,/,/,/,2012-08-27 00:00:00,2012-09-27 00:00:00,2012-10-27 00:00:00,2012-11-27 00:00:00,2012-12-27 00:00:00
28,/,/,/,/,/,/,/,2012-08-28 00:00:00,2012-09-28 00:00:00,2012-10-28 00:00:00,2012-11-28 00:00:00,2012-12-28 00:00:00
29,/,/,/,/,/,/,/,2012-08-29 00:00:00,2012-09-29 00:00:00,2012-10-29 00:00:00,2012-11-29 00:00:00,2012-12-29 00:00:00
30,/,,/,/,/,/,/,2012-08-30 00:00:00,2012-09-30 00:00:00,2012-10-30 00:00:00,2012-11-30 00:00:00,2012-12-30 00:00:00
31,/,,/,,/,,/,2012-08-31 00:00:00,,2012-10-31 00:00:00,,2012-12-31 00:00:00
平均, , , , , , , , , , , , 
