2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,/,/,/,/,/,/,/,/,/,/,9.2
2,/,/,/,/,/,/,/,/,/,/,/,8.2
3,/,/,/,/,/,/,/,/,/,/,/,8.9
4,/,/,/,/,/,/,/,/,/,/,/,8.9
5,/,/,/,/,/,/,/,/,/,/,/,8.8
6,/,/,/,/,/,/,/,/,/,/,/,8.3
7,/,/,/,/,/,/,/,/,/,/,/,7.5
8,/,/,/,/,/,/,/,/,/,/,/,8.4
9,/,/,/,/,/,/,/,/,/,/,/,7.4
10,/,/,/,/,/,/,/,/,/,/,/,7.2
11,/,/,/,/,/,/,/,/,/,/,/,7.4
12,/,/,/,/,/,/,/,/,/,/,/,3.6
13,/,/,/,/,/,/,/,/,/,/,/,7.3
14,/,/,/,/,/,/,/,/,/,/,/,8.9
15,/,/,/,/,/,/,/,/,/,/,/,8.7
16,/,/,/,/,/,/,/,/,/,/,/,8.3
17,/,/,/,/,/,/,/,/,/,/,/,7.8
18,/,/,/,/,/,/,/,/,/,/,9.0,8.7
19,/,/,/,/,/,/,/,/,/,/,7.8,8.7
20,/,/,/,/,/,/,/,/,/,/,9.1,9.0
21,/,/,/,/,/,/,/,/,/,/,8.4,8.4
22,/,/,/,/,/,/,/,/,/,/,8.7,8.5
23,/,/,/,/,/,/,/,/,/,/,8.6,6.7
24,/,/,/,/,/,/,/,/,/,/,8.9,8.2
25,/,/,/,/,/,/,/,/,/,/,7.5,7.8
26,/,/,/,/,/,/,/,/,/,/,1.3,7.9
27,/,/,/,/,/,/,/,/,/,/,7.7,8.1
28,/,/,/,/,/,/,/,/,/,/,5.0,8.1
29,/,,/,/,/,/,/,/,/,/,7.7,8.4
30,/,,/,/,/,/,/,/,/,/,8.8,7.9
31,/,,/,,/,,/,/,,/,,7.8
總和,/,/,/,/,/,/,/,/,/,/,98.5,249
