2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,16.9,20.0,24.6,28.0,26.3,29.3,28.6,,,,,
2,17.5,18.6,23.1,29.2,26.8,30.3,29.0,,,,,
3,18.1,/,21.7,29.3,26.4,31.1,29.4,,,,,
4,19.3,/,22.6,28.4,28.1,30.4,29.3,,,,,
5,20.1,22.0,23.8,26.5,27.7,28.1,29.0,,,,,
6,19.0,21.3,24.6,26.7,28.2,27.0,/,,,,,
7,17.9,21.7,22.8,25.8,29.5,27.6,,,,,,
8,14.9,21.7,22.9,26.5,30.1,28.8,,,,,,
9,14.8,19.9,23.2,24.9,30.9,29.2,,,,,,
10,16.2,/,23.7,25.9,30.7,29.8,,,,,,
11,16.2,/,24.4,27.1,30.8,30.0,,,,,,
12,15.1,/,25.0,28.1,31.6,29.7,,,,,,
13,16.0,/,24.8,28.8,32.2,30.0,,,,,,
14,16.7,/,25.2,28.4,32.4,30.2,,,,,,
15,16.1,/,25.7,28.1,32.6,30.2,,,,,,
16,18.1,/,26.8,29.0,32.9,29.0,,,,,,
17,17.6,/,27.1,29.3,32.6,29.6,,,,,,
18,17.4,19.4,27.3,28.8,32.7,30.3,,,,,,
19,18.2,19.6,27.1,28.3,33.5,29.6,,,,,,
20,19.0,19.9,27.9,29.1,33.0,28.9,,,,,,
21,20.6,20.4,25.3,30.1,33.3,27.9,,,,,,
22,20.5,21.7,20.5,29.6,33.2,27.2,,,,,,
23,20.8,22.7,21.7,29.5,33.7,27.1,,,,,,
24,19.8,23.4,21.0,30.1,34.1,27.5,,,,,,
25,20.4,24.4,22.1,26.7,34.3,27.5,,,,,,
26,19.8,24.0,24.4,26.9,33.9,27.6,,,,,,
27,20.4,23.0,26.1,26.1,34.0,28.1,,,,,,
28,19.7,23.3,27.5,26.2,34.2,27.6,,,,,,
29,18.9,,27.7,24.4,33.2,27.8,,,,,,
30,19.2,,27.7,25.8,28.3,28.1,,,,,,
31,19.7,,28.7,,28.5,,,,,,,
平均,18.2,21.5,24.7,27.7,31.3,28.9,29.1, , , , , 
