2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,19.5,24.5,28.3,31.3,29.5,32.7,32.5,,,,,
2,21.1,26.1,22.5,31.8,30.4,33.4,32.0,,,,,
3,23.5,24.6,23.0,30.3,27.5,33.7,33.0,,,,,
4,23.6,23.7,26.6,29.0,33.2,34.3,33.1,,,,,
5,22.6,25.2,27.9,27.0,30.9,29.6,35.1,,,,,
6,18.9,26.8,27.8,28.0,30.9,28.4,32.3,,,,,
7,17.0,24.7,23.3,26.7,32.0,29.3,,,,,,
8,10.9,26.4,25.3,28.0,32.6,33.4,,,,,,
9,16.4,24.6,25.5,25.6,32.4,33.3,,,,,,
10,20.0,23.3,26.0,27.4,32.4,34.1,,,,,,
11,16.2,20.5,25.8,28.3,34.3,34.1,,,,,,
12,17.0,21.2,28.0,29.6,33.2,34.1,,,,,,
13,22.0,25.5,26.4,30.6,33.6,33.7,,,,,,
14,23.0,24.3,26.4,28.9,33.8,33.5,,,,,,
15,23.4,24.2,26.5,28.8,34.3,32.6,,,,,,
16,23.8,25.8,29.6,29.8,34.9,30.4,,,,,,
17,20.0,22.3,29.1,30.3,33.7,32.3,,,,,,
18,20.8,22.0,28.2,29.7,33.6,33.0,,,,,,
19,22.7,22.6,29.3,29.5,35.5,31.7,,,,,,
20,23.6,23.2,29.9,30.3,34.8,31.2,,,,,,
21,29.2,24.6,24.3,30.6,34.3,28.5,,,,,,
22,23.2,27.0,16.7,28.6,33.9,28.6,,,,,,
23,25.5,26.8,22.5,30.0,34.9,27.6,,,,,,
24,23.2,24.9,21.8,31.9,34.3,30.9,,,,,,
25,24.2,26.7,25.7,26.0,34.2,31.2,,,,,,
26,23.5,27.6,26.6,28.2,34.3,31.9,,,,,,
27,23.6,25.0,29.5,28.1,34.9,32.0,,,,,,
28,21.8,25.9,30.7,29.2,35.2,30.7,,,,,,
29,22.1,,30.0,23.8,34.0,30.7,,,,,,
30,23.2,,30.2,29.2,28.0,31.9,,,,,,
31,23.3,,30.7,,30.3,,,,,,,
平均,21.6,24.6,26.6,28.9,33,31.8,33, , , , , 
