2015年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,20.1,21.4,24.1,27.0,29.9,29.1,32.8,30.6,27.0,28.7,27.8,25.3
2,20.0,21.5,23.7,27.8,30.0,29.7,32.2,30.9,28.0,29.3,27.5,25.3
3,20.0,21.6,23.5,28.3,30.5,30.2,32.0,31.2,28.5,29.4,27.3,25.3
4,20.1,21.7,23.9,28.7,30.8,30.3,32.0,31.4,28.8,29.6,27.4,25.2
5,20.4,21.5,23.7,29.0,30.4,30.1,31.9,31.7,29.3,29.7,27.5,25.0
6,21.0,20.8,23.9,29.1,29.6,30.1,31.6,31.8,29.7,29.7,27.6,24.8
7,21.4,20.5,24.0,28.8,29.8,30.0,31.1,31.9,29.8,29.5,27.7,24.7
8,21.1,20.7,24.2,28.2,30.0,30.4,30.5,30.8,29.1,29.4,27.9,24.4
9,20.7,20.5,24.2,27.6,30.4,30.7,30.2,28.5,29.2,29.2,28.0,24.6
10,20.9,20.2,23.8,28.0,30.9,31.1,30.4,28.7,29.3,29.1,27.9,24.4
11,20.8,20.3,22.8,27.7,30.8,31.4,30.1,29.6,29.2,28.8,27.6,23.5
12,21.0,20.5,22.6,25.9,30.3,31.5,30.2,30.3,29.7,28.4,27.6,23.6
13,21.3,20.5,22.5,25.8,29.8,31.7,30.4,30.5,29.8,28.2,27.8,23.6
14,21.2,20.8,23.3,25.4,30.0,31.9,30.8,30.5,30.1,27.9,27.7,23.9
15,20.4,21.3,24.1,25.1,30.3,32.1,31.0,30.2,30.2,27.6,27.4,23.9
16,20.3,21.8,24.8,26.0,30.6,32.2,31.0,29.9,30.7,27.6,27.5,23.2
17,20.3,22.2,25.0,26.8,30.7,32.4,31.1,29.6,30.6,27.7,27.5,21.9
18,20.1,22.2,25.6,27.7,30.9,32.4,31.2,29.2,30.3,27.7,27.7,21.4
19,20.0,22.3,26.1,28.7,31.2,32.3,30.8,29.4,30.1,27.6,27.8,21.4
20,20.3,22.5,26.4,29.0,31.3,32.5,29.8,29.9,29.8,27.7,27.6,21.4
21,20.6,22.5,26.3,28.8,29.9,32.5,30.0,30.0,29.5,27.7,27.6,21.9
22,20.5,22.4,26.0,27.5,28.7,32.4,30.2,30.5,29.2,27.5,27.2,23.0
23,20.0,22.8,25.6,27.6,28.4,32.3,29.9,30.4,29.5,27.4,27.3,23.7
24,19.8,22.8,24.8,27.8,27.9,32.1,30.1,30.1,29.8,27.9,27.1,24.3
25,20.1,23.1,24.7,28.0,27.4,32.3,30.4,29.8,29.9,28.1,26.9,24.7
26,20.6,23.5,24.3,28.2,27.6,32.7,30.6,29.5,29.8,28.2,26.1,24.3
27,21.0,23.8,24.5,28.6,27.8,33.1,30.9,28.9,29.8,28.1,24.8,23.8
28,21.2,23.8,24.8,29.0,27.9,33.2,30.4,28.5,28.8,28.2,24.4,23.6
29,21.4,,25.2,29.3,28.6,33.1,30.1,27.6,27.6,28.0,24.6,23.3
30,21.6,,25.8,29.8,29.3,32.8,30.2,26.8,27.9,28.1,24.9,22.9
31,21.4,,26.5,,29.4,,30.3,26.6,,27.9,,22.7
平均,20.6,21.8,24.5,27.8,29.7,31.6,30.8,29.8,29.4,28.4,27.1,23.7
