2016年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,25.0,20.5,24.6,26.5,29.3,34.2,35.1,28.5,34.2,31.7,/,26.2
2,21.8,15.6,23.0,30.0,31.6,33.4,36.4,35.8,27.8,32.5,28.3,18.6
3,19.7,19.9,24.2,31.1,33.0,35.5,34.7,33.8,30.8,32.1,29.5,28.1
4,25.5,20.5,25.1,30.0,34.0,34.7,35.1,34.4,30.6,33.7,29.9,28.5
5,29.2,20.0,28.9,30.9,35.5,33.1,33.8,33.4,33.9,33.2,29.7,28.5
6,26.7,15.8,28.3,33.7,35.3,32.2,35.1,33.7,28.2,31.2,30.9,23.7
7,24.0,18.6,27.7,34.3,34.0,33.4,33.6,33.6,29.9,31.7,30.6,/
8,22.5,20.8,29.4,32.7,35.2,33.6,28.1,34.1,30.8,26.5,30.1,/
9,23.7,22.6,25.8,31.9,36.2,31.6,30.8,33.8,34.5,25.9,28.3,/
10,23.7,21.4,16.9,31.8,35.1,26.4,30.6,33.8,33.6,29.5,26.3,/
11,21.4,28.8,13.5,26.4,30.3,25.3,31.0,33.2,34.2,32.4,29.1,/
12,22.2,26.1,22.0,30.1,33.5,30.3,29.9,29.6,33.4,32.1,31.0,26.2
13,18.5,31.8,25.6,29.4,32.6,27.2,34.0,27.5,31.7,32.2,29.2,29.5
14,20.9,28.7,18.0,28.6,32.2,32.7,34.7,32.7,28.4,31.7,31.3,26.6
15,16.6,14.8,16.1,29.0,33.3,33.8,34.7,33.4,31.5,34.2,30.6,22.8
16,24.7,14.2,25.9,33.0,31.2,34.0,34.7,31.8,/,33.6,30.7,17.9
17,20.2,20.9,27.4,33.4,30.9,34.7,32.8,33.0,/,34.0,30.4,24.0
18,20.9,22.5,32.0,31.4,31.7,34.9,34.6,32.8,/,32.6,30.1,25.6
19,21.7,24.6,28.1,29.4,32.8,34.8,33.6,34.0,/,33.4,32.2,/
20,21.6,19.8,25.4,29.6,31.8,35.4,34.8,33.8,32.2,30.5,29.7,/
21,23.5,21.8,26.0,33.6,26.5,35.1,34.4,34.9,32.9,34.1,29.0,/
22,25.0,26.7,24.1,32.8,30.6,35.4,33.7,33.5,32.2,34.1,26.3,/
23,16.1,23.6,27.0,33.3,32.6,35.5,33.7,34.2,32.5,32.7,24.3,/
24,8.9,17.7,17.2,29.7,30.2,35.5,34.3,34.1,33.2,33.2,26.3,/
25,13.8,21.2,13.6,32.9,33.2,35.1,33.9,34.7,33.5,32.7,28.1,/
26,20.6,22.7,23.2,32.7,34.7,35.4,34.5,32.8,33.7,32.6,27.3,/
27,22.2,22.5,21.2,32.8,36.3,35.7,34.8,34.0,27.2,33.4,20.6,/
28,23.8,25.8,24.2,31.1,35.1,37.1,34.5,33.4,29.3,31.3,23.7,/
29,19.7,24.9,26.6,30.8,34.9,36.6,36.0,31.9,33.2,31.3,25.7,/
30,21.3,,29.4,29.5,34.0,34.8,33.6,31.0,33.3,32.1,24.4,/
31,23.2,,30.2,,33.5,,34.9,32.5,,/,,25.1
平均,21.6,21.9,24.2,31.1,32.9,33.6,33.8,33,31.8,32.1,28.4,25.1
