2017年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,337.5,337.5,360.0,360.0,90.0,135.0,135.0,135.0,135.0,112.5,360.0,360.0
2,360.0,337.5,360.0,360.0,112.5,225.0,90.0,135.0,135.0,112.5,360.0,337.5
3,360.0,337.5,360.0,90.0,90.0,202.5,112.5,112.5,135.0,90.0,360.0,360.0
4,337.5,360.0,360.0,337.5,67.5,112.5,67.5,112.5,112.5,360.0,337.5,360.0
5,337.5,360.0,112.5,337.5,337.5,135.0,360.0,90.0,337.5,/,360.0,360.0
6,360.0,337.5,337.5,67.5,337.5,135.0,90.0,112.5,360.0,/,360.0,360.0
7,360.0,337.5,360.0,135.0,360.0,112.5,135.0,135.0,135.0,/,337.5,360.0
8,360.0,337.5,360.0,112.5,360.0,112.5,90.0,135.0,135.0,/,360.0,360.0
9,337.5,360.0,360.0,135.0,135.0,90.0,112.5,135.0,135.0,/,337.5,360.0
10,360.0,337.5,360.0,135.0,337.5,90.0,112.5,135.0,112.5,/,337.5,360.0
11,/,360.0,360.0,135.0,292.5,135.0,112.5,112.5,315.0,/,337.5,360.0
12,337.5,360.0,360.0,337.5,135.0,135.0,90.0,/,360.0,/,360.0,360.0
13,360.0,360.0,337.5,360.0,292.5,135.0,90.0,90.0,360.0,/,360.0,337.5
14,360.0,360.0,360.0,337.5,/,112.5,90.0,112.5,337.5,/,337.5,360.0
15,337.5,337.5,337.5,292.5,/,112.5,67.5,112.5,337.5,/,360.0,360.0
16,337.5,360.0,360.0,360.0,/,90.0,360.0,90.0,337.5,/,360.0,360.0
17,337.5,360.0,360.0,135.0,/,135.0,337.5,90.0,112.5,337.5,360.0,337.5
18,360.0,337.5,360.0,157.5,/,135.0,67.5,337.5,135.0,337.5,337.5,337.5
19,360.0,337.5,360.0,135.0,/,135.0,90.0,337.5,112.5,360.0,337.5,360.0
20,360.0,360.0,337.5,292.5,/,135.0,67.5,360.0,360.0,360.0,337.5,360.0
21,360.0,337.5,337.5,90.0,360.0,135.0,337.5,360.0,292.5,360.0,337.5,360.0
22,337.5,360.0,337.5,360.0,135.0,135.0,360.0,135.0,112.5,360.0,337.5,337.5
23,337.5,337.5,360.0,135.0,292.5,112.5,360.0,135.0,90.0,360.0,360.0,112.5
24,337.5,360.0,360.0,337.5,135.0,112.5,90.0,90.0,112.5,360.0,360.0,360.0
25,360.0,360.0,337.5,337.5,112.5,135.0,90.0,337.5,90.0,360.0,360.0,360.0
26,360.0,360.0,360.0,337.5,337.5,112.5,90.0,360.0,337.5,360.0,360.0,337.5
27,360.0,337.5,360.0,337.5,337.5,90.0,112.5,90.0,112.5,360.0,360.0,315.0
28,360.0,337.5,337.5,360.0,337.5,90.0,135.0,337.5,112.5,360.0,337.5,360.0
29,360.0,,360.0,135.0,360.0,90.0,135.0,135.0,360.0,360.0,360.0,337.5
30,337.5,,360.0,90.0,135.0,67.5,360.0,112.5,135.0,360.0,337.5,360.0
31,360.0,,337.5,,135.0,,135.0,135.0,,112.5,,360.0
平均,351,348.8,345.5,237.8,234.4,123,157.5,170.3,208.5,304.3,350.3,345.5
