2017年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,14.0,16.3,14.3,13.6,18.8,24.5,24.3,24.3,24.4,25.0,16.4,19.3
2,16.7,14.6,12.8,12.1,21.3,26.6,23.8,24.5,25.7,25.2,19.2,18.6
3,15.4,13.7,11.5,14.3,22.0,25.5,23.7,24.2,24.6,25.1,21.2,18.6
4,16.9,16.4,15.2,16.2,22.5,24.1,24.5,24.8,25.5,25.1,18.3,15.8
5,17.2,15.4,16.3,16.3,23.3,24.3,23.5,24.7,25.1,24.4,17.5,13.8
6,16.2,14.9,15.2,17.0,23.6,24.8,23.8,25.5,26.2,/,19.6,13.3
7,17.9,13.6,14.7,21.2,22.2,25.3,23.7,25.7,/,/,21.4,15.3
8,16.2,14.5,14.0,20.8,23.1,25.2,24.2,25.6,/,/,21.4,12.3
9,15.9,11.5,14.5,21.7,23.8,25.1,24.4,25.5,/,/,20.2,12.4
10,13.8,10.4,16.2,21.5,23.4,25.1,24.8,26.3,/,/,21.8,11.4
11,14.1,9.0,17.0,23.5,24.3,25.2,24.2,25.7,/,/,21.1,12.7
12,16.8,10.5,17.9,17.1,23.7,24.3,23.8,26.1,/,/,20.3,16.0
13,16.4,10.2,20.2,16.3,24.4,25.0,23.5,25.9,/,/,20.7,15.9
14,14.0,10.1,15.4,19.3,23.2,24.2,24.5,24.7,/,/,21.6,14.7
15,13.9,10.2,15.4,20.8,/,23.2,24.1,25.6,/,/,21.4,15.5
16,13.7,12.4,17.6,22.3,/,22.9,23.6,25.1,/,26.3,20.0,15.0
17,12.7,12.7,16.1,21.9,/,23.9,24.5,24.1,/,24.7,21.2,13.7
18,15.3,13.9,19.0,23.7,/,24.0,24.5,25.6,25.0,23.9,19.3,13.6
19,16.6,14.0,19.4,23.1,/,24.1,24.0,26.0,23.8,22.8,18.5,14.8
20,12.7,17.8,20.2,22.9,/,25.1,23.7,26.0,24.3,21.7,18.6,13.8
21,12.8,18.7,19.9,23.4,21.8,24.8,24.2,26.3,24.7,20.6,17.5,11.4
22,12.4,18.3,18.2,18.0,24.3,24.4,25.4,24.7,24.8,17.7,18.5,11.1
23,13.1,14.3,18.1,18.2,24.0,24.7,25.9,25.0,25.4,16.0,16.0,13.2
24,13.4,13.5,17.7,20.4,25.0,24.7,25.1,24.1,26.0,18.3,16.5,12.4
25,13.1,13.2,16.5,21.1,23.2,25.1,24.0,23.7,25.6,18.2,16.7,16.6
26,11.4,13.2,14.0,22.8,22.9,25.2,23.5,26.0,25.3,18.1,19.2,15.0
27,12.1,13.3,14.6,16.1,23.0,25.4,24.0,25.2,25.3,17.8,19.2,13.0
28,11.1,12.6,16.7,15.8,22.9,25.6,25.7,24.1,25.7,18.0,18.7,16.6
29,14.2,,17.0,16.8,23.9,22.6,25.1,24.9,21.2,16.9,20.8,17.3
30,15.5,,17.1,17.7,23.0,23.3,24.4,24.0,23.2,17.0,20.0,15.3
31,13.9,,15.9,,24.4,,22.7,25.7,,15.8,,13.8
平均,14.5,13.5,16.4,19.2,23.1,24.6,24.2,25.1,24.8,20.9,19.4,14.6
