2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,1.9,3.0,1.2,0.9,0.8,1.9,/,0.9,0.6,0.7,2.5,1.3
2,0.8,3.4,1.1,1.0,1.1,1.4,1.1,0.6,0.9,1.7,0.9,0.8
3,0.8,3.6,0.9,1.1,2.0,1.4,0.9,0.8,1.0,1.4,1.6,/
4,1.2,/,0.8,1.4,1.0,1.1,0.9,0.8,0.7,3.7,1.1,1.5
5,2.3,4.0,1.9,0.8,1.0,0.9,0.9,1.1,0.8,2.6,1.2,/
6,1.4,2.6,2.4,3.0,1.0,1.1,0.9,1.1,0.8,1.0,/,/
7,1.5,1.6,2.1,2.7,0.8,0.8,0.8,1.0,0.6,0.9,/,2.8
8,1.5,1.7,4.2,1.5,0.7,1.1,1.0,/,0.5,0.9,/,2.6
9,3.4,2.4,2.1,1.1,0.6,1.0,1.4,1.1,1.7,0.5,1.8,2.5
10,3.0,2.8,1.0,0.7,1.0,0.8,1.7,1.0,1.2,0.8,0.8,1.9
11,3.0,3.7,1.2,0.9,1.0,1.4,1.2,0.8,0.8,2.1,1.1,/
12,2.8,2.3,1.0,/,0.7,0.7,0.9,1.0,1.0,1.6,1.1,/
13,1.2,1.2,1.1,0.8,0.8,1.4,1.4,1.1,0.8,1.2,1.7,/
14,1.2,0.8,1.0,0.8,0.6,1.2,1.0,1.1,0.7,0.8,1.4,1.4
15,/,1.1,/,2.5,0.8,1.8,0.8,/,0.6,0.9,0.8,1.1
16,1.8,1.3,/,2.0,1.0,0.8,0.8,0.6,0.6,1.8,1.2,1.9
17,1.3,2.1,/,2.9,1.0,1.1,0.9,0.6,0.9,1.8,1.7,2.4
18,1.7,2.0,/,1.3,0.9,1.7,1.0,0.7,1.6,1.2,1.3,0.7
19,1.9,1.4,0.7,1.2,1.0,1.1,0.9,0.6,0.6,1.4,2.6,0.9
20,1.6,1.8,2.4,1.3,1.0,/,1.0,0.5,1.0,1.1,0.9,0.8
21,1.7,2.9,4.6,1.1,1.3,0.6,0.8,0.6,0.9,0.8,/,1.4
22,2.4,2.5,1.4,0.9,1.0,0.8,0.7,0.8,1.5,0.8,/,2.2
23,1.8,1.7,1.5,1.1,1.3,0.8,0.6,/,0.8,1.7,1.6,2.1
24,1.7,1.8,1.3,1.1,1.1,0.7,0.7,/,1.3,1.2,0.9,2.7
25,2.5,2.9,1.1,1.0,0.9,0.7,0.8,/,0.7,0.9,1.4,2.3
26,3.5,2.4,1.6,1.0,1.1,1.2,0.8,/,/,1.5,1.9,3.2
27,2.0,1.8,1.6,1.4,1.0,1.3,0.9,1.6,/,2.2,1.5,3.7
28,2.9,1.2,1.6,0.8,0.8,/,1.1,1.8,2.9,1.9,1.8,2.7
29,3.3,,1.2,0.9,0.9,/,1.1,1.4,3.9,1.2,1.4,2.7
30,2.1,,1.2,1.0,0.9,/,0.8,0.7,0.9,0.8,0.6,1.5
31,2.9,,/,,1.1,,/,0.5,,1.6,,2.7
平均,2,2.2,1.6,1.3,1,1.1,1,0.9,1.1,1.4,1.4,2
