2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,10.0,360.0,290.0,250.0,280.0,290.0,/,300.0,60.0,300.0,360.0,350.0
2,300.0,360.0,30.0,300.0,250.0,320.0,30.0,260.0,260.0,10.0,20.0,340.0
3,300.0,10.0,270.0,290.0,290.0,280.0,250.0,290.0,310.0,320.0,10.0,/
4,10.0,/,190.0,10.0,320.0,250.0,340.0,310.0,240.0,360.0,310.0,20.0
5,350.0,350.0,350.0,320.0,270.0,310.0,110.0,10.0,300.0,10.0,350.0,/
6,350.0,10.0,10.0,10.0,200.0,300.0,310.0,100.0,300.0,280.0,/,/
7,350.0,340.0,20.0,10.0,280.0,280.0,170.0,150.0,360.0,320.0,/,10.0
8,30.0,30.0,10.0,310.0,310.0,340.0,280.0,/,50.0,290.0,/,330.0
9,10.0,340.0,340.0,300.0,360.0,280.0,290.0,100.0,350.0,260.0,20.0,10.0
10,10.0,30.0,300.0,190.0,300.0,230.0,350.0,310.0,10.0,290.0,270.0,340.0
11,340.0,10.0,270.0,310.0,300.0,20.0,340.0,300.0,320.0,350.0,310.0,/
12,350.0,20.0,310.0,/,280.0,240.0,10.0,260.0,310.0,330.0,350.0,/
13,310.0,300.0,310.0,250.0,290.0,10.0,310.0,240.0,290.0,300.0,20.0,/
14,350.0,310.0,360.0,270.0,230.0,130.0,290.0,200.0,310.0,320.0,10.0,360.0
15,/,240.0,/,30.0,200.0,150.0,300.0,/,10.0,310.0,340.0,360.0
16,350.0,280.0,/,350.0,220.0,160.0,300.0,280.0,90.0,300.0,350.0,20.0
17,340.0,310.0,/,10.0,260.0,160.0,300.0,170.0,310.0,10.0,10.0,10.0
18,320.0,10.0,/,330.0,300.0,270.0,250.0,310.0,10.0,340.0,350.0,290.0
19,10.0,350.0,310.0,340.0,300.0,310.0,290.0,230.0,290.0,300.0,10.0,20.0
20,340.0,10.0,350.0,10.0,300.0,/,280.0,210.0,10.0,300.0,360.0,10.0
21,350.0,350.0,10.0,290.0,310.0,250.0,260.0,160.0,300.0,300.0,/,290.0
22,350.0,350.0,320.0,290.0,300.0,130.0,80.0,150.0,320.0,20.0,/,20.0
23,350.0,300.0,290.0,170.0,290.0,150.0,220.0,/,10.0,10.0,350.0,340.0
24,10.0,10.0,290.0,250.0,290.0,290.0,240.0,/,360.0,300.0,20.0,40.0
25,350.0,350.0,300.0,280.0,270.0,250.0,270.0,/,340.0,310.0,10.0,10.0
26,340.0,360.0,350.0,260.0,300.0,320.0,310.0,/,/,320.0,350.0,360.0
27,20.0,10.0,350.0,300.0,270.0,160.0,160.0,230.0,/,20.0,360.0,360.0
28,350.0,310.0,320.0,10.0,250.0,/,300.0,150.0,360.0,340.0,360.0,340.0
29,360.0,,360.0,290.0,240.0,/,270.0,190.0,10.0,350.0,360.0,10.0
30,10.0,,260.0,290.0,280.0,/,260.0,170.0,20.0,10.0,240.0,270.0
31,20.0,,/,,270.0,,/,190.0,,30.0,,10.0
平均,231.3,211.5,252.7,217.9,277.7,226.2,247.2,210.8,211.1,235.8,220,180.8
