2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,14.4,12.4,17.2,15.7,21.8,24.5,25.2,25.0,25.2,22.9,23.0,18.2
2,15.5,14.5,18.7,17.5,19.4,24.2,25.4,24.4,25.0,/,22.2,13.8
3,16.8,17.9,17.8,18.4,21.5,23.2,/,24.9,/,24.0,22.2,11.0
4,17.3,18.5,16.5,19.0,21.0,23.8,25.0,25.7,25.4,23.4,19.6,13.4
5,18.1,16.3,17.5,19.6,/,23.8,25.1,25.4,25.5,24.2,19.2,14.9
6,17.2,17.1,17.7,19.3,21.4,25.0,/,25.5,25.2,24.6,19.6,15.1
7,17.0,16.1,15.0,19.8,19.9,25.5,/,25.6,25.4,23.7,19.4,12.7
8,17.7,15.8,14.8,20.4,20.7,24.3,25.5,25.9,25.1,24.0,17.9,11.5
9,16.9,15.3,18.9,21.7,22.2,24.3,25.4,26.4,24.7,23.8,17.1,12.1
10,17.6,15.3,18.4,21.5,22.8,23.9,25.8,27.2,24.1,23.4,/,/
11,18.3,15.0,16.4,20.7,23.1,24.6,25.0,27.0,24.9,23.1,17.1,/
12,17.9,15.8,15.9,/,23.0,25.0,25.5,26.4,25.7,23.9,17.4,15.1
13,16.3,17.5,17.3,/,22.9,25.6,25.8,25.2,26.0,23.7,18.7,14.7
14,15.6,17.3,17.5,/,23.5,25.3,25.2,26.1,26.3,21.4,17.7,15.5
15,16.6,17.6,14.8,19.0,24.6,24.0,25.5,/,25.3,20.1,17.9,17.2
16,15.9,17.3,16.3,20.0,24.9,24.1,25.7,25.6,25.0,20.5,19.2,17.8
17,13.6,15.6,16.9,19.9,24.6,25.2,/,25.4,25.1,20.1,19.0,18.0
18,13.2,17.5,18.3,20.4,25.4,24.8,26.1,25.0,23.4,19.3,19.7,19.0
19,14.6,19.4,18.7,21.1,25.5,24.9,25.7,24.8,21.4,20.2,16.9,18.7
20,16.3,20.1,20.1,21.0,24.3,25.2,24.7,24.7,20.9,19.8,16.8,18.2
21,13.1,19.4,20.7,22.3,23.4,24.9,24.9,25.6,18.4,19.9,18.7,18.6
22,10.8,17.2,19.4,/,22.1,24.6,24.4,25.8,20.4,19.7,20.7,18.6
23,10.2,14.1,15.9,/,22.2,24.9,24.8,26.2,20.8,20.3,21.1,18.1
24,12.0,15.1,15.8,22.6,23.2,24.9,25.1,26.0,21.5,21.0,21.1,18.1
25,12.7,16.0,17.9,21.6,23.2,24.5,25.1,25.2,21.6,21.2,20.1,18.2
26,10.6,16.5,17.9,21.5,23.3,24.3,25.5,/,/,20.8,19.6,17.8
27,9.8,17.2,18.8,22.3,24.6,25.1,24.9,25.9,/,21.0,19.9,12.7
28,12.1,17.9,20.7,22.6,24.3,25.5,24.7,25.9,/,21.6,16.7,15.2
29,12.4,,20.8,22.6,22.8,26.1,25.0,26.1,/,20.7,15.5,18.5
30,12.8,,19.4,23.0,22.3,25.7,24.7,24.9,25.3,21.4,17.5,19.2
31,14.4,,18.7,,23.7,,/,25.2,,22.6,,17.7
平均,14.8,16.6,17.8,20.5,22.9,24.7,25.2,25.6,23.9,21.9,19,16.2
