2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,8.93,13.24,20.67,10.89,11.62,21.34,23.38,7.84,17.12,17.65,14.23,16.57
2,7.04,18.12,16.35,18.06,0.77,20.50,11.77,17.92,24.92,/,14.69,15.86
3,11.58,12.87,12.55,20.03,1.89,17.34,/,21.54,/,18.53,16.51,14.16
4,10.47,10.40,21.54,19.91,10.96,6.34,14.53,20.73,9.95,16.79,8.13,5.63
5,15.25,9.35,8.31,19.59,/,24.18,8.62,19.65,11.16,12.26,15.30,4.87
6,13.88,18.27,18.54,21.20,4.89,27.29,/,17.14,14.49,9.14,12.40,3.01
7,15.02,19.61,2.24,23.11,7.51,22.47,/,18.59,17.67,16.74,15.66,8.35
8,14.40,18.39,8.14,21.11,10.39,23.93,13.21,16.29,19.89,16.15,17.99,16.66
9,15.71,18.28,7.00,24.08,11.90,18.12,9.35,9.45,17.41,12.66,18.24,16.28
10,11.74,18.90,10.83,24.55,16.62,12.67,10.90,6.58,8.52,17.64,/,/
11,14.63,18.18,5.11,23.16,25.77,5.73,9.81,9.60,24.22,20.55,15.32,/
12,15.40,19.29,21.34,/,24.27,7.28,26.20,8.81,17.62,14.98,17.65,16.04
13,16.07,19.98,15.94,/,24.44,14.40,20.37,4.73,15.03,11.92,15.46,16.90
14,15.08,18.94,18.62,/,25.13,10.89,25.25,22.44,13.71,15.39,13.46,16.71
15,12.57,17.40,9.70,10.08,13.82,21.65,23.79,/,14.35,15.26,16.27,15.75
16,4.85,15.48,10.48,7.93,13.98,15.94,19.54,3.74,13.53,15.67,11.86,15.33
17,10.93,17.87,19.95,24.43,16.54,16.49,/,11.89,14.35,16.18,17.70,15.66
18,16.92,18.15,17.44,23.77,10.74,24.15,10.93,4.27,17.08,17.17,15.11,15.55
19,8.91,11.45,20.36,13.73,15.34,25.16,5.80,4.48,19.41,17.50,8.35,11.92
20,7.89,17.99,17.91,15.30,8.06,26.29,3.70,12.60,22.90,18.46,10.17,5.19
21,6.47,11.42,24.15,9.13,10.10,25.79,10.78,9.06,16.99,18.83,16.27,11.23
22,13.06,20.19,22.91,/,12.43,19.61,19.04,18.29,22.42,17.37,16.94,15.93
23,15.26,17.56,3.90,/,14.81,10.83,21.09,21.27,20.93,6.47,10.48,15.38
24,17.14,6.22,2.38,24.29,16.03,7.41,17.96,3.76,20.21,17.56,14.92,11.63
25,16.85,20.17,14.22,26.82,14.69,9.63,20.94,8.10,20.04,16.73,15.39,14.60
26,11.86,19.33,23.19,19.15,18.46,8.93,21.24,/,/,17.96,12.93,12.11
27,12.85,19.70,21.55,15.39,10.18,11.86,15.75,21.17,/,17.79,13.10,5.55
28,17.79,20.02,21.53,17.66,15.61,24.86,11.18,23.86,/,18.65,14.72,6.20
29,17.98,,19.81,23.38,15.54,10.75,24.79,13.95,/,18.28,13.24,4.01
30,17.76,,16.93,24.00,19.70,24.36,21.18,10.95,9.54,15.14,15.06,7.45
31,16.42,,21.93,,18.74,,/,18.02,,15.50,,8.02
平均,13.2,16.7,15.3,19.2,14,17.2,16.2,13.3,16.9,16,14.4,11.8
