2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,8.7,9.0,9.5,9.7,10.3,11.0,11.7,,,,,
2,8.5,8.8,9.6,10.3,10.2,11.3,11.2,,,,,
3,8.6,8.9,8.3,10.2,8.6,11.5,11.2,,,,,
4,8.2,8.9,8.2,10.0,11.2,10.2,10.5,,,,,
5,8.3,8.9,9.1,9.5,11.2,4.4,9.5,,,,,
6,6.7,9.0,9.3,9.3,10.8,2.1,9.1,,,,,
7,4.2,8.3,9.1,9.4,10.2,9.7,,,,,,
8,4.9,8.5,9.6,10.0,10.9,9.9,,,,,,
9,8.0,9.1,9.2,7.9,11.3,11.8,,,,,,
10,7.9,8.5,8.4,10.3,10.3,8.4,,,,,,
11,8.3,6.1,9.9,10.7,11.3,10.2,,,,,,
12,8.0,7.0,9.9,10.1,11.4,8.9,,,,,,
13,8.6,9.3,9.9,10.6,10.9,11.3,,,,,,
14,8.6,9.0,9.9,9.8,10.7,11.1,,,,,,
15,8.5,9.1,9.8,10.7,11.4,9.8,,,,,,
16,8.7,9.3,10.1,10.5,11.0,6.8,,,,,,
17,8.5,8.9,10.1,10.7,11.2,9.3,,,,,,
18,8.6,8.6,9.7,10.3,11.3,10.8,,,,,,
19,8.6,9.6,10.1,8.5,11.1,8.7,,,,,,
20,8.5,9.6,10.0,10.2,11.4,5.2,,,,,,
21,8.5,9.6,8.9,10.7,11.5,4.9,,,,,,
22,5.6,9.8,4.4,10.8,11.2,4.3,,,,,,
23,6.6,9.0,7.5,9.4,11.3,6.4,,,,,,
24,8.1,8.5,5.8,10.7,11.7,9.7,,,,,,
25,8.8,9.6,10.3,5.0,11.8,9.9,,,,,,
26,8.3,9.7,10.2,9.1,11.3,8.1,,,,,,
27,7.7,8.5,9.9,8.1,4.8,8.2,,,,,,
28,7.6,9.6,10.4,7.9,10.5,6.7,,,,,,
29,8.9,,10.1,5.5,10.2,6.0,,,,,,
30,8.8,,9.3,10.8,0.4,10.9,,,,,,
31,8.5,,10.3,,7.7,,,,,,,
總和,246.3,248.7,286.8,286.7,319.1,257.5,63.2, , , , , 
