2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,0.0,0.0,0.0,0.0,0.0,107.0,0.0,,,,,
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,,,,
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
5,0.0,0.0,0.0,0.0,0.0,197.5,0.0,,,,,
6,0.0,0.0,0.0,0.0,0.0,169.5,0.5,,,,,
7,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,
8,0.0,0.0,0.0,0.0,0.0,0.5,,,,,,
9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
10,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,
11,0.0,16.5,0.0,0.0,0.0,4.0,,,,,,
12,1.0,0.0,0.0,0.0,0.0,9.5,,,,,,
13,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
14,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
15,0.0,0.0,0.0,0.0,0.0,5.5,,,,,,
16,0.0,0.0,0.0,0.0,0.0,27.0,,,,,,
17,0.0,0.0,0.0,0.0,0.0,36.0,,,,,,
18,0.0,0.0,0.0,0.0,0.0,7.5,,,,,,
19,0.0,0.0,0.0,0.0,0.0,8.0,,,,,,
20,0.0,0.0,0.0,0.0,0.0,94.0,,,,,,
21,0.0,0.0,0.0,0.0,0.0,120.0,,,,,,
22,3.5,0.0,0.0,0.0,0.0,80.0,,,,,,
23,0.0,0.0,0.0,0.0,0.0,11.0,,,,,,
24,0.0,0.0,4.5,0.0,0.0,22.0,,,,,,
25,0.0,0.0,0.0,6.0,0.0,23.0,,,,,,
26,0.0,0.0,0.0,2.5,0.0,22.5,,,,,,
27,0.0,0.0,0.0,1.5,0.0,8.5,,,,,,
28,0.0,0.0,0.0,0.0,0.0,58.0,,,,,,
29,0.0,,0.0,16.0,10.0,47.0,,,,,,
30,0.0,,0.0,0.0,46.5,0.0,,,,,,
31,0.0,,0.0,,3.0,,,,,,,
總和,4.5,16.5,5,26,59.5,1062,0.5, , , , , 
