2012年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.2,5.8,0.0,0.0,2.1
2,0.0,0.5,0.0,0.0,12.5,0.0,0.0,454.0,14.5,0.0,0.0,2.0
3,0.0,0.3,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.5,0.0,0.0,0.2,9.0,0.0,0.0,53.6,0.0,0.0,0.0,13.5
5,11.5,0.0,0.0,0.3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.2
6,12.5,21.0,0.0,9.5,0.0,0.0,25.0,18.3,0.0,0.0,0.0,5.0
7,0.0,3.5,0.0,0.0,0.0,0.5,0.0,18.1,0.0,0.0,0.0,0.5
8,0.0,10.0,3.8,4.8,0.0,39.0,0.0,0.0,0.1,0.0,0.0,21.0
9,0.0,0.0,0.0,2.0,12.2,37.5,0.0,5.3,0.0,0.0,0.0,1.0
10,0.0,0.0,5.3,0.0,5.2,113.5,0.0,4.0,0.2,0.0,0.0,0.0
11,0.0,0.0,25.5,0.0,0.1,155.5,0.0,0.5,0.0,0.0,1.8,0.0
12,1.0,0.0,5.5,0.0,0.0,59.5,0.0,2.5,0.0,0.0,0.3,0.0
13,0.0,0.0,2.5,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0
14,1.5,0.0,0.5,0.0,0.0,23.0,0.5,0.0,0.0,0.0,0.0,0.0
15,19.4,0.0,0.0,0.3,2.3,2.8,1.0,0.0,0.0,0.0,0.0,0.0
16,5.5,0.0,0.0,11.0,23.2,1.2,27.5,24.0,0.0,0.0,8.0,0.0
17,0.0,0.0,1.0,3.0,29.2,2.0,0.0,53.3,0.0,0.0,17.0,0.0
18,0.0,0.0,0.0,37.0,85.6,22.0,0.0,1.0,0.0,0.0,22.0,3.0
19,0.0,0.0,0.0,0.0,31.6,7.1,5.3,17.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,23.0,0.0,65.5,0.0,5.7,0.0,0.0,1.0,0.0
21,1.0,0.5,0.0,5.8,0.0,17.5,66.7,0.5,0.0,0.0,2.7,0.0
22,19.0,2.7,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.2,0.0
23,2.5,8.2,0.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,35.8,0.0
24,5.5,11.0,0.6,1.2,0.0,0.0,16.2,0.0,0.0,0.0,3.2,0.0
25,0.0,7.0,0.0,53.0,0.0,0.0,12.5,6.0,0.0,0.0,0.0,0.0
26,0.0,6.2,0.0,0.0,0.5,10.1,19.5,0.0,0.0,0.0,25.4,0.0
27,0.0,4.8,0.0,34.0,86.5,0.0,1.0,0.0,0.0,0.0,4.5,0.1
28,0.0,16.5,0.0,11.0,0.5,0.0,0.5,2.8,0.0,0.0,36.0,0.0
29,0.0,0.0,0.0,51.0,82.0,3.0,0.0,0.0,0.0,0.0,0.6,19.9
30,0.0,,0.3,8.5,4.2,0.0,15.0,0.6,0.0,2.1,42.0,0.4
31,0.0,,0.0,,0.0,,1.6,2.4,,0.7,,0.0
總和,80.9,92.2,45.5,255.6,405.6,562,192.8,805.8,20.7,2.8,201.5,75.7
