2014年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,21.5,23.5,23.7,19.0,20.5,/,31.5,31.7,31.5,27.7,26.6,19.6
2,23.2,26.6,19.0,20.0,25.7,/,32.7,30.7,30.0,28.1,25.3,14.1
3,22.7,27.2,17.4,21.0,25.7,/,32.0,32.0,30.6,27.6,22.4,20.7
4,17.9,21.1,21.9,19.0,25.2,/,30.7,29.5,30.4,26.0,23.5,17.0
5,19.2,21.4,19.0,22.6,21.5,/,31.9,28.4,30.3,26.3,25.5,15.1
6,19.3,22.8,15.2,23.6,17.4,/,31.8,30.2,30.1,26.8,26.2,20.1
7,21.9,21.0,16.8,18.0,21.9,/,32.7,30.6,31.0,26.5,25.3,22.4
8,21.0,18.4,14.8,24.7,24.6,/,28.7,31.9,30.0,26.0,25.1,20.8
9,13.2,13.3,12.0,25.6,22.5,/,32.4,30.6,30.1,28.2,21.2,22.8
10,18.2,9.4,17.5,27.5,26.6,/,31.6,29.2,29.3,27.0,26.5,22.9
11,20.8,6.4,18.0,25.9,28.3,28.0,31.6,28.4,29.4,24.0,25.1,18.6
12,18.0,16.1,21.0,27.4,29.5,32.1,32.5,28.4,27.7,25.1,20.2,12.9
13,15.6,14.0,18.4,27.3,26.6,30.1,32.9,27.2,29.0,27.0,22.0,14.3
14,13.0,11.0,16.9,25.4,27.3,28.0,32.0,29.2,32.3,25.4,22.3,20.3
15,17.6,14.1,19.4,23.9,28.1,28.1,31.5,30.1,33.6,25.0,22.0,22.7
16,19.1,20.1,19.5,26.5,29.8,31.1,30.3,30.7,31.3,25.3,24.8,15.3
17,19.2,24.3,22.5,26.5,29.7,29.6,32.0,29.3,30.0,26.9,20.5,9.8
18,15.5,24.0,23.5,24.6,28.1,30.3,32.5,28.5,31.3,27.1,22.6,16.9
19,16.3,11.5,26.4,26.0,25.2,31.1,29.5,27.1,31.3,28.6,24.5,14.0
20,17.8,14.1,22.9,24.0,24.9,29.3,30.6,27.5,29.3,29.5,24.3,17.1
21,12.5,17.7,12.2,27.2,/,/,30.3,29.1,26.4,29.4,25.4,16.2
22,13.6,18.6,16.0,26.1,/,/,30.6,29.1,27.7,27.7,28.1,17.0
23,18.0,20.4,19.6,24.1,/,/,25.6,29.6,29.2,25.3,24.6,19.1
24,17.6,20.4,20.3,27.1,/,/,29.7,30.1,29.9,26.2,26.5,23.3
25,21.2,23.5,24.5,25.6,/,/,29.8,29.2,28.2,27.0,26.1,19.0
26,18.1,23.8,26.5,23.1,/,/,30.1,29.5,28.8,28.0,26.3,17.1
27,21.1,24.1,27.3,26.4,/,/,30.1,30.1,29.3,27.7,27.4,15.6
28,21.1,25.1,27.6,21.0,/,/,30.1,29.6,27.7,27.5,26.1,14.4
29,21.6,,27.3,24.5,/,/,29.9,30.2,28.9,27.1,27.3,16.3
30,23.0,,26.3,21.2,/,/,30.8,30.0,28.2,26.0,26.1,19.1
31,23.3,,25.3,,/,,30.9,30.2,,25.4,,19.2
平均,18.8,19.1,20.6,24.2,25.5,29.8,30.9,29.6,29.8,26.8,24.7,17.9
