2016年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,81,91,69,88,90,76,84,86,72,/,/,/
2,81,93,76,79,80,85,85,90,85,/,/,/
3,90,92,70,85,79,64,83,88,95,/,/,/
4,91,90,70,91,88,80,82,86,88,/,/,/
5,87,88,69,78,79,84,84,83,87,/,/,/
6,92,71,77,71,76,90,83,84,94,/,/,/
7,89,62,79,74,77,85,85,85,85,/,/,/
8,90,49,76,75,81,82,92,84,83,/,/,/
9,87,70,89,79,81,84,90,82,86,/,/,/
10,86,51,82,80,79,90,82,83,91,/,/,/
11,90,51,97,89,85,92,80,92,86,/,/,/
12,92,73,90,81,82,85,75,97,84,/,/,/
13,97,79,91,78,81,86,75,93,86,/,/,/
14,92,78,92,89,80,83,79,89,80,/,/,/
15,85,79,96,93,78,82,74,90,91,/,/,/
16,93,92,94,78,89,78,79,93,82,/,/,/
17,80,86,91,91,89,81,79,90,94,/,/,/
18,91,80,81,90,87,80,79,88,87,/,/,/
19,80,87,94,73,82,80,79,90,80,/,/,/
20,86,86,90,71,87,79,79,84,81,/,/,/
21,91,87,94,75,90,78,82,84,79,/,/,/
22,93,80,91,73,88,82,78,86,82,/,/,/
23,93,91,94,73,91,83,77,85,81,/,/,/
24,79,90,93,76,90,81,75,86,83,/,/,/
25,67,91,96,76,93,82,76,84,83,/,/,/
26,70,90,61,79,85,82,75,82,82,/,/,/
27,80,92,69,79,82,77,76,82,93,/,/,/
28,96,80,56,87,76,81,78,92,93,/,/,/
29,94,53,49,73,79,87,78,78,90,/,/,/
30,96,,65,80,84,82,79,84,87,/,/,/
31,87,,78,,83,,80,77,,/,,/
平均,87.3,79.4,81.3,80.1,83.6,82,80.1,86.4,85.7,/,/,/
