2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,20.2,19.4,21.8,22.6,25.4,25.8,26.8,27.6,26.9,25.6,24.3,21.8
2,20.2,19.4,22.1,22.1,24.6,25.9,26.9,27.4,26.8,25.4,24.4,21.8
3,20.3,19.7,22.3,21.9,/,26.0,26.9,27.3,26.9,25.5,24.4,21.3
4,20.4,20.2,21.7,21.8,/,25.8,26.7,27.3,27.0,25.6,24.3,20.9
5,20.8,20.5,21.6,22.2,/,25.5,26.6,27.5,26.8,25.6,24.0,20.6
6,21.1,20.8,21.3,22.6,23.7,25.7,26.5,/,26.6,25.7,23.9,20.1
7,21.1,20.9,20.9,22.9,23.5,26.0,26.3,27.6,26.7,25.9,23.7,19.5
8,21.3,21.1,20.0,23.2,23.2,26.2,26.4,27.7,26.8,25.9,23.5,19.1
9,21.4,21.1,19.3,23.5,23.2,26.2,26.5,27.6,26.8,25.8,23.2,18.7
10,21.5,21.0,19.1,23.8,23.3,26.1,26.4,25.9,26.8,25.8,22.9,/
11,21.7,21.1,19.3,24.2,23.6,25.7,/,26.0,26.9,25.7,22.7,/
12,21.8,21.2,19.4,24.1,24.2,25.0,/,25.7,26.9,25.6,22.6,/
13,21.8,21.4,19.7,24.0,24.7,24.7,/,25.5,26.9,25.5,22.5,18.2
14,21.8,21.7,20.0,23.8,25.1,24.8,/,25.6,26.9,25.4,22.4,18.2
15,21.8,21.9,20.1,23.7,25.4,24.8,26.8,/,/,25.1,22.3,18.2
16,21.8,22.1,19.8,23.4,25.6,25.2,27.1,25.0,26.9,24.9,22.2,18.3
17,21.2,22.0,19.9,23.0,/,25.7,/,24.9,26.7,24.7,22.3,18.4
18,20.5,21.9,20.0,23.3,25.1,26.0,27.6,24.8,26.6,24.5,22.2,18.6
19,20.3,/,20.2,23.6,24.7,26.2,27.5,24.8,26.4,24.4,22.2,18.8
20,20.3,22.1,20.8,23.5,24.7,26.5,27.3,24.8,26.1,24.3,22.0,19.0
21,20.2,22.5,21.3,23.4,24.3,26.7,27.1,24.9,25.8,/,21.9,19.3
22,19.7,/,21.7,23.3,24.2,26.7,27.0,25.1,25.5,/,22.0,19.5
23,19.1,22.7,21.9,23.7,24.2,26.5,27.0,25.5,25.4,24.0,22.1,19.7
24,18.9,22.2,21.3,24.1,24.0,26.0,26.9,25.9,25.3,24.0,22.3,19.7
25,18.9,21.6,20.9,24.4,24.4,25.5,27.0,25.9,25.2,24.0,22.4,19.7
26,18.8,21.5,20.7,/,24.7,25.6,/,26.0,25.3,24.0,22.4,19.7
27,18.6,21.6,21.0,24.9,25.0,25.7,/,26.1,25.3,24.1,22.5,19.7
28,18.6,21.7,21.5,25.1,25.2,26.1,/,26.3,25.5,24.1,22.4,19.5
29,18.6,,21.9,25.2,25.1,26.6,27.1,26.5,25.6,24.1,22.1,19.5
30,18.8,,22.3,25.5,25.1,26.7,27.3,26.8,25.7,24.0,21.9,19.5
31,19.2,,22.5,,25.5,,27.5,26.8,,24.1,,19.6
平均,20.3,21.3,20.8,23.5,24.5,25.9,26.9,26.2,26.3,24.9,22.8,19.5
