2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,59,66,54,89,64,67,61,65,58,51,62,36
2,71,51,50,68,96,62,68,63,53,42,58,64
3,77,40,54,60,/,63,62,69,64,53,63,53
4,64,61,52,62,/,62,53,55,72,60,61,54
5,60,61,53,60,/,55,55,69,67,63,60,96
6,73,41,63,59,93,57,64,/,61,59,51,99
7,59,28,97,55,87,53,57,56,64,69,52,60
8,66,53,84,47,83,61,58,69,57,49,49,43
9,52,60,87,53,80,59,63,87,51,61,47,47
10,48,44,67,28,74,58,63,86,54,48,46,/
11,52,50,76,58,60,76,/,96,60,64,47,/
12,48,43,48,60,55,96,/,79,59,67,43,/
13,52,50,49,65,54,63,/,48,58,63,52,42
14,46,55,52,57,60,77,/,64,58,56,59,41
15,47,48,63,74,61,49,54,/,/,49,55,37
16,87,52,70,95,67,47,61,70,68,57,53,47
17,77,59,58,59,/,62,/,78,70,54,36,55
18,51,56,56,56,86,58,70,66,49,47,45,60
19,47,/,46,53,70,53,60,74,50,63,68,65
20,54,55,59,55,75,54,63,73,63,57,60,52
21,77,57,40,68,86,53,59,76,65,/,61,63
22,75,/,57,63,77,64,59,60,55,/,58,54
23,50,64,78,56,83,65,58,65,50,56,61,63
24,48,84,89,60,67,70,57,35,55,53,42,48
25,25,56,80,54,63,57,63,68,49,55,59,39
26,50,52,49,/,63,58,/,66,60,56,59,55
27,51,56,51,53,62,60,/,58,51,53,37,59
28,43,57,54,59,80,55,/,52,65,58,64,61
29,37,,56,53,74,65,63,68,59,74,55,99
30,37,,59,56,58,62,59,66,58,55,45,85
31,33,,57,,58,,58,57,,63,,70
平均,55.4,53.8,61.5,59.8,71.7,61.4,60.3,66.8,58.7,57.1,53.6,58.8
