2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,13.5,5.0,17.8,17.6,17.2,23.9,24.9,22.4,21.7,19.4,16.6,14.2
2,12.8,6.6,14.5,17.2,19.3,24.2,24.0,23.0,21.8,19.8,16.4,13.7
3,14.0,10.6,14.8,17.7,22.6,23.5,24.1,22.6,22.2,19.7,14.1,11.4
4,15.0,13.4,15.5,16.3,22.5,23.2,24.8,21.7,21.8,18.8,13.6,12.4
5,14.9,12.4,12.8,14.1,22.9,23.9,24.9,22.3,20.9,19.8,15.8,13.0
6,15.1,12.7,15.6,15.9,22.8,24.1,24.6,21.9,14.8,17.7,18.6,14.6
7,14.6,13.7,17.0,15.0,23.7,22.7,24.7,22.5,16.0,16.4,20.6,16.6
8,12.8,11.2,17.9,16.5,23.2,22.3,25.3,22.5,19.8,15.8,16.3,15.2
9,13.7,10.5,18.2,15.5,24.3,21.4,24.3,22.2,21.0,16.8,14.9,16.7
10,13.9,12.2,16.4,15.0,23.7,24.8,22.8,23.1,22.0,18.3,15.6,17.9
11,14.3,14.5,13.0,16.6,23.7,24.9,23.8,22.8,21.3,20.4,14.3,18.3
12,12.0,13.8,17.3,10.4,22.9,25.1,25.1,22.1,21.7,22.0,15.9,16.1
13,12.1,16.1,19.5,4.8,21.7,25.1,25.3,21.7,21.8,21.8,18.2,15.0
14,11.8,16.2,13.1,10.3,22.0,23.7,25.9,21.7,22.8,21.2,19.2,13.3
15,10.8,18.8,10.7,13.0,22.3,23.8,26.5,21.8,22.6,20.9,19.1,12.3
16,11.8,14.1,11.5,10.9,22.8,24.0,25.0,21.2,22.2,20.6,18.8,12.8
17,12.2,4.8,13.1,16.3,22.0,24.3,25.8,22.3,22.3,18.8,18.4,12.6
18,10.9,5.1,16.1,18.4,22.5,23.8,25.6,21.4,21.8,18.5,17.2,13.9
19,12.2,9.6,18.2,20.8,20.8,24.3,25.0,22.5,22.4,18.4,17.8,12.6
20,10.4,12.0,18.2,20.3,21.6,24.5,24.1,23.1,22.0,19.0,19.4,11.8
21,10.2,14.0,18.2,20.7,22.4,24.2,24.6,23.0,21.1,20.5,18.4,13.7
22,/,13.3,20.1,18.0,22.5,24.4,27.9,23.0,20.3,18.3,18.6,14.0
23,/,14.3,18.9,17.4,22.4,24.5,26.6,22.2,21.0,15.6,17.2,16.0
24,/,15.1,18.9,16.3,23.3,25.4,26.1,22.0,20.8,16.6,17.5,15.2
25,/,14.6,18.9,18.4,23.7,24.3,26.2,22.8,19.2,18.6,17.3,12.9
26,/,15.5,18.6,18.4,23.5,24.0,24.8,21.8,20.0,18.7,17.0,12.8
27,/,15.9,20.3,18.7,23.4,24.3,25.0,22.0,20.0,18.7,15.8,13.7
28,/,16.7,16.9,17.8,23.4,24.4,23.9,22.1,21.4,18.8,15.0,16.0
29,/,16.3,14.6,17.8,23.9,24.9,23.1,22.3,20.8,19.1,14.7,16.8
30,1.4,,18.0,18.2,23.7,25.0,23.7,23.4,19.6,14.3,14.4,6.8
31,1.7,,19.2,,23.9,,22.2,22.2,,13.8,,1.8
平均,11.8,12.7,16.6,16.1,22.6,24.1,24.9,22.3,20.9,18.6,16.9,13.7
