2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,7.0,9.3,9.7,9.3,10.3,11.3,6.5,9.3,10.2,9.6,7.1,8.9
2,9.0,9.0,9.8,5.4,10.2,10.6,8.2,9.4,8.9,10.4,9.4,9.0
3,9.0,8.9,8.8,7.4,11.2,11.2,10.0,4.4,9.2,9.7,9.6,5.9
4,8.5,1.2,9.2,8.3,11.1,11.8,11.6,9.9,10.8,10.2,8.9,7.7
5,8.6,8.5,4.8,5.7,11.0,10.1,11.6,10.5,9.3,10.3,9.5,7.9
6,8.7,8.6,9.3,4.2,8.1,9.3,10.6,11.5,10.7,10.2,8.2,8.8
7,8.8,9.0,9.6,9.0,10.3,4.4,11.3,11.6,10.4,9.7,7.4,8.2
8,9.1,9.1,9.7,10.1,10.1,5.4,10.4,10.6,10.6,10.0,7.8,6.0
9,8.4,7.8,9.3,9.6,11.0,7.4,9.6,10.6,9.6,9.4,5.2,2.7
10,8.6,9.2,4.7,10.4,10.6,4.2,10.9,8.2,10.5,10.2,6.7,7.6
11,8.9,6.1,8.1,6.9,10.4,10.4,12.0,7.6,9.5,10.2,9.6,6.6
12,8.4,9.5,8.0,9.7,8.1,11.2,11.7,8.6,10.1,10.1,9.1,8.7
13,8.3,8.0,8.9,11.2,11.3,10.8,10.8,10.8,7.2,9.5,6.5,8.0
14,9.1,8.3,5.3,10.3,11.3,8.9,10.8,9.6,10.5,9.3,7.4,9.0
15,9.1,7.3,9.9,10.2,11.4,11.8,9.5,7.9,10.3,9.1,8.5,7.6
16,8.9,4.2,10.2,11.0,9.7,11.1,10.0,10.6,10.7,8.8,8.3,7.1
17,8.2,9.2,8.8,11.0,11.7,11.9,10.5,9.8,10.1,7.8,9.0,8.2
18,8.3,8.8,5.4,10.6,7.2,11.5,11.0,8.2,10.6,9.7,9.2,8.6
19,9.1,9.8,6.1,10.2,3.9,11.8,11.3,11.1,10.0,10.0,9.3,7.9
20,8.6,8.5,9.6,10.9,9.4,11.8,10.4,9.8,10.3,9.0,8.9,8.1
21,9.2,9.5,10.0,6.7,5.0,9.5,11.3,11.2,10.3,9.0,8.8,4.3
22,/,9.6,9.8,7.6,1.0,10.8,11.7,8.0,10.3,7.8,9.3,8.1
23,/,9.8,10.2,4.2,4.5,11.0,9.2,10.5,10.1,5.2,9.4,3.5
24,/,9.1,9.6,2.4,10.2,10.7,11.5,9.8,9.9,8.9,9.2,6.1
25,/,10.0,10.3,8.7,10.6,10.9,9.1,10.7,9.2,8.5,9.1,8.3
26,/,10.1,9.6,9.0,7.0,9.0,9.7,9.3,8.0,8.9,8.0,9.0
27,/,9.5,9.3,9.4,6.2,11.5,8.1,9.0,5.4,9.1,9.0,4.8
28,/,9.8,7.6,10.3,4.6,11.6,7.2,8.0,5.2,9.7,8.9,8.4
29,/,8.8,9.6,11.2,10.0,10.7,9.4,9.7,9.1,8.8,9.2,7.8
30,9.5,,6.4,2.5,10.0,8.6,7.9,9.6,7.6,1.6,7.4,7.9
31,9.5,,8.4,,10.7,,9.9,9.6,,9.6,,2.1
總和,200.8,246.5,266,253.4,278.1,301.2,313.7,295.4,284.6,280.3,253.9,222.8
