2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,350.0,260.0,320.0,270.0,230.0,210.0,200.0,,,,,
2,20.0,50.0,360.0,270.0,320.0,150.0,200.0,,,,,
3,340.0,220.0,290.0,330.0,210.0,200.0,220.0,,,,,
4,40.0,230.0,320.0,10.0,220.0,210.0,300.0,,,,,
5,20.0,210.0,220.0,360.0,320.0,210.0,330.0,,,,,
6,50.0,280.0,260.0,20.0,320.0,210.0,230.0,,,,,
7,30.0,310.0,20.0,220.0,220.0,220.0,290.0,,,,,
8,40.0,340.0,40.0,10.0,250.0,320.0,,,,,,
9,60.0,230.0,300.0,40.0,240.0,300.0,,,,,,
10,310.0,300.0,320.0,80.0,230.0,330.0,,,,,,
11,40.0,300.0,240.0,230.0,220.0,330.0,,,,,,
12,50.0,40.0,320.0,230.0,240.0,280.0,,,,,,
13,270.0,10.0,300.0,300.0,290.0,190.0,,,,,,
14,330.0,250.0,310.0,20.0,320.0,200.0,,,,,,
15,310.0,320.0,210.0,280.0,210.0,210.0,,,,,,
16,10.0,280.0,310.0,330.0,220.0,250.0,,,,,,
17,30.0,20.0,310.0,10.0,270.0,220.0,,,,,,
18,320.0,30.0,290.0,320.0,240.0,200.0,,,,,,
19,330.0,210.0,210.0,340.0,230.0,210.0,,,,,,
20,210.0,330.0,220.0,320.0,247.5,180.0,,,,,,
21,10.0,210.0,40.0,290.0,200.0,230.0,,,,,,
22,210.0,290.0,40.0,310.0,240.0,200.0,,,,,,
23,290.0,230.0,230.0,10.0,210.0,200.0,,,,,,
24,20.0,310.0,10.0,310.0,300.0,220.0,,,,,,
25,340.0,220.0,10.0,130.0,300.0,270.0,,,,,,
26,310.0,330.0,320.0,300.0,230.0,230.0,,,,,,
27,10.0,10.0,220.0,230.0,220.0,220.0,,,,,,
28,40.0,200.0,210.0,20.0,210.0,200.0,,,,,,
29,240.0,,220.0,10.0,190.0,200.0,,,,,,
30,310.0,,230.0,270.0,200.0,210.0,,,,,,
31,200.0,,220.0,,240.0,,,,,,,
平均,165.8,215,223.2,195.7,244.8,227,252.9, , , , , 
