2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,2021-01-01 14:46:00,2021-02-01 14:38:00,2021-03-01 14:29:00,2021-04-01 16:07:00,2021-05-01 11:57:00,2021-06-01 12:19:00,2021-07-01 13:55:00,,,,,
2,2021-01-02 14:15:00,2021-02-02 13:44:00,2021-03-02 01:46:00,2021-04-02 13:45:00,2021-05-02 14:49:00,2021-06-02 11:26:00,2021-07-02 13:04:00,,,,,
3,2021-01-03 14:14:00,2021-02-03 12:55:00,2021-03-03 10:43:00,2021-04-03 11:20:00,2021-05-03 13:05:00,2021-06-03 14:00:00,2021-07-03 13:36:00,,,,,
4,2021-01-04 13:02:00,2021-02-04 12:06:00,2021-03-04 12:59:00,2021-04-04 11:56:00,2021-05-04 14:24:00,2021-06-04 11:42:00,2021-07-04 14:00:00,,,,,
5,2021-01-05 12:14:00,2021-02-05 13:36:00,2021-03-05 13:30:00,2021-04-05 14:04:00,2021-05-05 10:58:00,2021-06-05 12:53:00,2021-07-05 14:44:00,,,,,
6,2021-01-06 12:01:00,2021-02-06 11:33:00,2021-03-06 12:35:00,2021-04-06 12:24:00,2021-05-06 13:55:00,2021-06-06 09:09:00,2021-07-06 11:41:00,,,,,
7,2021-01-07 13:00:00,2021-02-07 13:07:00,2021-03-07 13:40:00,2021-04-07 09:53:00,2021-05-07 15:12:00,2021-06-07 11:45:00,,,,,,
8,2021-01-08 00:10:00,2021-02-08 14:05:00,2021-03-08 15:09:00,2021-04-08 14:40:00,2021-05-08 12:26:00,2021-06-08 12:29:00,,,,,,
9,2021-01-09 14:16:00,2021-02-09 13:19:00,2021-03-09 13:22:00,2021-04-09 15:18:00,2021-05-09 12:22:00,2021-06-09 11:38:00,,,,,,
10,2021-01-10 12:09:00,2021-02-10 13:34:00,2021-03-10 14:34:00,2021-04-10 13:24:00,2021-05-10 14:16:00,2021-06-10 15:47:00,,,,,,
11,2021-01-11 00:01:00,2021-02-11 11:00:00,2021-03-11 12:52:00,2021-04-11 12:37:00,2021-05-11 12:56:00,2021-06-11 12:27:00,,,,,,
12,2021-01-12 13:42:00,2021-02-12 12:31:00,2021-03-12 12:51:00,2021-04-12 12:18:00,2021-05-12 12:27:00,2021-06-12 12:05:00,,,,,,
13,2021-01-13 13:58:00,2021-02-13 12:51:00,2021-03-13 13:27:00,2021-04-13 11:02:00,2021-05-13 12:10:00,2021-06-13 13:58:00,,,,,,
14,2021-01-14 13:56:00,2021-02-14 13:38:00,2021-03-14 13:38:00,2021-04-14 14:31:00,2021-05-14 10:44:00,2021-06-14 14:00:00,,,,,,
15,2021-01-15 13:17:00,2021-02-15 13:36:00,2021-03-15 12:20:00,2021-04-15 11:20:00,2021-05-15 13:10:00,2021-06-15 11:26:00,,,,,,
16,2021-01-16 15:08:00,2021-02-16 11:04:00,2021-03-16 14:33:00,2021-04-16 11:31:00,2021-05-16 13:13:00,2021-06-16 14:05:00,,,,,,
17,2021-01-17 13:35:00,2021-02-17 13:59:00,2021-03-17 14:45:00,2021-04-17 15:06:00,2021-05-17 12:49:00,2021-06-17 13:27:00,,,,,,
18,2021-01-18 14:04:00,2021-02-18 13:22:00,2021-03-18 14:49:00,2021-04-18 15:10:00,2021-05-18 14:15:00,2021-06-18 15:38:00,,,,,,
19,2021-01-19 12:41:00,2021-02-19 13:22:00,2021-03-19 13:00:00,2021-04-19 15:52:00,2021-05-19 12:36:00,2021-06-19 16:12:00,,,,,,
20,2021-01-20 12:48:00,2021-02-20 13:11:00,2021-03-20 12:29:00,2021-04-20 15:19:00,2021-05-20 12:00:00,2021-06-20 15:47:00,,,,,,
21,2021-01-21 14:35:00,2021-02-21 15:10:00,2021-03-21 12:12:00,2021-04-21 12:57:00,2021-05-21 13:39:00,2021-06-21 16:33:00,,,,,,
22,2021-01-22 13:52:00,2021-02-22 12:56:00,2021-03-22 00:11:00,2021-04-22 10:32:00,2021-05-22 14:29:00,2021-06-22 12:21:00,,,,,,
23,2021-01-23 14:11:00,2021-02-23 13:26:00,2021-03-23 13:11:00,2021-04-23 12:32:00,2021-05-23 13:09:00,2021-06-23 11:33:00,,,,,,
24,2021-01-24 14:21:00,2021-02-24 13:35:00,2021-03-24 17:10:00,2021-04-24 13:05:00,2021-05-24 11:45:00,2021-06-24 11:09:00,,,,,,
25,2021-01-25 10:56:00,2021-02-25 12:33:00,2021-03-25 13:35:00,2021-04-25 13:12:00,2021-05-25 14:06:00,2021-06-25 13:49:00,,,,,,
26,2021-01-26 11:30:00,2021-02-26 12:26:00,2021-03-26 13:23:00,2021-04-26 13:25:00,2021-05-26 12:36:00,2021-06-26 11:57:00,,,,,,
27,2021-01-27 14:18:00,2021-02-27 14:25:00,2021-03-27 13:37:00,2021-04-27 11:09:00,2021-05-27 11:43:00,2021-06-27 11:08:00,,,,,,
28,2021-01-28 11:17:00,2021-02-28 14:37:00,2021-03-28 12:41:00,2021-04-28 12:50:00,2021-05-28 13:42:00,2021-06-28 13:15:00,,,,,,
29,2021-01-29 12:51:00,,2021-03-29 14:10:00,2021-04-29 17:00:00,2021-05-29 09:15:00,2021-06-29 13:05:00,,,,,,
30,2021-01-30 11:43:00,,2021-03-30 14:06:00,2021-04-30 13:08:00,2021-05-30 10:46:00,2021-06-30 14:42:00,,,,,,
31,2021-01-31 12:58:00,,2021-03-31 13:14:00,,2021-05-31 10:11:00,,,,,,,
平均, , , , , , , , , , , , 
