2012年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,16.5,15.3,19.1,21.0,28.2,27.1,29.2,28.1,26.8,24.7,21.2,21.2
2,15.5,16.8,21.0,23.0,27.8,27.1,28.6,24.8,26.8,24.2,22.7,20.1
3,16.4,14.5,18.5,24.4,26.5,27.1,28.9,28.3,27.0,21.7,23.5,19.0
4,13.3,17.1,19.9,22.7,24.6,27.4,29.3,28.0,28.5,23.7,23.8,18.8
5,12.2,19.1,24.2,23.2,24.5,27.6,29.3,/,28.6,25.2,22.6,17.8
6,15.4,23.1,23.2,21.3,26.0,28.4,28.4,28.8,29.1,25.2,22.3,17.5
7,17.1,16.4,20.4,22.0,26.2,29.9,29.0,/,29.1,24.9,21.8,18.8
8,18.3,10.6,18.9,23.5,27.5,28.9,29.1,29.9,28.9,25.0,22.7,18.3
9,18.1,13.2,15.0,24.0,27.6,27.1,29.2,/,28.8,24.6,23.4,16.8
10,17.7,15.5,14.2,26.3,26.8,27.4,29.5,26.6,28.3,24.6,24.8,17.0
11,17.1,15.7,13.7,26.8,25.8,28.6,29.3,27.5,29.0,24.1,24.2,17.3
12,16.7,15.5,14.0,26.2,26.5,26.9,29.4,29.0,28.9,23.5,22.3,17.8
13,17.7,19.5,16.1,26.1,27.4,26.9,29.5,30.4,28.7,23.9,23.2,19.5
14,18.8,20.4,17.0,26.2,28.2,25.3,29.1,29.2,28.2,24.2,22.8,20.4
15,19.8,18.8,17.8,26.7,28.9,26.6,28.9,30.1,27.3,24.3,24.1,21.8
16,16.1,16.4,22.6,25.2,26.8,27.4,28.5,28.2,26.3,24.4,23.5,21.8
17,15.8,14.6,25.9,21.2,25.6,27.2,29.1,28.4,25.5,23.9,20.3,20.8
18,18.5,14.4,25.6,24.5,25.3,28.4,28.9,28.2,26.1,22.5,17.9,17.2
19,18.3,14.1,22.7,25.0,25.3,26.0,28.9,28.7,26.6,23.1,20.4,16.0
20,17.5,15.6,22.3,26.1,25.0,25.4,29.0,28.1,27.4,23.5,21.1,18.2
21,17.6,16.2,19.8,26.5,25.0,25.1,28.8,29.3,27.6,23.9,22.2,19.6
22,15.2,20.8,21.8,25.6,24.7,27.5,27.1,29.2,28.2,23.9,25.1,19.7
23,13.2,23.2,24.4,26.5,25.5,27.8,28.4,28.9,28.1,23.7,22.3,14.5
24,15.7,19.0,14.3,29.0,26.3,28.8,27.4,26.7,27.9,24.5,20.4,15.7
25,13.7,17.6,18.0,28.3,27.2,29.0,26.0,27.0,26.7,25.2,23.2,18.7
26,14.5,13.8,20.0,24.6,27.8,28.8,27.3,28.6,27.9,26.2,23.7,19.5
27,16.8,13.3,20.9,23.4,27.5,29.0,27.7,27.6,28.0,25.9,/,19.2
28,17.1,13.8,21.3,23.7,26.7,29.0,27.7,27.9,26.4,26.7,21.6,20.6
29,17.3,16.1,21.9,27.1,27.1,27.9,29.0,28.4,25.6,26.1,21.2,20.6
30,16.7,,22.8,26.6,27.7,29.0,29.3,28.2,24.6,24.8,20.0,12.9
31,16.2,,21.9,,27.3,,27.5,26.4,,21.8,,11.1
平均,16.5,16.6,20,24.9,26.6,27.6,28.6,28.2,27.6,24.3,22.4,18.3
