2014年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,19.3,20.0,22.2,24.5,26.2,29.9,/,31.0,29.9,30.1,27.6,26.1
2,19.4,20.4,22.4,23.9,25.8,30.0,30.9,30.7,30.3,30.0,27.6,25.1
3,20.1,21.1,22.3,23.1,26.3,29.3,30.8,30.6,30.4,29.8,27.2,24.2
4,20.7,21.6,22.0,23.1,26.8,28.2,31.0,30.7,30.4,29.2,26.6,23.9
5,20.2,21.3,22.2,23.6,26.7,29.4,30.9,30.6,/,28.8,26.5,22.9
6,19.9,21.6,22.2,23.9,25.8,29.2,30.9,30.4,/,28.5,26.5,22.7
7,19.9,21.9,21.9,23.9,24.8,29.3,30.9,30.5,/,28.3,26.5,22.2
8,20.1,21.9,21.9,23.8,25.2,29.1,/,30.6,/,28.0,26.6,22.3
9,20.2,21.6,21.5,24.4,25.9,28.8,30.5,30.4,/,28.0,26.7,22.3
10,19.9,20.6,21.1,/,25.5,29.3,31.0,29.8,/,28.3,26.4,22.6
11,19.8,19.2,20.9,/,26.0,29.5,31.2,29.2,30.5,28.3,26.4,23.1
12,20.0,18.9,20.8,/,26.6,29.5,31.1,29.2,30.4,28.0,26.3,22.7
13,20.0,19.2,21.6,26.1,26.7,29.6,31.2,28.6,30.0,27.8,26.2,21.7
14,19.7,19.0,21.5,26.3,26.8,29.1,31.5,28.4,30.4,27.6,25.7,21.6
15,19.3,18.8,21.3,26.0,27.3,29.0,31.5,29.0,30.7,27.3,25.3,21.9
16,19.3,19.3,21.5,26.0,27.6,29.0,31.5,29.6,30.8,27.0,25.3,22.1
17,19.2,20.0,21.7,26.2,28.2,29.1,31.6,29.8,30.6,26.8,25.4,21.3
18,19.2,20.7,22.3,26.5,28.3,29.5,31.4,29.7,30.8,26.9,25.0,20.6
19,18.7,20.6,23.0,26.4,28.0,29.6,30.9,29.4,30.8,27.2,24.8,20.7
20,18.6,19.3,23.5,26.5,27.9,29.8,31.0,29.2,30.7,27.4,24.7,20.7
21,18.7,19.0,22.5,26.6,27.8,29.9,31.3,29.1,30.0,27.6,24.7,20.5
22,18.1,19.1,21.6,27.0,27.5,29.7,31.2,29.4,29.1,27.8,24.8,20.3
23,18.0,19.8,22.0,26.8,27.6,29.9,30.1,29.5,29.3,27.8,24.9,20.1
24,18.0,20.4,22.4,26.9,27.8,30.1,29.0,29.6,29.3,27.6,24.9,20.7
25,18.1,20.8,22.9,27.1,28.6,30.1,29.2,29.7,29.4,27.6,25.0,21.0
26,18.4,21.2,23.6,27.1,29.0,29.5,29.5,29.7,29.8,27.6,25.1,20.8
27,18.7,21.6,24.1,27.2,29.2,30.1,30.1,29.9,30.0,27.9,25.3,20.9
28,18.9,22.1,24.1,27.4,29.2,30.3,30.4,30.1,30.1,27.7,25.7,20.9
29,19.2,,24.9,27.3,29.4,30.6,30.4,/,30.2,27.6,25.8,20.4
30,19.6,,25.2,27.0,29.5,30.4,30.7,/,30.1,27.6,26.0,19.9
31,19.7,,25.0,,29.5,,31.0,29.9,,27.6,,19.9
平均,19.3,20.4,22.5,25.7,27.3,29.6,30.8,29.8,30.2,28,25.9,21.8
