2014年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,25.0,27.7,27.5,24.3,24.0,33.4,/,34.4,33.9,33.8,30.9,26.6
2,27.1,27.4,24.8,22.4,29.0,33.8,32.9,33.4,33.5,32.6,30.8,18.2
3,27.2,27.9,21.6,22.9,30.1,28.8,33.4,33.7,33.2,32.4,27.5,23.1
4,23.9,22.5,25.9,25.7,30.1,31.7,33.9,34.8,33.4,30.8,28.4,19.9
5,23.1,24.4,24.7,27.0,27.0,31.4,36.1,32.4,/,30.3,28.3,19.3
6,23.5,27.9,22.6,26.7,19.3,32.8,34.8,33.3,/,31.8,29.8,15.6
7,25.2,25.1,22.9,24.9,24.3,32.8,35.2,33.7,/,30.1,28.9,25.5
8,27.1,23.1,21.8,28.7,29.3,32.4,/,34.0,/,32.3,29.0,25.0
9,21.3,21.0,20.1,29.5,24.1,31.6,35.3,31.6,/,31.7,27.9,24.7
10,22.4,13.0,20.3,/,29.2,31.4,35.5,30.9,/,31.6,29.0,25.6
11,23.7,14.4,18.7,/,33.0,31.6,34.7,32.4,34.4,29.7,28.8,23.4
12,22.7,20.2,27.1,/,33.3,32.2,35.6,29.7,34.0,30.0,27.9,17.9
13,21.4,19.7,24.3,30.0,30.6,32.3,35.4,30.9,33.0,31.0,25.4,21.6
14,20.3,17.6,22.5,29.9,32.2,29.1,34.7,33.0,34.7,30.0,23.4,23.1
15,21.5,19.3,23.1,29.5,31.7,31.0,34.8,32.4,38.2,29.4,28.1,25.6
16,22.5,23.6,24.1,29.9,31.6,33.0,35.1,32.6,34.5,29.2,27.6,20.9
17,23.1,28.0,27.3,30.7,33.2,32.0,34.9,32.8,33.1,30.2,25.8,16.4
18,21.6,27.6,27.9,29.3,30.8,33.3,34.5,33.3,34.0,30.1,26.1,22.6
19,21.0,16.1,29.5,28.4,30.5,33.5,34.0,33.6,33.6,31.5,27.6,17.7
20,21.5,19.4,27.9,28.9,30.7,32.9,34.4,32.9,33.3,33.1,27.8,22.4
21,19.4,20.9,16.2,31.1,29.8,34.1,34.8,31.9,27.6,32.7,28.9,23.0
22,19.2,23.5,23.5,31.1,32.9,34.3,34.4,32.3,32.3,32.3,30.0,21.1
23,21.8,23.5,24.8,28.5,28.2,33.5,29.1,32.8,31.0,30.5,28.4,23.8
24,22.9,22.8,26.3,31.2,31.9,33.6,31.7,33.2,33.3,30.6,27.9,27.1
25,26.4,26.3,28.1,31.1,32.2,33.1,33.2,32.9,32.1,30.6,28.8,19.9
26,23.8,28.2,31.3,30.3,32.4,32.1,33.2,33.6,33.4,31.7,29.6,21.2
27,22.9,27.1,29.1,31.9,32.7,32.6,33.4,34.0,33.0,30.9,31.0,20.4
28,24.7,27.3,29.4,30.7,32.1,33.0,32.6,26.5,33.3,31.0,29.7,19.7
29,25.0,,31.8,30.7,31.9,33.5,33.4,/,33.2,30.4,30.6,20.7
30,25.8,,29.0,27.7,31.2,32.9,35.7,/,33.1,30.0,30.9,23.6
31,25.8,,27.1,,32.9,,33.7,32.4,,29.5,,23.5
平均,23.3,23.1,25.2,28.6,30.1,32.5,34.2,32.6,33.3,31,28.5,21.9
