2015年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,1022.6,1024.7,1018.4,1013.6,1011.8,1010.2,1005.5,1011.9,1010.4,1013.6,1019.2,1016.9
2,1023.5,1024.7,1016.3,1010.0,1010.8,1011.0,1005.0,1012.1,1012.8,1012.8,1018.4,1016.3
3,1021.4,1023.6,1012.7,1009.4,1010.9,1011.3,1004.6,1011.1,1014.1,1015.4,1018.1,1018.7
4,1017.2,1021.3,1016.0,1011.5,1011.3,1010.0,1003.7,1008.8,1013.9,1017.8,1017.0,1020.4
5,1014.8,1022.3,1017.2,1011.9,1010.5,1008.3,1002.2,1006.8,1011.4,1016.8,1016.2,1018.1
6,1014.4,1022.3,1016.9,1012.3,1009.8,1009.4,999.8,1004.4,1008.4,1014.7,1015.8,1018.8
7,1018.3,1020.2,1017.9,1014.5,1011.0,1010.6,999.7,996.8,1007.6,1012.7,1017.0,1020.3
8,1023.0,1020.6,1017.8,1017.6,1010.3,1009.6,999.0,981.7,1008.5,1010.7,1016.8,1020.3
9,1023.0,1023.2,1017.7,1017.2,1009.8,1008.8,999.6,1001.3,1011.0,1010.0,1016.3,1016.2
10,1022.4,1020.4,1021.3,1016.7,1010.7,1009.0,997.1,1007.8,1012.0,1012.0,1016.7,1013.6
11,1020.9,1017.0,1021.4,1018.1,1009.7,1009.8,999.4,1009.2,1010.8,1015.8,1017.4,1015.5
12,1019.6,1016.6,1019.6,1017.3,1012.0,1009.6,1002.3,1009.9,1011.4,1017.3,1017.2,1016.2
13,1017.4,1017.8,1019.1,1016.7,1013.0,1009.4,1003.6,1010.1,1012.3,1017.4,1015.6,1015.9
14,1018.4,1017.9,1019.2,1017.5,1013.4,1009.8,1003.4,1009.5,1012.0,1015.9,1014.8,1014.9
15,1020.3,1016.8,1017.3,1016.2,1012.7,1010.5,1002.8,1010.2,1011.8,1013.5,1015.7,1016.1
16,1021.2,1015.4,1016.4,1014.9,1011.3,1009.1,1001.1,1009.8,1012.1,1011.4,1014.8,1019.1
17,1021.9,1015.7,1014.0,1013.9,1010.2,1006.5,1002.7,1009.2,1014.2,1010.4,1015.1,1022.5
18,1021.2,1018.3,1012.7,1011.5,1009.6,1006.3,1003.5,1008.9,1014.2,1009.3,1016.5,1024.1
19,1019.4,1020.2,1013.5,1010.4,1009.3,1007.4,1005.3,1008.1,1012.2,1006.0,1017.5,1022.9
20,1019.2,1019.0,1015.8,1010.1,1009.5,1008.0,1009.7,1004.7,1010.1,1004.5,1016.9,1021.6
21,1018.5,1016.1,1016.5,1013.0,1010.8,1008.1,1011.1,998.8,1009.8,1007.0,1017.0,1021.4
22,1020.1,1016.0,1016.9,1016.5,1008.9,1007.5,1011.2,995.3,1011.0,1009.3,1016.4,1020.4
23,1020.4,1016.0,1018.3,1017.8,1008.0,1008.4,1011.1,995.3,1009.1,1010.7,1015.2,1018.5
24,1020.7,1015.1,1020.3,1016.9,1007.2,1008.9,1010.3,1002.4,1006.2,1013.8,1014.9,1016.7
25,1019.6,1014.8,1023.4,1015.9,1008.1,1008.5,1009.7,1006.4,1004.7,1015.9,1015.2,1018.3
26,1018.3,1014.8,1023.5,1015.8,1010.6,1008.5,1011.8,1009.9,1005.5,1016.2,1018.5,1019.6
27,1016.6,1016.9,1021.0,1014.3,1009.3,1010.3,1013.3,1010.1,1004.9,1015.8,1021.6,1021.6
28,1016.6,1016.9,1017.5,1011.7,1007.5,1010.9,1013.4,1009.4,996.9,1017.9,1022.5,1024.4
29,1018.3,,1016.5,1011.2,1008.6,1009.2,1012.8,1009.1,1005.2,1018.6,1020.5,1024.7
30,1020.1,,1015.6,1011.9,1009.3,1007.2,1012.5,1009.3,1013.2,1018.6,1017.9,1023.3
31,1023.6,,1014.5,,1009.3,,1012.1,1009.7,,1019.8,,1023.9
平均,1019.8,1018.7,1017.6,1014.2,1010.2,1009.1,1005.8,1006.1,1009.9,1013.6,1017.1,1019.4
