2015年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,10.1,9.0,12.0,9.8,6.7,7.5,10.8,7.2,7.1,7.0,8.4,6.2
2,4.7,8.3,7.0,10.9,10.5,9.0,8.6,6.8,8.2,7.6,11.8,7.8
3,6.0,9.7,8.7,9.6,7.9,7.0,8.9,7.3,5.9,6.7,8.1,7.1
4,5.5,9.8,6.9,10.2,7.4,5.8,8.7,7.3,8.0,7.4,8.1,7.6
5,6.3,14.6,7.3,8.3,6.5,6.5,7.9,7.9,7.4,6.4,6.0,11.6
6,7.3,6.2,8.2,9.4,8.3,6.4,7.3,8.6,6.9,6.4,5.5,12.1
7,11.2,11.0,7.4,8.6,7.3,7.6,6.8,17.0,9.6,5.7,6.8,6.5
8,10.0,11.7,6.9,10.1,8.1,6.5,4.6,35.3,7.2,6.4,6.9,8.4
9,6.5,9.9,11.6,8.2,8.2,7.5,8.5,14.3,6.3,7.8,8.1,7.6
10,6.5,8.5,6.7,8.9,8.1,8.0,14.1,9.5,8.1,7.2,8.1,12.8
11,7.0,7.9,7.5,8.3,7.9,8.2,9.4,8.9,5.9,8.5,5.7,7.6
12,6.3,12.0,8.9,8.7,7.6,7.6,8.2,9.5,7.9,5.8,6.4,6.7
13,8.6,8.2,7.3,10.7,8.6,8.7,7.7,10.9,8.2,6.5,6.3,6.5
14,11.8,5.9,6.0,10.6,9.3,10.1,7.0,11.4,8.1,6.5,7.2,9.7
15,8.1,4.9,10.7,9.3,10.3,8.8,6.0,7.2,6.8,7.4,6.7,9.3
16,8.0,8.7,6.6,8.1,8.5,8.5,8.1,8.4,9.2,8.2,6.4,12.7
17,9.4,8.9,10.5,7.5,7.6,9.3,5.6,12.5,7.3,7.0,5.9,12.0
18,10.3,7.2,10.1,10.8,10.2,7.1,7.5,6.3,8.7,8.0,6.9,6.9
19,8.8,7.1,6.7,7.4,8.7,7.6,14.6,6.7,7.2,6.7,8.1,7.7
20,5.7,5.8,6.0,8.5,9.3,7.4,12.5,5.7,6.5,3.9,6.8,6.0
21,8.5,6.5,7.4,9.4,7.5,8.8,11.7,6.1,5.4,4.5,4.9,8.6
22,12.6,7.0,6.4,8.0,12.3,7.9,12.6,6.2,7.0,4.9,6.3,6.1
23,6.5,6.8,13.1,7.9,6.1,11.3,8.1,13.2,7.7,7.6,8.1,5.8
24,6.6,8.4,9.7,7.4,10.3,9.8,8.3,4.9,6.8,6.2,7.8,6.1
25,7.5,4.9,8.8,8.7,5.2,9.2,8.4,8.4,8.0,6.2,12.8,10.4
26,8.0,7.1,8.5,7.0,9.8,9.3,7.5,7.0,11.6,6.1,13.2,7.7
27,6.7,8.8,9.7,6.9,5.0,9.0,9.5,6.6,12.8,6.7,7.0,10.4
28,7.6,7.2,7.9,7.9,7.3,8.3,7.7,10.6,24.1,6.3,6.2,11.6
29,7.8,,7.1,7.6,7.3,9.2,6.0,12.2,20.3,7.8,6.9,9.3
30,10.9,,8.2,6.8,7.6,8.6,6.4,7.9,7.2,7.8,8.6,7.8
31,9.7,,9.2,,8.1,,6.7,7.1,,8.0,,9.2
平均,8.1,8.3,8.4,8.7,8.2,8.2,8.6,9.6,8.7,6.7,7.5,8.6
