2015年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,30.58,18.76,21.93,15.67,10.05,/,/,12.26,/,10.97,/,/
2,29.42,18.54,16.80,12.98,13.11,/,/,11.44,/,10.94,/,/
3,32.12,14.88,20.97,13.72,13.21,/,/,14.28,/,10.77,/,/
4,33.44,13.38,10.90,13.53,10.80,/,/,13.70,/,11.56,/,/
5,32.52,12.82,18.13,12.42,5.72,/,/,13.53,/,11.44,/,/
6,25.92,9.51,15.50,7.81,11.75,/,/,12.31,/,9.97,/,/
7,17.72,15.13,17.31,8.07,10.08,/,/,9.00,/,9.90,/,/
8,12.00,12.18,15.29,10.62,12.28,/,/,0.72,/,8.61,/,/
9,28.18,12.15,21.50,12.45,13.46,/,/,1.96,/,9.33,/,/
10,33.04,18.99,3.40,10.54,12.04,/,/,12.24,/,8.34,/,/
11,16.57,18.60,9.50,1.23,7.47,/,9.54,/,/,/,/,/
12,14.19,19.80,8.46,11.63,6.82,/,8.79,/,/,/,/,/
13,10.02,19.55,21.77,13.36,10.91,/,11.99,/,/,/,/,/
14,11.24,16.89,19.45,15.05,13.43,/,11.52,/,/,/,/,/
15,17.55,12.70,21.14,13.40,14.02,/,12.19,/,/,/,/,/
16,18.18,16.21,13.96,14.10,13.96,/,11.15,/,/,/,/,/
17,17.19,14.57,18.22,10.95,12.97,/,12.75,/,/,/,/,/
18,12.00,18.57,22.15,12.10,14.76,/,12.31,/,/,/,/,/
19,13.53,18.85,23.21,9.30,13.02,/,6.81,/,/,/,/,/
20,12.21,16.02,12.85,11.14,3.36,/,7.13,/,/,/,/,/
21,12.13,5.80,12.80,2.34,3.52,/,11.45,12.40,/,/,/,/
22,19.10,17.22,10.04,12.43,5.79,/,3.62,/,/,/,/,/
23,17.70,9.27,6.94,12.16,4.14,/,12.08,/,/,/,/,/
24,17.62,17.73,21.07,10.31,2.06,/,13.95,/,/,/,/,/
25,14.07,15.25,11.06,12.59,5.80,/,13.41,/,/,/,/,/
26,8.00,18.68,15.04,13.40,3.74,/,14.04,/,/,/,/,/
27,8.00,15.33,18.54,13.48,3.90,/,8.26,/,/,/,/,/
28,11.79,21.06,20.04,13.07,8.33,/,8.39,/,0.48,/,/,/
29,17.76,,23.42,12.87,11.64,/,11.40,/,0.00,/,/,/
30,10.16,,23.21,10.65,8.34,/,13.06,/,/,/,/,/
31,17.91,,16.01,,3.62,,13.80,/,,/,,16.95
平均,18.4,15.7,16.5,11.4,9.2,/,10.8,10.3,0.2,10.2,/,17
