2016年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,9.0,4.9,10.0,5.0,0.7,10.0,10.1,1.6,8.5,4.2,7.5,6.4
2,1.7,0.0,9.9,8.0,8.6,5.8,8.8,9.3,0.7,10.6,8.1,6.3
3,0.0,3.4,8.1,7.5,8.8,9.8,7.4,9.2,2.0,8.5,8.6,7.4
4,2.1,1.8,5.5,9.3,8.1,11.3,8.1,11.1,8.6,6.7,8.1,8.5
5,5.9,5.5,9.4,8.4,9.2,7.3,10.8,10.6,6.2,9.4,9.7,5.7
6,6.3,4.6,9.5,10.6,11.5,4.3,7.5,7.4,3.2,3.2,9.0,1.6
7,5.7,9.9,8.4,11.2,11.6,10.2,5.8,10.2,0.0,6.6,8.8,/
8,7.3,10.3,5.0,9.9,6.0,7.9,0.0,10.4,2.9,0.5,9.0,/
9,9.0,10.3,0.0,7.7,10.9,4.4,1.2,6.7,4.5,0.0,7.6,/
10,6.7,0.4,0.0,1.9,6.1,0.0,1.3,6.5,9.2,2.9,1.8,/
11,0.0,5.6,0.0,3.2,1.5,0.0,2.9,5.4,11.3,9.5,5.0,7.5
12,5.1,4.2,4.2,7.7,8.7,1.8,4.4,0.4,10.3,7.8,7.3,7.2
13,0.7,9.7,2.3,0.5,9.3,0.9,9.4,3.5,5.0,4.9,8.2,9.8
14,5.8,8.3,0.0,1.7,9.4,4.7,9.7,6.1,0.3,9.3,8.5,9.2
15,0.0,1.0,0.0,1.0,10.8,7.3,10.7,5.2,4.9,9.9,5.5,5.8
16,7.8,0.0,3.2,10.5,4.7,9.9,10.2,7.2,7.4,10.1,7.8,3.7
17,0.0,2.1,7.2,7.8,6.8,11.0,5.4,7.8,5.6,7.2,7.8,9.2
18,8.7,3.8,7.9,4.1,9.3,11.4,6.0,4.8,9.7,6.4,4.5,8.7
19,6.2,6.1,2.4,6.8,10.3,8.2,8.2,7.9,7.3,9.3,6.5,8.9
20,6.9,2.7,0.8,5.6,2.9,9.5,9.5,11.6,9.8,3.5,4.6,7.4
21,5.0,1.1,1.3,10.1,0.0,9.4,11.6,8.9,10.9,4.9,2.4,7.4
22,4.1,8.6,1.0,10.2,2.0,10.7,10.8,10.0,10.0,8.8,0.4,7.0
23,0.1,8.8,0.4,9.3,8.6,7.4,11.7,9.6,7.7,9.3,0.0,6.8
24,0.0,0.0,0.0,0.0,6.1,9.5,9.8,7.7,9.7,10.3,6.7,7.8
25,5.5,2.0,0.0,3.4,8.7,8.7,8.0,8.4,10.2,9.8,9.0,8.2
26,10.0,6.1,11.0,7.8,9.1,7.8,11.5,7.7,8.6,9.6,2.2,3.6
27,4.2,5.9,8.2,3.6,10.9,8.9,12.0,8.9,0.0,9.0,0.0,3.0
28,0.8,8.2,11.1,7.8,11.1,8.0,11.5,9.0,0.0,4.8,3.9,0.0
29,0.1,10.2,8.9,10.5,10.6,10.7,8.9,6.2,5.8,6.7,3.3,4.6
30,1.7,,9.2,5.0,7.8,10.9,6.4,2.1,5.8,8.6,0.8,4.5
31,6.4,,6.5,,10.9,,8.3,9.3,,/,,7.9
總和,132.8,145.5,151.4,196.1,241,227.7,247.9,230.7,186.1,212.3,172.6,174.1
