2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,0.0,0.0,0.0,0.0,19.5,8.5,0.0,6.5,0.5,3.0,0.0,0.0
2,0.0,0.0,0.0,0.0,6.0,13.5,20.0,44.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.5,0.0,1.5,0.0,99.5,0.0,0.0,0.0,0.0,0.0
4,0.0,7.0,0.0,0.5,0.0,60.0,0.5,0.0,20.0,0.0,0.0,1.0
5,/,0.0,2.5,0.0,2.5,0.0,17.5,0.5,0.0,0.0,0.0,11.0
6,/,0.0,8.5,0.0,12.5,0.0,24.5,0.5,2.5,0.0,0.0,13.5
7,0.0,0.0,26.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,14.0,0.0,3.0,0.0,2.0,13.5,0.0,0.0,0.0,0.0
9,0.0,0.0,2.0,0.0,0.5,0.0,24.5,10.0,0.0,0.0,0.0,0.0
10,0.0,0.0,4.0,0.0,4.0,16.5,50.0,0.0,3.0,0.0,0.0,0.0
11,0.0,0.0,0.5,0.0,0.0,61.0,7.5,2.5,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,1.5,0.0,46.5,16.0,4.0,/,0.0,0.0,0.0
13,0.0,/,/,0.0,0.0,23.5,0.5,63.5,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,52.5,0.0,31.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,8.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0
16,0.5,0.0,0.0,12.5,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0
17,1.0,0.0,/,/,1.0,4.5,/,24.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,26.0,0.0,106.5,27.0,0.0,0.0,0.0,0.0
19,0.0,3.5,0.0,37.0,6.5,0.0,20.0,1.5,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,58.0,0.0,6.5,0.0,0.0,0.0,0.0,2.5
21,1.0,0.0,0.0,11.0,0.0,0.0,3.5,14.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,2.0,0.0,2.0,/,/,0.0,0.0,0.0,0.0,0.0
24,0.0,1.5,8.5,0.0,0.0,9.5,0.0,5.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.5,0.0,0.0,/,0.0,49.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,/,0.0,20.0,0.0,0.5,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,30.5,1.5,2.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,1.5,0.0,17.0,0.0,0.0,0.0,0.0,0.0
29,0.0,,0.0,0.0,0.0,9.0,0.0,7.5,0.0,0.0,0.0,85.0
30,0.0,,1.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,0.5
31,0.0,,0.0,,0.0,,21.5,0.0,,0.0,,4.0
總和,2.5,12,70,70.5,178,326.5,443.5,448.5,26,3,0,117.5
