2011年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,11.6,14.3,16.8,19.2,25.7,26.6,28.6,29.6,27.2,27.7,24.0,19.9
2,13.6,15.0,15.2,20.2,24.1,26.3,28.0,29.5,26.1,24.5,25.1,16.0
3,13.7,15.7,15.3,21.3,24.5,26.9,29.2,29.5,27.7,23.7,25.7,16.8
4,14.5,16.7,14.6,16.2,23.3,27.7,29.3,29.8,28.3,24.8,26.3,18.3
5,16.9,16.8,16.5,16.9,24.0,28.6,29.3,29.8,28.1,25.8,25.3,18.2
6,14.6,16.0,19.0,19.3,24.3,29.0,28.7,29.2,27.1,25.2,25.8,21.1
7,13.4,17.3,15.5,21.5,25.3,29.0,28.7,30.4,27.5,25.2,24.7,21.5
8,16.1,19.1,15.3,22.0,26.8,29.3,29.4,28.3,27.8,26.0,24.7,19.7
9,16.2,17.8,17.6,22.1,26.7,29.5,29.3,27.7,28.4,25.8,21.8,15.1
10,13.5,17.8,17.4,22.5,27.7,29.4,28.6,27.5,29.0,26.0,19.5,15.9
11,11.8,14.1,17.3,22.4,28.2,29.7,27.2,27.8,28.3,26.4,20.7,15.7
12,9.8,13.9,18.3,21.5,29.2,29.9,27.2,28.3,27.8,26.7,21.8,18.4
13,15.1,13.8,20.0,22.0,27.1,29.4,26.4,29.2,27.3,26.2,22.3,19.4
14,16.8,10.8,21.9,23.1,24.0,29.7,26.3,29.5,27.9,25.7,22.9,20.4
15,13.2,13.1,18.3,24.8,23.9,29.9,27.1,29.5,28.3,24.9,22.6,19.3
16,10.0,14.8,15.1,25.3,23.3,29.7,27.6,29.8,28.3,24.7,23.5,16.5
17,13.2,17.4,17.1,22.0,21.4,29.7,27.7,29.8,27.8,24.2,24.1,15.8
18,14.1,15.4,18.1,22.4,24.7,29.4,28.2,29.5,28.2,24.0,25.0,16.0
19,17.4,14.6,19.4,21.3,25.3,29.5,27.3,29.0,26.8,23.3,25.0,17.3
20,16.7,14.4,24.1,20.8,25.1,29.4,26.6,29.2,26.0,24.1,21.7,18.5
21,14.9,14.8,24.9,21.9,26.0,28.1,27.6,29.4,25.0,24.7,21.7,19.6
22,15.1,15.6,16.8,23.3,26.0,28.1,28.9,29.0,25.3,24.5,22.3,17.1
23,15.8,17.7,15.4,22.5,24.4,29.6,29.2,29.3,25.0,24.3,21.8,15.6
24,14.5,18.0,15.9,22.9,24.3,29.0,29.6,29.1,25.1,25.0,20.1,13.2
25,14.9,18.0,16.1,22.8,24.9,27.2,29.2,28.9,27.1,24.4,20.2,13.9
26,16.1,16.9,14.6,24.2,26.3,28.7,29.2,29.7,27.8,22.4,21.1,16.0
27,16.9,18.0,12.2,25.8,26.3,27.3,29.5,29.5,28.1,23.0,21.3,16.1
28,16.0,18.7,15.1,24.1,23.9,25.3,29.7,27.3,27.6,23.6,21.9,16.8
29,12.8,,18.3,23.5,23.0,27.0,29.5,27.1,28.7,23.5,22.6,18.3
30,13.0,,17.6,24.4,24.4,28.2,29.0,25.9,28.4,23.0,23.4,17.4
31,12.4,,18.1,,25.6,,29.4,25.4,,22.8,,16.0
平均,14.3,15.9,17.3,22.1,25.2,28.6,28.4,28.8,27.4,24.7,23,17.4
